League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
PORTUGAL 2,2025-04-18,07:00,Felgueiras,Leixoes,2.2,2.9,3.25,https://www.radarfutebol.com/radar/felgueiras-leixoes-sc/12514390,12514390
DENMARK 2,2025-04-18,08:00,Horsens,Esbjerg,1.75,3.9,4.0,https://www.radarfutebol.com/radar/ac-horsens-esbjerg/13645609,13645609
ESTONIA 1,2025-04-18,08:30,Flora,Paide,2.27,3.2,2.8,https://www.radarfutebol.com/radar/paide-linnameeskond-flora-tallinn/13554392,13554392
ENGLAND 5,2025-04-18,08:30,Gateshead,York City,2.9,3.4,2.2,https://www.radarfutebol.com/radar/gateshead-york-city/12526084,12526084
ENGLAND 2,2025-04-18,08:30,Derby,Luton,2.6,2.9,3.0,https://www.radarfutebol.com/radar/luton-town-derby-county/12465064,12465064
ENGLAND 3,2025-04-18,09:00,Exeter,Burton,2.75,3.1,2.63,https://www.radarfutebol.com/radar/burton-albion-exeter-city/12464923,12464923
SWEDEN 1,2025-04-18,10:00,Mjallby,Hammarby,2.6,3.25,2.7,https://www.radarfutebol.com/radar/mjallby-aif-hammarby-if/13292393,13292393
SWEDEN 1,2025-04-18,10:00,Malmo FF,Sirius,1.3,5.5,8.5,https://www.radarfutebol.com/radar/malmo-ff-ik-sirius/13292392,13292392
BULGARIA 1,2025-04-18,10:30,Cherno More,Beroe,1.8,3.25,5.0,https://www.radarfutebol.com/radar/beroe-stara-zagora-cherno-more-varna/12421733,12421733
ENGLAND 5,2025-04-18,11:00,AFC Fylde,FC Halifax,3.0,3.3,2.2,https://www.radarfutebol.com/radar/afc-fylde-fc-halifax-town/12526085,12526085
ENGLAND 4,2025-04-18,11:00,Tranmere,Doncaster,3.6,3.4,2.0,https://www.radarfutebol.com/radar/doncaster-rovers-tranmere-rovers/12465283,12465283
ENGLAND 4,2025-04-18,11:00,Salford,Accrington,1.8,3.4,4.5,https://www.radarfutebol.com/radar/salford-city-accrington-stanley/12465285,12465285
ENGLAND 4,2025-04-18,11:00,Grimsby,Swindon,1.83,3.4,4.33,https://www.radarfutebol.com/radar/swindon-town-grimsby-town/12465281,12465281
ENGLAND 4,2025-04-18,11:00,Colchester,Crewe,2.05,3.4,3.4,https://www.radarfutebol.com/radar/colchester-united-crewe-alexandra/12465279,12465279
ENGLAND 5,2025-04-18,11:00,Aldershot,Sutton,2.3,3.2,2.9,https://www.radarfutebol.com/radar/sutton-united-aldershot-town/12526096,12526096
ENGLAND 4,2025-04-18,11:00,Walsall,Harrogate,1.5,3.9,6.5,https://www.radarfutebol.com/radar/harrogate-town-walsall/12465280,12465280
ENGLAND 2,2025-04-18,11:00,Blackburn,Millwall,2.35,3.1,3.2,https://www.radarfutebol.com/radar/blackburn-rovers-millwall/12465046,12465046
ENGLAND 2,2025-04-18,11:00,Coventry,West Brom,2.15,3.6,3.1,https://www.radarfutebol.com/radar/coventry-city-west-bromwich-albion/12465287,12465287
ESTONIA 1,2025-04-18,11:00,Kuressaare,Parnu JK Vaprus,2.82,3.3,2.22,https://www.radarfutebol.com/radar/parnu-jk-vaprus-fc-kuressaare/13554393,13554393
ENGLAND 2,2025-04-18,11:00,Norwich,Portsmouth,1.8,3.75,4.2,https://www.radarfutebol.com/radar/norwich-city-portsmouth/12465043,12465043
ENGLAND 5,2025-04-18,11:00,Altrincham,Rochdale,2.7,3.5,2.3,https://www.radarfutebol.com/radar/altrincham-rochdale/12526079,12526079
ENGLAND 2,2025-04-18,11:00,Swansea,Hull,2.35,3.3,3.0,https://www.radarfutebol.com/radar/hull-city-swansea-city/12465136,12465136
ENGLAND 2,2025-04-18,11:00,Middlesbrough,Plymouth,1.4,5.0,6.5,https://www.radarfutebol.com/radar/plymouth-argyle-middlesbrough/12465134,12465134
ENGLAND 2,2025-04-18,11:00,Bristol City,Sunderland,2.3,3.5,2.9,https://www.radarfutebol.com/radar/bristol-city-sunderland/12465263,12465263
ENGLAND 2,2025-04-18,11:00,Stoke,Sheffield Wed,2.3,3.3,3.1,https://www.radarfutebol.com/radar/stoke-city-sheffield-wednesday/12465056,12465056
BOSNIA 1,2025-04-18,11:00,Sloboda,Radnik Bijeljina,4.75,3.8,1.62,https://www.radarfutebol.com/radar/fk-sloboda-tuzla-fk-radnik-bijeljina/13666721,13666721
ENGLAND 4,2025-04-18,11:00,Carlisle,Port Vale,3.4,3.25,2.1,https://www.radarfutebol.com/radar/carlisle-united-port-vale/12465275,12465275
ENGLAND 2,2025-04-18,11:00,Watford,Burnley,4.75,3.4,1.8,https://www.radarfutebol.com/radar/watford-burnley/12465045,12465045
ENGLAND 5,2025-04-18,11:00,Oldham,Hartlepool,2.05,3.5,3.2,https://www.radarfutebol.com/radar/hartlepool-united-oldham-athletic/12526090,12526090
ENGLAND 4,2025-04-18,11:00,AFC Wimbledon,Chesterfield,2.2,3.4,3.1,https://www.radarfutebol.com/radar/afc-wimbledon-chesterfield/12465277,12465277
ENGLAND 3,2025-04-18,11:00,Reading,Lincoln,2.25,3.5,2.9,https://www.radarfutebol.com/radar/lincoln-city-reading/12464859,12464859
ENGLAND 3,2025-04-18,11:00,Peterborough,Stockport County,3.3,3.5,2.05,https://www.radarfutebol.com/radar/peterborough-united-stockport-county/12464865,12464865
ENGLAND 3,2025-04-18,11:00,Leyton Orient,Barnsley,1.67,3.7,4.75,https://www.radarfutebol.com/radar/leyton-orient-barnsley/12464926,12464926
ENGLAND 3,2025-04-18,11:00,Shrewsbury,Wigan,3.6,3.25,2.05,https://www.radarfutebol.com/radar/shrewsbury-town-wigan-athletic/12464864,12464864
ENGLAND 3,2025-04-18,11:00,Charlton,Northampton,1.6,3.9,5.25,https://www.radarfutebol.com/radar/northampton-town-charlton-athletic/12464920,12464920
ENGLAND 3,2025-04-18,11:00,Birmingham,Crawley,1.33,4.75,9.5,https://www.radarfutebol.com/radar/crawley-town-birmingham-city/12464927,12464927
ENGLAND 3,2025-04-18,11:00,Stevenage,Blackpool,2.88,3.0,2.55,https://www.radarfutebol.com/radar/stevenage-blackpool/12464863,12464863
ENGLAND 3,2025-04-18,11:00,Bolton,Wycombe,2.6,3.2,2.7,https://www.radarfutebol.com/radar/wycombe-wanderers-bolton-wanderers/12464925,12464925
ENGLAND 3,2025-04-18,11:00,Rotherham,Mansfield,2.3,3.3,3.0,https://www.radarfutebol.com/radar/mansfield-town-rotherham-united/12464869,12464869
ENGLAND 4,2025-04-18,11:00,Bromley,Morecambe,1.86,3.5,3.8,https://www.radarfutebol.com/radar/bromley-morecambe/12465274,12465274
ENGLAND 4,2025-04-18,11:00,Fleetwood,Barrow,2.2,3.3,3.2,https://www.radarfutebol.com/radar/fleetwood-town-barrow/12465278,12465278
ENGLAND 4,2025-04-18,11:00,Cheltenham,Gillingham,2.63,3.2,2.63,https://www.radarfutebol.com/radar/cheltenham-town-gillingham/12465276,12465276
ENGLAND 5,2025-04-18,11:00,Yeovil,Forest Green,2.9,3.3,2.25,https://www.radarfutebol.com/radar/yeovil-town-forest-green-rovers/12526080,12526080
ENGLAND 5,2025-04-18,11:00,Tamworth,Solihull Moors,1.85,3.6,3.6,https://www.radarfutebol.com/radar/solihull-moors-tamworth/12526081,12526081
ENGLAND 5,2025-04-18,11:00,Southend,Braintree,1.73,3.6,4.33,https://www.radarfutebol.com/radar/braintree-town-southend-united/12526083,12526083
ENGLAND 3,2025-04-18,11:00,Wrexham,Bristol Rovers,1.39,5.0,5.75,https://www.radarfutebol.com/radar/bristol-rovers-wrexham/12464861,12464861
ENGLAND 5,2025-04-18,11:00,Maidenhead,Woking,2.25,3.3,2.88,https://www.radarfutebol.com/radar/maidenhead-united-woking/12526100,12526100
PORTUGAL 1,2025-04-18,11:30,Rio Ave,Santa Clara,2.88,2.9,2.7,https://www.radarfutebol.com/radar/rio-ave-santa-clara/12513648,12513648
PORTUGAL 1,2025-04-18,11:30,SC Farense,Boavista,1.8,3.4,4.75,https://www.radarfutebol.com/radar/sc-farense-boavista/12513659,12513659
BULGARIA 1,2025-04-18,13:00,Krumovgrad,CSKA Sofia,10.0,4.75,1.33,https://www.radarfutebol.com/radar/fk-krumovgrad-cska-sofia/12421740,12421740
AUSTRIA 2,2025-04-18,13:00,A. Lustenau,Liefering,2.4,3.25,2.8,https://www.radarfutebol.com/radar/fc-liefering-sc-austria-lustenau/12484570,12484570
BOSNIA 1,2025-04-18,13:00,GOSK Gabela,Sloga Doboj,5.9,4.2,1.47,https://www.radarfutebol.com/radar/fk-sloga-doboj-gosk-gabela/13666726,13666726
AUSTRIA 2,2025-04-18,13:00,Sturm Graz II,First Vienna,2.95,3.5,2.2,https://www.radarfutebol.com/radar/sturm-graz-ii-first-vienna/12484568,12484568
AUSTRIA 2,2025-04-18,13:00,St. Polten,Ried,2.8,3.3,2.37,https://www.radarfutebol.com/radar/skn-st-polten-sv-ried/12484567,12484567
AUSTRIA 2,2025-04-18,13:00,Lafnitz,ASK Voitsberg,3.3,3.8,1.95,https://www.radarfutebol.com/radar/sv-lafnitz-ask-voitsberg/12484577,12484577
AUSTRIA 2,2025-04-18,13:00,Kapfenberg,Amstetten,2.42,3.45,2.65,https://www.radarfutebol.com/radar/sku-amstetten-kapfenberger-sv/12484575,12484575
AUSTRIA 2,2025-04-18,13:00,Horn,Bregenz,2.95,3.4,2.25,https://www.radarfutebol.com/radar/schwarz-weiss-bregenz-sv-horn/12484571,12484571
SAUDI ARABIA 1,2025-04-18,13:05,Al Kholood,Damac,2.15,3.0,3.3,https://www.radarfutebol.com/radar/al-kholood-damac-fc/12624873,12624873
CHILE 2,2025-04-18,13:30,Deportes Temuco,San Luis,1.91,3.5,3.85,https://www.radarfutebol.com/radar/deportes-temuco-san-luis-de-quillota/13705351,13705351
ENGLAND 5,2025-04-18,13:30,Barnet,Eastleigh,1.29,5.25,8.0,https://www.radarfutebol.com/radar/eastleigh-barnet/12526087,12526087
CROATIA 1,2025-04-18,13:45,Varazdin,Hajduk Split,4.0,3.1,1.91,https://www.radarfutebol.com/radar/nk-varazdin-hnk-hajduk-split/12403354,12403354
TURKEY 1,2025-04-18,14:00,Hatayspor,Konyaspor,3.9,3.6,1.8,https://www.radarfutebol.com/radar/hatayspor-konyaspor/12530679,12530679
URUGUAY 1,2025-04-18,14:00,Danubio,Boston River,2.3,3.2,2.9,https://www.radarfutebol.com/radar/boston-river-danubio/13750089,13750089
DENMARK 1,2025-04-18,14:00,Brondby,Nordsjaelland,2.1,3.8,3.0,https://www.radarfutebol.com/radar/fc-nordsjaelland-brondby-if/13638574,13638574
PORTUGAL 1,2025-04-18,14:00,FC Porto,Famalicao,1.48,4.75,5.75,https://www.radarfutebol.com/radar/famalicao-fc-porto/12513639,12513639
SPAIN 2,2025-04-18,14:00,Gijon,Mirandes,2.45,3.1,2.9,https://www.radarfutebol.com/radar/mirandes-sporting-gijon/12467393,12467393
TURKEY 2,2025-04-18,14:00,Manisa FK,Ankaragucu,2.8,3.3,2.25,https://www.radarfutebol.com/radar/manisa-fk-mke-ankaragucu/12596365,12596365
AUSTRIA 1,2025-04-18,14:30,LASK,Tirol,1.6,4.1,5.0,https://www.radarfutebol.com/radar/wsg-tirol-lask/13629533,13629533
SWITZERLAND 2,2025-04-18,14:30,Lausanne Ouchy,Xamax,1.75,3.8,4.1,https://www.radarfutebol.com/radar/fc-stade-lausanne-ouchy-neuchatel-xamax/13262745,13262745
SWITZERLAND 2,2025-04-18,14:30,Bellinzona,Stade Nyonnais,1.91,3.3,3.9,https://www.radarfutebol.com/radar/stade-nyonnais-ac-bellinzona/13262747,13262747
FRANCE 3,2025-04-18,14:30,Quevilly Rouen,Rouen,2.87,2.6,2.82,https://www.radarfutebol.com/radar/quevilly-rouen-metropole-fc-rouen/12570263,12570263
FRANCE 3,2025-04-18,14:30,Paris 13 Atl.,Orleans,2.92,2.8,2.55,https://www.radarfutebol.com/radar/paris-13-atletico-us-orleans/12570260,12570260
FRANCE 3,2025-04-18,14:30,Dijon,Villefranche,1.88,3.25,3.95,https://www.radarfutebol.com/radar/fc-villefranche-beaujolais-dijon/12570259,12570259
FRANCE 3,2025-04-18,14:30,Chateauroux,Sochaux,3.4,3.15,2.1,https://www.radarfutebol.com/radar/chateauroux-sochaux/12570252,12570252
FRANCE 3,2025-04-18,14:30,Bourg en Bresse,Concarneau,2.35,2.95,3.05,https://www.radarfutebol.com/radar/bourg-en-bresse-us-concarneau/12570251,12570251
FRANCE 3,2025-04-18,14:30,Boulogne,Versailles,2.18,3.0,3.4,https://www.radarfutebol.com/radar/fc-versailles-78-us-boulogne-cote-dopale/12570254,12570254
FRANCE 3,2025-04-18,14:30,Le Mans,Nimes,1.7,3.4,4.9,https://www.radarfutebol.com/radar/le-mans-nimes-olympique/12570265,12570265
