League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
SLOVAKIA 1,2025-04-20,13:00,Banska Bystrica,Komarno,2.1,3.15,3.65,https://www.radarfutebol.com/radar/kfc-komarno-dukla-banska-bystrica/13557981,13557981
ITALY 1,2025-04-20,13:00,Bologna,Inter,2.9,3.1,2.6,https://www.radarfutebol.com/radar/inter-bologna/12501578,12501578
CZECH 2,2025-04-20,13:00,Prostejov,Opava,2.15,3.3,2.88,https://www.radarfutebol.com/radar/1-sk-prostejov-slezsky-fc-opava/12449308,12449308
TURKEY 2,2025-04-20,13:00,Genclerbirligi,Bandirmaspor,1.83,3.4,3.8,https://www.radarfutebol.com/radar/bandirmaspor-genclerbirligi/12596364,12596364
TURKEY 1,2025-04-20,13:00,Fenerbahce,Kayserispor,1.17,8.0,12.0,https://www.radarfutebol.com/radar/kayserispor-fenerbahce/12530685,12530685
CHILE 2,2025-04-20,13:30,Antofagasta,San Felipe,1.75,3.6,4.45,https://www.radarfutebol.com/radar/antofagasta-union-san-felipe/13762041,13762041
BELGIUM 1,2025-04-20,13:30,Gent,Club Brugge KV,5.75,4.5,1.48,https://www.radarfutebol.com/radar/kaa-gent-club-brugge-kv/13631354,13631354
CHILE 1,2025-04-20,13:30,Everton,Union La Calera,2.2,3.0,3.4,https://www.radarfutebol.com/radar/union-la-calera-everton-de-vina-del-mar/13443529,13443529
SPAIN 1,2025-04-20,13:30,Sevilla,Alaves,2.0,3.1,4.33,https://www.radarfutebol.com/radar/deportivo-alaves-sevilla/12437528,12437528
SPAIN 2,2025-04-20,13:30,Elche,Albacete,1.6,3.8,5.25,https://www.radarfutebol.com/radar/albacete-balompie-elche/12467397,12467397
ECUADOR 1,2025-04-20,15:00,Tecnico U.,Vinotinto,2.1,3.25,3.5,https://www.radarfutebol.com/radar/vinotinto-futbol-club-tecnico-universitario/13378625,13378625
ARGENTINA 2,2025-04-20,15:30,Los Andes,Deportivo Maipu,2.25,2.8,3.8,https://www.radarfutebol.com/radar/deportivo-maipu-los-andes/13445490,13445490
BRAZIL 2,2025-04-20,16:00,Vila Nova FC,Botafogo SP,1.95,3.0,4.5,https://www.radarfutebol.com/radar/vila-nova-fc-botafogo-sp/13525867,13525867
