League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
AUSTRALIA 1,2025-04-17,06:35,Brisbane Roar,Western United,3.7,4.0,1.9,https://www.radarfutebol.com/radar/western-united-brisbane-roar/12637046,12637046
DENMARK 2,2025-04-17,08:00,Odense,Kolding IF,1.8,3.5,4.33,https://www.radarfutebol.com/radar/kolding-if-odense-bk/13645594,13645594
DENMARK 1,2025-04-17,09:00,Vejle,Viborg,3.2,3.75,2.05,https://www.radarfutebol.com/radar/vejle-viborg-ff/13638566,13638566
DENMARK 2,2025-04-17,09:00,Roskilde,Koge,2.3,3.4,2.9,https://www.radarfutebol.com/radar/hb-koge-fc-roskilde/13645627,13645627
DENMARK 1,2025-04-17,09:00,Lyngby,Sonderjyske,2.1,3.6,3.25,https://www.radarfutebol.com/radar/lyngby-sonderjyske-fodbold/13638564,13638564
ROMANIA 2,2025-04-17,11:30,CSM Resita,Steaua Bucuresti,2.52,3.05,2.9,https://www.radarfutebol.com/radar/steaua-bucuresti-csm-resita/13621289,13621289
SAUDI ARABIA 1,2025-04-17,12:40,Al Ettifaq,Al Riyadh,2.0,3.4,3.3,https://www.radarfutebol.com/radar/al-riyadh-al-ettifaq/12624852,12624852
SAUDI ARABIA 1,2025-04-17,12:50,Al Hilal,Al Khaleej,1.18,7.0,12.0,https://www.radarfutebol.com/radar/al-khaleej-al-hilal/12624868,12624868
SAUDI ARABIA 1,2025-04-17,12:50,Al Shabab,Al Okhdood,1.53,4.0,5.5,https://www.radarfutebol.com/radar/al-okhdood-al-shabab/12624400,12624400
BOSNIA 1,2025-04-17,13:45,Posusje,Velez Mostar,0.0,0.0,0.0,https://www.radarfutebol.com/radar/fk-velez-mostar-hsk-posusje/13666722,13666722
EUROPA CONFERENCE LEAGUE,2025-04-17,13:45,Jagiellonia,Betis,3.9,4.0,1.8,https://www.radarfutebol.com/radar/jagiellonia-bialystok-real-betis/13514784,13514784
EUROPA CONFERENCE LEAGUE,2025-04-17,13:45,Fiorentina,Celje,1.38,5.0,7.0,https://www.radarfutebol.com/radar/fiorentina-nk-celje/13514767,13514767
SAUDI ARABIA 1,2025-04-17,15:00,Al Fateh,Al Ittihad,4.33,4.33,1.62,https://www.radarfutebol.com/radar/al-fateh-al-ittihad/12624389,12624389
ENGLAND 4,2025-04-17,16:00,Bradford City,Notts Co,1.91,3.3,4.0,https://www.radarfutebol.com/radar/notts-county-bradford-city/12465273,12465273
EUROPA CONFERENCE LEAGUE,2025-04-17,16:00,SK Rapid,Djurgarden,1.85,3.7,4.0,https://www.radarfutebol.com/radar/sk-rapid-wien-djurgardens-if/13514761,13514761
EUROPA CONFERENCE LEAGUE,2025-04-17,16:00,Chelsea,Legia,1.2,7.5,10.0,https://www.radarfutebol.com/radar/legia-warszawa-chelsea/13514762,13514762
COLOMBIA 2,2025-04-17,16:00,Real Cundinamarca,Barranquilla,1.5,4.05,5.8,https://www.radarfutebol.com/radar/real-cundinamarca-barranquilla-fc/13415749,13415749
EUROPA LEAGUE,2025-04-17,16:00,Eintracht Frankfurt,Tottenham,2.35,3.7,2.8,https://www.radarfutebol.com/radar/eintracht-frankfurt-tottenham-hotspur/13514556,13514556
EUROPA LEAGUE,2025-04-17,16:00,Lazio,Bodo/Glimt,1.4,5.25,6.5,https://www.radarfutebol.com/radar/lazio-bodoglimt/13514553,13514553
COLOMBIA 1,2025-04-17,18:00,Bucaramanga,Envigado,1.48,3.7,8.5,https://www.radarfutebol.com/radar/envigado-fc-atletico-bucaramanga/13380404,13380404
VENEZUELA 1,2025-04-17,19:00,La Guaira,Carabobo,0.0,0.0,0.0,https://www.radarfutebol.com/radar/deportivo-la-guaira-carabobo/13389313,13389313
BRAZIL 2,2025-04-17,19:00,Goias,Vila Nova FC,1.75,3.5,4.75,https://www.radarfutebol.com/radar/vila-nova-fc-goias/13525854,13525854
BRAZIL 2,2025-04-17,20:00,Botafogo SP,Remo,2.3,3.0,3.4,https://www.radarfutebol.com/radar/remo-botafogo-sp/13525861,13525861
BRAZIL 2,2025-04-17,20:00,CRB,Volta Redonda,1.73,3.5,5.0,https://www.radarfutebol.com/radar/crb-volta-redonda/13525857,13525857
BRAZIL 2,2025-04-17,20:00,Criciuma,Athletic Club,1.73,3.5,5.0,https://www.radarfutebol.com/radar/athletic-club-criciuma/13525849,13525849
COLOMBIA 1,2025-04-17,21:00,Fortaleza,Llaneros,1.7,3.6,5.0,https://www.radarfutebol.com/radar/llaneros-fc-fortaleza-ceif/13380398,13380398
BRAZIL 2,2025-04-17,21:00,Ferroviaria,Atletico GO,2.63,3.1,2.75,https://www.radarfutebol.com/radar/ferroviaria-atletico-goianiense/13525856,13525856
BRAZIL 1,2025-04-17,21:30,Cruzeiro,Bahia,2.3,3.25,3.1,https://www.radarfutebol.com/radar/bahia-cruzeiro/13473373,13473373
