League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
UKRAINE 1,2025-04-14,09:30,Inhulets,Karpaty Lviv,6.3,3.7,1.52,https://www.radarfutebol.com/radar/inhulets-petrove-karpaty-lviv/12922373,12922373
ROMANIA 1,2025-04-14,11:30,FC Botosani,Otelul,2.1,3.1,3.8,https://www.radarfutebol.com/radar/fc-botosani-sc-otelul-galati/13592394,13592394
DENMARK 1,2025-04-14,14:00,Sonderjyske,Vejle,2.38,3.4,2.88,https://www.radarfutebol.com/radar/vejle-sonderjyske-fodbold/13638589,13638589
TURKEY 1,2025-04-14,14:00,Eyupspor,Adana Demirspor,1.18,7.5,12.0,https://www.radarfutebol.com/radar/eyupspor-adana-demirspor/12530697,12530697
POLAND 1,2025-04-14,14:00,Lechia Gdansk,Stal Mielec,2.15,3.4,3.3,https://www.radarfutebol.com/radar/stal-mielec-ks-lechia-gdansk/12400502,12400502
SWEDEN 1,2025-04-14,14:00,Halmstad,Oster,2.55,3.25,2.75,https://www.radarfutebol.com/radar/osters-if-halmstads-bk/13292386,13292386
SWEDEN 2,2025-04-14,14:00,Vasteras SK,Falkenberg,1.53,3.9,5.75,https://www.radarfutebol.com/radar/falkenbergs-ff-vasteras-sk/13292546,13292546
SWEDEN 1,2025-04-14,14:10,AIK,Malmo FF,3.5,3.25,2.1,https://www.radarfutebol.com/radar/malmo-ff-aik/13292380,13292380
ARGENTINA 1,2025-04-14,15:30,Aldosivi,Racing Club,3.5,3.6,2.05,https://www.radarfutebol.com/radar/aldosivi-racing-club/13280681,13280681
SPAIN 2,2025-04-14,15:30,Huesca,Malaga,2.0,3.1,4.1,https://www.radarfutebol.com/radar/huesca-malaga/12467404,12467404
ITALY 1,2025-04-14,15:45,Napoli,Empoli,1.33,5.0,9.5,https://www.radarfutebol.com/radar/napoli-empoli/12501567,12501567
ENGLAND 1,2025-04-14,16:00,Bournemouth,Fulham,2.15,3.5,3.3,https://www.radarfutebol.com/radar/bournemouth-fulham/13560222,13560222
IRELAND 1,2025-04-14,16:00,Shamrock Rovers,Cork City,1.3,4.0,13.0,https://www.radarfutebol.com/radar/cork-city-shamrock-rovers/13250697,13250697
ENGLAND 2,2025-04-14,16:00,Hull,Coventry,2.7,3.1,2.7,https://www.radarfutebol.com/radar/hull-city-coventry-city/13610074,13610074
ARGENTINA 1,2025-04-14,18:00,Central Cordoba,Huracan,2.6,3.0,3.0,https://www.radarfutebol.com/radar/central-cordoba-huracan/13280680,13280680
COLOMBIA 2,2025-04-14,18:00,Tigres,Boca Juniors,1.78,3.2,4.6,https://www.radarfutebol.com/radar/boca-juniors-de-cali-tigres-fc/13415746,13415746
ARGENTINA 1,2025-04-14,19:00,Defensa y Justicia,Union de Santa Fe,2.3,3.2,3.3,https://www.radarfutebol.com/radar/defensa-y-justicia-club-atletico-union-de-santa-fe/13280675,13280675
ARGENTINA 1,2025-04-14,21:15,Godoy Cruz,Lanus,3.5,3.2,2.2,https://www.radarfutebol.com/radar/godoy-cruz-lanus/13280685,13280685
