League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
NORWAY 1,2025-04-30,13:00,Viking,Haugesund,1.27,6.0,8.5,https://www.radarfutebol.com/radar/viking-fk-haugesund/13295674,13295674
EGYPT 1,2025-04-30,14:00,Petrojet,Al Ahly,7.5,3.7,1.47,https://www.radarfutebol.com/radar/petrojet-al-ahly-fc/13573895,13573895
ENGLAND 3,2025-04-30,15:45,Mansfield,Peterborough,2.1,3.6,3.1,https://www.radarfutebol.com/radar/mansfield-town-peterborough-united/13645118,13645118
ENGLAND 3,2025-04-30,15:45,Blackpool,Birmingham,3.6,3.75,1.9,https://www.radarfutebol.com/radar/blackpool-birmingham-city/13636907,13636907
BRAZIL COPA,2025-04-30,19:30,Ceara,Palmeiras,3.5,3.2,2.15,https://www.radarfutebol.com/radar/ceara-palmeiras/13742584,13742584
COLOMBIA 1,2025-04-30,20:00,Aguilas,America De Cali,3.25,3.0,2.3,https://www.radarfutebol.com/radar/rionegro-aguilas-doradas-america-de-cali/13808649,13808649
COLOMBIA 2,2025-04-30,21:00,Cartagena,Huila,2.0,3.15,3.65,https://www.radarfutebol.com/radar/real-cartagena-atletico-huila/13415732,13415732
BRAZIL COPA,2025-04-30,21:30,CSA,Gremio,4.75,3.4,1.8,https://www.radarfutebol.com/radar/gremio-csa/13742591,13742591
BRAZIL COPA,2025-04-30,21:30,Novorizontino,Corinthians,3.5,3.0,2.25,https://www.radarfutebol.com/radar/novorizontino-corinthians/13742604,13742604
COLOMBIA 1,2025-04-30,22:10,Llaneros,Santa Fe,3.6,3.2,2.05,https://www.radarfutebol.com/radar/llaneros-fc-independiente-santa-fe/13778951,13778951
