Hora,Jogo,Link,ID
10:30,sreenidi-deccan-fc-aizawl-fc,https://www.radarfutebol.com/radar/sreenidi-deccan-fc-aizawl-fc/13148059,13148059
11:00,odisha-fc-chennaiyin-fc,https://www.radarfutebol.com/radar/odisha-fc-chennaiyin-fc/13077964,13077964
11:45,al-fateh-al-wehda,https://www.radarfutebol.com/radar/al-fateh-al-wehda/12624953,12624953
12:00,ge-panachaiki-ofi-crete,https://www.radarfutebol.com/radar/ge-panachaiki-ofi-crete/13200420,13200420
12:00,gaziantep-fk-istanbulspor,https://www.radarfutebol.com/radar/gaziantep-fk-istanbulspor/13253668,13253668
12:00,al-riyadh-al-khaleej,https://www.radarfutebol.com/radar/al-riyadh-al-khaleej/12624954,12624954
13:00,sitra-club-malkiya-club,https://www.radarfutebol.com/radar/sitra-club-malkiya-club/13304603,13304603
13:00,east-riffa-al-ahli-club,https://www.radarfutebol.com/radar/east-riffa-al-ahli-club/13304605,13304605
14:00,al-okhdood-al-nassr,https://www.radarfutebol.com/radar/al-okhdood-al-nassr/12624949,12624949
14:30,paok-aek-athens,https://www.radarfutebol.com/radar/paok-aek-athens/13200422,13200422
14:30,kasimpasa-fenerbahce,https://www.radarfutebol.com/radar/kasimpasa-fenerbahce/13253663,13253663
16:00,cardiff-city-sheffield-united,https://www.radarfutebol.com/radar/cardiff-city-sheffield-united/13189396,13189396
16:00,real-madrid-mallorca,https://www.radarfutebol.com/radar/real-madrid-mallorca/12748724,12748724
16:30,k-beerschota-rsc-anderlecht,https://www.radarfutebol.com/radar/k-beerschota-rsc-anderlecht/13202975,13202975
16:45,fulham-watford,https://www.radarfutebol.com/radar/fulham-watford/13189400,13189400
