League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
DENMARK 2,2025-04-16,13:30,Hobro,Vendsyssel,1.95,3.4,3.8,https://www.radarfutebol.com/radar/hobro-vendsyssel-ff/13645624,13645624
SAUDI ARABIA 2,2025-04-16,13:40,Neom SC,Al Bukiryah,1.82,3.45,4.0,https://www.radarfutebol.com/radar/neom-sc-al-bukiryah-fc/13379249,13379249
SAUDI ARABIA 2,2025-04-16,14:45,Al Hazem,Al Arabi,1.98,3.55,3.3,https://www.radarfutebol.com/radar/al-arabi-sa-al-hazem/13379250,13379250
ENGLAND 1,2025-04-16,15:30,Newcastle,Crystal Palace,1.67,3.9,5.0,https://www.radarfutebol.com/radar/newcastle-united-crystal-palace/12437031,12437031
PORTUGAL 3,2025-04-16,15:45,Covilha,SC Lusitania,1.85,3.3,4.0,https://www.radarfutebol.com/radar/sc-lusitania-sc-covilha/13411630,13411630
EUROPA CHAMPIONS LEAGUE,2025-04-16,16:00,Real Madrid,Arsenal,1.7,4.33,4.33,https://www.radarfutebol.com/radar/real-madrid-arsenal/13513422,13513422
PARAGUAY 1,2025-04-16,18:15,Guarani,2 de Mayo,2.1,3.1,3.6,https://www.radarfutebol.com/radar/guarani-cs-2-de-mayo/13726636,13726636
BRAZIL 1,2025-04-16,19:00,Mirassol,Gremio,2.45,3.0,3.2,https://www.radarfutebol.com/radar/mirassol-gremio/13473372,13473372
BRAZIL 1,2025-04-16,19:00,Sport Recife,Bragantino,2.2,3.25,3.4,https://www.radarfutebol.com/radar/red-bull-bragantino-sport-recife/13473377,13473377
BRAZIL 1,2025-04-16,19:30,Internacional,Palmeiras,2.55,3.0,2.9,https://www.radarfutebol.com/radar/internacional-palmeiras/13473374,13473374
BRAZIL 1,2025-04-16,19:30,Corinthians,Fluminense,1.91,3.5,4.0,https://www.radarfutebol.com/radar/fluminense-corinthians/13473370,13473370
BRAZIL 2,2025-04-16,20:00,Avai,Operario-PR,2.05,3.0,4.1,https://www.radarfutebol.com/radar/operario-pr-avai/13525838,13525838
COLOMBIA 2,2025-04-16,21:00,Cartagena,Patriotas,2.0,2.82,4.25,https://www.radarfutebol.com/radar/patriotas-boyaca-real-cartagena/13722207,13722207
BRAZIL 2,2025-04-16,21:00,Coritiba,Novorizontino,2.3,3.0,3.4,https://www.radarfutebol.com/radar/novorizontino-coritiba/13525863,13525863
ARGENTINA COPA,2025-04-16,21:10,Belgrano,Real Pilar,1.55,3.75,5.9,https://www.radarfutebol.com/radar/real-pilar-belgrano/13731520,13731520
BRAZIL 1,2025-04-16,21:30,Vitoria,Fortaleza,2.4,3.2,3.1,https://www.radarfutebol.com/radar/fortaleza-vitoria/13473375,13473375
MEXICO 1,2025-04-16,22:00,Monterrey,Club America,2.7,3.2,2.8,https://www.radarfutebol.com/radar/club-america-cf-monterrey/13256012,13256012
MEXICO 1,2025-04-16,22:00,Queretaro,Atlas,2.8,3.2,2.6,https://www.radarfutebol.com/radar/queretaro-fc-atlas-fc/13256019,13256019
COLOMBIA 1,2025-04-16,22:30,America De Cali,Millonarios,1.95,3.4,3.9,https://www.radarfutebol.com/radar/millonarios-america-de-cali/13380401,13380401
