League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
TURKEY 2,2025-04-27,10:00,Karagumruk,Keciorengucu,1.7,3.8,4.1,https://www.radarfutebol.com/radar/keciorengucu-fatih-karagumruk/12596356,12596356
TURKEY 2,2025-04-27,10:00,Bandirmaspor,Erokspor,2.1,3.3,3.25,https://www.radarfutebol.com/radar/esenler-erokspor-bandirmaspor/12596357,12596357
TURKEY 2,2025-04-27,10:00,Ankaragucu,Corum,1.8,3.7,3.9,https://www.radarfutebol.com/radar/corum-fk-mke-ankaragucu/12596359,12596359
TURKEY 1,2025-04-27,10:00,Trabzonspor,Alanyaspor,1.73,3.6,4.75,https://www.radarfutebol.com/radar/alanyaspor-trabzonspor/12530667,12530667
TURKEY 1,2025-04-27,10:00,Konyaspor,Adana Demirspor,1.18,8.0,10.0,https://www.radarfutebol.com/radar/adana-demirspor-konyaspor/12530675,12530675
GERMANY 1,2025-04-27,10:30,Bochum,Union Berlin,2.3,3.4,3.1,https://www.radarfutebol.com/radar/1-fc-union-berlin-vfl-bochum-1848/12499508,12499508
CZECH 1,2025-04-27,10:30,Ostrava,Jablonec,1.7,3.8,4.5,https://www.radarfutebol.com/radar/fk-jablonec-banik-ostrava/13790896,13790896
URUGUAY 1,2025-04-27,10:45,Montevideo City,Defensor Sp.,2.88,3.25,2.45,https://www.radarfutebol.com/radar/montevideo-city-torque-defensor-sporting/13777245,13777245
ICELAND 1,2025-04-27,11:00,Vestri,Breidablik,6.0,4.35,1.47,https://www.radarfutebol.com/radar/if-vestri-breidablik-kopavogur/13306013,13306013
CROATIA 1,2025-04-27,11:00,Osijek,Hajduk Split,4.1,3.25,1.83,https://www.radarfutebol.com/radar/nk-osijek-hnk-hajduk-split/12403359,12403359
ESTONIA 1,2025-04-27,11:00,Kuressaare,Narva,0.0,0.0,0.0,https://www.radarfutebol.com/radar/fc-kuressaare-narva-trans/13554406,13554406
ENGLAND 3,2025-04-27,11:00,Birmingham,Mansfield,1.5,4.1,5.75,https://www.radarfutebol.com/radar/mansfield-town-birmingham-city/12464857,12464857
BELGIUM 1,2025-04-27,11:00,Genk,Antwerp,1.57,4.75,4.75,https://www.radarfutebol.com/radar/krc-genk-royal-antwerp-fc/13631420,13631420
SWEDEN 1,2025-04-27,11:00,AIK,Elfsborg,2.3,3.5,2.9,https://www.radarfutebol.com/radar/aik-if-elfsborg/13292409,13292409
SPAIN 1,2025-04-27,11:15,Villarreal,Espanyol,1.42,5.25,6.5,https://www.radarfutebol.com/radar/villarreal-espanyol/13607777,13607777
ITALY 3,2025-04-27,11:30,Pianese,Arezzo,3.5,3.25,2.05,https://www.radarfutebol.com/radar/pianese-arezzo/12541835,12541835
ITALY 3,2025-04-27,11:30,Rimini,Pineto,1.65,3.6,5.0,https://www.radarfutebol.com/radar/pineto-rimini/12541822,12541822
ITALY 3,2025-04-27,11:30,Entella,Ternana,2.27,2.92,3.35,https://www.radarfutebol.com/radar/virtus-entella-ternana/12542001,12542001
PORTUGAL 1,2025-04-27,11:30,Moreirense,Nacional,2.2,3.0,3.6,https://www.radarfutebol.com/radar/moreirense-cd-nacional/12513647,12513647
ITALY 3,2025-04-27,11:30,Perugia,Pontedera,2.37,3.4,2.75,https://www.radarfutebol.com/radar/pontedera-perugia/12541843,12541843
SWEDEN 1,2025-04-27,11:30,Varnamo,Norrkoping,2.3,3.4,3.0,https://www.radarfutebol.com/radar/ifk-varnamo-ifk-norrkoping/13292424,13292424
PORTUGAL 2,2025-04-27,11:30,Leixoes,Penafiel,1.8,3.4,4.1,https://www.radarfutebol.com/radar/leixoes-sc-penafiel/12514471,12514471
SWEDEN 1,2025-04-27,11:30,Sirius,Halmstad,1.57,4.1,5.25,https://www.radarfutebol.com/radar/ik-sirius-halmstads-bk/13292421,13292421
ITALY 3,2025-04-27,11:30,Pescara,Campobasso,1.62,3.65,5.3,https://www.radarfutebol.com/radar/us-campobasso-1919-pescara/12541834,12541834
NETHERLANDS 2,2025-04-27,11:45,Excelsior,FC Emmen,1.5,4.5,6.0,https://www.radarfutebol.com/radar/excelsior-fc-emmen/12441820,12441820
NORWAY 1,2025-04-27,12:00,Bodo/Glimt,KFUM Oslo,1.25,6.0,10.0,https://www.radarfutebol.com/radar/kfum-oslo-bodoglimt/13292870,13292870
NORWAY 1,2025-04-27,12:00,Brann,Bryne,1.33,5.0,9.0,https://www.radarfutebol.com/radar/sk-brann-bryne-fk/13292871,13292871
NORWAY 1,2025-04-27,12:00,Haugesund,Fredrikstad,4.0,3.4,1.91,https://www.radarfutebol.com/radar/fredrikstad-fk-haugesund/13292872,13292872
NORWAY 1,2025-04-27,12:00,Kristiansund,Valerenga,3.2,3.6,2.1,https://www.radarfutebol.com/radar/valerenga-if-kristiansund-bk/13292873,13292873
NORWAY 1,2025-04-27,12:00,Sandefjord,HamKam,1.67,3.9,4.75,https://www.radarfutebol.com/radar/sandefjord-fotball-hamkam/13292874,13292874
NORWAY 1,2025-04-27,12:00,Sarpsborg 08,Stromsgodset,1.91,3.9,3.5,https://www.radarfutebol.com/radar/stromsgodset-sarpsborg-08/13292875,13292875
NORWAY 2,2025-04-27,12:00,Lyn,Lillestrom,3.3,4.0,1.83,https://www.radarfutebol.com/radar/lillestrom-sk-lyn-fk/13268472,13268472
NORWAY 2,2025-04-27,12:00,Moss,Stabaek,2.5,3.5,2.5,https://www.radarfutebol.com/radar/stabaek-fotball-moss-fk/13268473,13268473
CZECH 2,2025-04-27,12:00,Varnsdorf,Prostejov,2.1,3.2,3.0,https://www.radarfutebol.com/radar/1-sk-prostejov-fk-varnsdorf/12449313,12449313
