League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Serbia SuperLiga,2024-12-09,10:00:00,18,OFK Beograd,Novi Pazar,2.4,2.2,4.33,1.81,3.4,3.65,1.4,2.75,1.02,10.0,1.22,3.8,1.92,1.9,1.8,1.91,1.2,1.24,1.88,1.38,0.88,1.53,1.28,2.81,1.64,8.0,2.67,1.4,2.82,1.68,2.12,2.11,1.68,2.75,1.42,3.8,1.24
Serbia SuperLiga,2024-12-09,12:00:00,18,IMT Novi Beograd,Napredak,2.4,2.1,4.5,1.79,3.2,4.0,1.4,2.75,1.03,9.0,1.29,3.3,2.01,1.81,1.83,1.83,1.16,1.24,1.97,1.14,0.88,1.19,0.99,2.18,1.31,9.5,4.41,1.3,2.88,1.57,2.08,2.03,1.67,2.61,1.36,3.65,1.18
Romania Liga I,2024-12-09,12:30:00,19,Hermannstadt,Oţelul Galaţi,3.6,1.91,3.75,2.55,2.89,2.62,1.62,2.2,1.11,5.8,1.55,2.3,2.59,1.44,2.2,1.62,1.35,1.33,1.38,1.67,1.44,1.23,1.35,2.58,1.66,6.4,2.48,1.4,2.65,1.68,2.02,2.1,1.62,2.7,1.38,3.55,1.23
Greece Super League,2024-12-09,12:30:00,14,Kallithea,Levadiakos,3.2,2.0,3.75,2.29,3.05,2.83,1.5,2.5,1.09,7.4,1.43,2.85,2.19,1.6,1.95,1.8,1.4,1.4,1.58,0.5,0.5,1.5,1.0,2.5,2.02,5.6,2.18,1.44,2.43,1.83,1.87,2.35,1.47,3.14,1.25,4.3,1.18
Serbia SuperLiga,2024-12-09,14:00:00,18,Radnički Niš,Radnički Kragujevac,3.0,2.25,3.1,2.36,3.35,2.51,1.33,3.25,1.01,11.0,1.17,4.5,1.82,2.0,1.57,2.25,1.43,1.25,1.49,2.25,1.38,1.78,1.74,3.52,1.82,8.0,2.39,1.33,2.73,1.65,2.05,2.05,1.59,2.73,1.33,3.85,1.24
Turkey Süper Lig,2024-12-09,14:00:00,15,Gazişehir Gaziantep,Rizespor,3.1,2.2,3.25,2.54,3.26,2.67,1.36,3.0,1.05,13.0,1.25,3.82,1.75,1.95,1.62,2.2,1.5,1.33,1.57,1.83,1.5,1.55,1.07,2.62,1.9,6.4,2.12,1.36,2.8,1.61,2.15,1.98,1.72,2.55,1.44,3.3,1.27
Poland Ekstraklasa,2024-12-09,15:00:00,18,Korona Kielce,Pogoń Szczecin,3.6,2.2,2.88,3.1,3.25,2.22,1.4,2.75,1.05,9.0,1.28,3.5,1.9,1.94,1.7,2.05,1.6,1.25,1.38,0.88,0.5,1.43,1.47,2.9,2.07,6.75,1.9,1.21,3.65,1.38,2.65,1.83,2.0,2.0,1.66,2.55,1.42
Romania Liga I,2024-12-09,15:30:00,4,Universitatea Cluj,CFR Cluj,3.6,1.91,3.6,2.65,2.83,2.57,1.57,2.25,1.1,6.2,1.5,2.4,2.47,1.48,2.1,1.67,1.38,1.32,1.35,1.75,2.0,1.53,1.25,2.78,1.65,6.75,2.48,1.3,3.05,1.53,2.28,1.86,1.8,2.32,1.52,3.0,1.32
Netherlands Eerste Divisie,2024-12-09,16:00:00,18,Ajax II,De Graafschap,3.6,2.5,2.4,3.75,3.7,1.9,1.22,4.0,1.01,17.0,1.12,6.0,1.44,2.7,1.4,2.75,1.83,1.2,1.35,0.75,1.25,1.58,1.85,3.43,2.82,6.2,1.62,1.21,3.9,1.3,3.1,1.55,2.25,1.95,1.75,2.6,1.43
Netherlands Eerste Divisie,2024-12-09,16:00:00,18,Utrecht II,Eindhoven,3.4,2.2,3.1,2.75,3.6,2.35,1.4,2.75,1.04,12.0,1.28,3.6,1.85,1.95,1.73,2.0,1.57,1.25,1.44,0.56,1.44,1.44,1.13,2.57,2.07,6.75,1.91,1.24,3.65,1.41,2.65,1.66,2.07,2.0,1.7,2.55,1.45
Netherlands Eerste Divisie,2024-12-09,16:00:00,18,PSV II,Roda JC,3.75,2.4,2.5,3.75,3.7,1.91,1.29,3.5,1.04,10.0,1.16,5.0,1.53,2.4,1.5,2.5,1.85,1.22,1.3,0.63,1.11,1.56,1.66,3.22,3.5,8.0,1.39,1.2,3.9,1.28,3.3,1.52,2.32,1.92,1.78,2.55,1.45
Spain Segunda División,2024-12-09,16:30:00,18,FC Cartagena,Sporting Gijón,5.0,2.0,2.63,3.75,3.3,1.96,1.5,2.5,1.08,7.5,1.42,2.75,2.14,1.63,2.1,1.67,1.85,1.25,1.18,0.5,1.25,1.19,1.19,2.38,2.46,8.3,1.79,1.28,2.94,1.56,2.16,2.0,1.72,2.59,1.39,3.54,1.2
France Ligue 2,2024-12-09,16:45:00,15,Metz,Dunkerque,2.4,2.2,4.75,1.79,3.45,4.3,1.4,2.75,1.05,9.5,1.3,3.3,1.93,1.78,1.83,1.83,1.15,1.22,2.0,2.14,1.17,1.62,1.31,2.93,1.58,6.1,2.48,1.42,2.65,1.7,2.0,2.1,1.64,2.75,1.38,3.65,1.23
Italy Serie A,2024-12-09,16:45:00,15,Monza,Udinese,3.4,1.95,3.6,2.56,3.0,2.81,1.53,2.38,1.1,7.5,1.47,2.75,2.36,1.55,2.0,1.75,1.44,1.33,1.5,0.43,0.71,1.0,1.41,2.41,1.82,5.85,2.42,1.25,3.5,1.49,2.42,1.85,1.82,2.48,1.46,3.5,1.25
Argentina Primera División,2024-12-09,17:00:00,26,Tigre,Independiente Rivadavia,2.88,1.95,4.5,2.1,3.2,3.7,1.62,2.2,1.09,6.83,1.52,2.35,2.5,1.5,2.1,1.67,1.26,1.32,1.75,1.24,1.36,1.27,1.18,2.45,1.62,5.9,2.92,1.57,2.23,1.98,1.72,2.55,1.44,3.4,1.26,4.6,1.15
England Premier League,2024-12-09,17:00:00,15,West Ham United,Wolverhampton Wanderers,2.5,2.38,4.0,1.96,3.5,3.5,1.3,3.4,1.03,17.0,1.2,4.85,1.55,2.36,1.57,2.25,1.3,1.25,1.92,1.0,0.71,1.48,1.22,2.7,1.42,7.0,3.15,1.15,4.6,1.29,3.2,1.47,2.43,1.76,1.94,2.17,1.6
Spain La Liga,2024-12-09,17:00:00,16,Getafe CF,RCD Espanyol,2.6,1.83,6.5,1.8,3.1,5.75,1.67,2.1,1.13,6.0,1.6,2.2,3.0,1.4,2.63,1.44,1.15,1.3,2.05,1.38,0.14,1.27,0.84,2.11,1.47,6.75,3.05,1.54,2.3,1.9,1.78,2.43,1.47,3.15,1.29,4.3,1.17
England EFL League One,2024-12-09,17:00:00,19,Northampton Town,Peterborough United,3.75,2.4,2.5,3.05,3.45,1.9,1.29,3.5,1.02,17.0,1.18,4.75,1.58,2.23,1.5,2.5,1.8,1.22,1.33,1.38,1.0,1.24,1.19,2.43,2.4,6.5,1.7,1.26,3.4,1.46,2.5,1.74,1.96,2.15,1.61,2.7,1.38
Portugal Liga NOS,2024-12-09,17:15:00,13,Estrela Amadora,FC Arouca,3.25,2.05,3.5,2.45,3.2,2.78,1.44,2.63,1.07,9.0,1.38,3.0,2.14,1.66,1.91,1.91,1.44,1.3,1.52,1.33,0.67,1.23,1.02,2.25,1.91,8.0,2.2,1.23,3.9,1.42,2.75,1.7,2.1,2.05,1.7,2.7,1.42
Argentina Primera División,2024-12-09,19:15:00,26,Belgrano,Estudiantes,3.5,2.0,3.4,2.8,3.25,2.6,1.53,2.38,1.08,7.29,1.45,2.69,2.3,1.6,1.95,1.8,1.48,1.32,1.48,1.36,1.36,1.23,1.51,2.74,1.86,6.4,2.15,1.3,3.15,1.52,2.33,1.86,1.82,2.33,1.52,3.05,1.32
Argentina Primera División,2024-12-09,19:15:00,26,Argentinos Juniors,San Lorenzo,3.0,1.83,5.0,2.05,3.1,4.0,1.62,2.2,1.12,5.87,1.53,2.3,3.1,1.36,2.5,1.5,1.24,1.33,1.78,1.04,1.16,1.45,1.27,2.72,1.48,6.75,3.05,1.44,2.55,1.72,1.97,2.17,1.6,2.8,1.37,3.65,1.23
Argentina Primera División,2024-12-09,21:30:00,26,Huracán,Platense,2.88,1.8,6.0,2.0,2.88,4.75,1.62,2.2,1.15,5.24,1.55,2.3,3.5,1.3,2.75,1.4,1.22,1.36,1.75,1.64,1.44,1.2,1.22,2.42,1.49,6.5,2.9,1.5,2.35,1.85,1.83,2.38,1.5,3.15,1.3,4.2,1.18
Argentina Primera División,2024-12-09,21:30:00,26,Independiente,Atlético Tucumán,2.75,1.91,5.0,1.95,3.3,4.33,1.57,2.25,1.09,6.71,1.51,2.35,2.6,1.48,2.25,1.57,1.25,1.32,1.78,1.44,1.48,1.25,1.46,2.71,1.5,6.75,2.85,1.4,2.7,1.66,2.07,2.04,1.67,2.63,1.42,3.4,1.26
