League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Portugal LigaPro,2024-12-29,08:00:00,16,FC Penafiel,Benfica II,3.12,2.07,3.3,2.7,3.24,2.45,1.42,2.74,1.03,7.3,1.28,3.08,1.96,1.76,1.74,1.98,1.45,1.32,1.47,1.78,1.5,1.18,1.48,2.66,2.41,8.5,1.75,1.13,4.5,1.28,3.05,1.53,2.27,1.92,1.88,2.45,1.46
Italy Serie A,2024-12-29,08:30:00,18,Udinese,Torino,3.1,1.95,4.33,2.16,3.01,3.58,1.57,2.25,1.1,7.5,1.48,2.7,2.45,1.5,2.05,1.7,1.32,1.33,1.65,1.44,1.2,1.03,1.09,2.12,1.84,6.4,2.17,1.3,3.05,1.54,2.3,1.88,1.8,2.38,1.5,3.1,1.3
Italy Serie B,2024-12-29,08:30:00,20,Cremonese,Brescia,2.4,2.1,5.0,1.68,3.26,4.39,1.44,2.63,1.07,8.0,1.38,3.0,2.1,1.65,2.0,1.75,1.18,1.25,2.0,1.3,1.0,1.54,1.18,2.72,1.5,7.0,2.8,1.28,3.2,1.49,2.43,1.78,1.92,2.23,1.57,2.8,1.36
England EFL League One,2024-12-29,09:30:00,23,Rotherham United,Stockport County,3.6,2.1,3.1,2.63,3.27,2.25,1.44,2.63,1.05,11.0,1.33,3.2,2.0,1.73,1.91,1.91,1.57,1.25,1.44,1.64,1.17,1.52,1.27,2.79,1.98,6.75,1.98,1.28,3.3,1.49,2.4,1.79,1.9,2.23,1.57,2.8,1.36
England Championship,2024-12-29,09:30:00,24,Sheffield United,West Bromwich Albion,2.75,2.0,4.75,1.97,3.14,3.92,1.53,2.38,1.09,7.0,1.45,2.7,2.38,1.57,2.1,1.67,1.25,1.28,1.77,2.42,1.38,1.41,1.12,2.53,1.7,7.0,2.35,1.15,4.6,1.27,3.3,1.47,2.48,1.72,1.97,2.1,1.64
England Championship,2024-12-29,09:30:00,24,Preston North End,Sheffield Wednesday,3.2,2.05,3.6,2.43,2.91,2.91,1.44,2.63,1.08,9.0,1.36,3.2,2.1,1.67,1.8,1.91,1.42,1.32,1.55,1.62,1.42,1.19,1.2,2.39,2.3,6.75,1.74,1.19,4.1,1.34,2.9,1.56,2.23,1.88,1.81,2.3,1.53
England EFL League One,2024-12-29,09:30:00,23,Charlton Athletic,Wycombe Wanderers,3.4,2.1,3.2,2.55,3.18,2.36,1.4,2.75,1.05,11.0,1.3,3.4,1.85,1.76,1.75,2.0,1.53,1.25,1.47,1.73,2.08,1.31,1.46,2.77,1.94,6.5,2.05,1.21,3.8,1.38,2.75,1.62,2.14,1.97,1.72,2.48,1.47
England EFL League Two,2024-12-29,09:30:00,23,Carlisle United,Accrington Stanley,2.88,2.2,3.6,2.08,3.34,2.87,1.36,3.0,1.05,9.5,1.25,3.75,1.72,1.9,1.67,2.1,1.35,1.25,1.65,0.75,0.73,1.34,1.32,2.66,1.79,6.4,2.23,1.35,2.9,1.6,2.17,1.98,1.73,2.5,1.46,3.3,1.28
England EFL League Two,2024-12-29,09:30:00,23,Bromley,Swindon Town,2.88,2.2,3.6,2.23,3.27,2.66,1.36,3.0,1.05,9.5,1.28,3.55,1.76,1.85,1.67,2.1,1.36,1.25,1.62,1.25,0.77,1.49,1.01,2.5,1.88,6.75,2.1,1.25,3.45,1.44,2.55,1.71,2.0,2.08,1.66,2.65,1.42
England Championship,2024-12-29,09:30:00,24,Norwich City,Queens Park Rangers,2.5,2.2,4.33,1.81,3.57,3.76,1.36,3.0,1.04,13.0,1.26,4.0,1.76,1.95,1.73,2.0,1.24,1.22,2.0,1.67,1.0,1.44,0.8,2.24,1.57,6.75,2.65,1.15,4.6,1.28,3.2,1.47,2.48,1.74,1.96,2.14,1.62
Italy Serie A,2024-12-29,11:00:00,18,Napoli,Venezia,1.73,2.6,9.0,1.34,5.3,9.4,1.3,3.4,1.02,17.0,1.2,4.5,1.63,2.3,2.05,1.7,1.01,1.1,3.75,2.33,0.3,1.48,0.95,2.43,1.17,9.0,5.3,1.21,3.8,1.38,2.75,1.64,2.1,1.98,1.72,2.48,1.47
Italy Serie B,2024-12-29,11:00:00,20,Modena,Südtirol,2.4,2.1,5.0,2.01,2.97,4.05,1.44,2.63,1.06,8.5,1.33,3.25,2.4,1.53,1.95,1.8,1.18,1.22,2.0,1.6,1.0,1.41,1.17,2.58,1.57,6.25,2.7,1.46,2.5,1.77,1.93,2.2,1.58,2.9,1.35,3.9,1.21
Italy Serie B,2024-12-29,11:00:00,20,Mantova,Reggiana,2.5,2.05,5.5,2.85,2.93,2.56,1.5,2.5,1.09,7.0,1.44,2.7,2.25,1.6,2.1,1.67,1.18,1.28,1.95,1.8,1.2,1.37,1.25,2.62,1.55,6.4,2.8,1.5,2.4,1.84,1.84,2.35,1.5,3.1,1.3,4.1,1.19
Italy Serie B,2024-12-29,11:00:00,20,Carrarese,Cesena,3.2,2.0,3.75,2.58,2.8,2.96,1.5,2.5,1.08,7.5,1.42,2.8,2.35,1.55,1.95,1.8,1.36,1.3,1.53,2.1,0.5,1.3,1.31,2.61,1.85,6.1,2.17,1.46,2.5,1.75,1.95,2.2,1.57,2.9,1.35,3.9,1.21
Italy Serie B,2024-12-29,11:00:00,20,Sassuolo,Cosenza,1.8,2.5,9.0,1.44,4.25,6.5,1.33,3.25,1.04,10.0,1.22,4.2,1.75,2.0,2.2,1.62,1.05,1.15,3.35,2.5,1.0,1.65,1.34,2.99,1.24,8.0,4.4,1.25,3.45,1.44,2.55,1.7,2.02,2.07,1.67,2.55,1.43
Portugal LigaPro,2024-12-29,11:00:00,16,CD Mafra,CD Feirense,3.18,1.88,3.88,2.3,2.89,3.1,1.53,2.4,1.05,6.7,1.38,2.63,2.3,1.57,1.93,1.78,1.35,1.36,1.51,1.0,0.88,1.22,1.36,2.58,1.82,8.0,2.39,1.24,3.34,1.47,2.42,2.0,1.8,2.34,1.5,3.08,1.28
Italy Serie B,2024-12-29,11:00:00,20,Bari 1908,Spezia,3.75,1.91,3.5,2.95,2.95,2.49,1.57,2.25,1.11,6.25,1.46,2.4,2.35,1.55,2.05,1.7,1.42,1.33,1.42,1.55,1.36,1.34,1.3,2.64,1.96,6.75,2.0,1.27,3.4,1.47,2.48,1.74,1.96,2.17,1.6,2.75,1.38
England Premier League,2024-12-29,11:30:00,19,Leicester City,Manchester City,7.0,2.88,1.67,8.8,5.9,1.34,1.2,4.33,1.01,27.0,1.09,7.0,1.33,3.2,1.67,2.1,3.5,1.09,1.06,0.9,1.4,1.08,1.83,2.91,5.3,10.0,1.16,1.14,4.6,1.28,3.3,1.46,2.48,1.73,1.96,2.12,1.63
England Championship,2024-12-29,12:00:00,24,Stoke City,Sunderland,3.75,2.05,3.1,3.2,3.45,2.22,1.44,2.63,1.06,10.0,1.38,3.1,2.0,1.8,1.83,1.83,1.6,1.28,1.4,1.31,1.46,1.22,1.29,2.51,2.1,6.5,1.88,1.18,4.24,1.38,2.88,1.68,2.17,2.08,1.75,2.67,1.45
England Premier League,2024-12-29,12:00:00,19,Fulham,AFC Bournemouth,3.0,2.3,3.25,2.4,3.65,2.95,1.33,3.25,1.03,15.0,1.22,4.5,1.69,2.23,1.57,2.25,1.45,1.28,1.61,1.6,1.5,1.59,1.53,3.12,1.88,6.75,2.08,1.14,4.6,1.28,3.3,1.47,2.48,1.73,1.96,2.12,1.63
England Premier League,2024-12-29,12:00:00,19,Tottenham Hotspur,Wolverhampton Wanderers,1.91,2.75,5.0,1.62,4.95,4.75,1.2,4.33,1.01,29.0,1.09,8.0,1.33,3.2,1.44,2.63,1.13,1.16,2.76,1.4,0.9,1.74,1.23,2.97,1.18,10.0,5.1,1.08,6.1,1.17,4.35,1.29,3.2,1.47,2.48,1.72,1.98
England EFL League Two,2024-12-29,12:00:00,23,Bradford City,Chesterfield,3.1,2.2,3.5,2.25,3.5,3.0,1.4,2.75,1.05,9.5,1.28,3.55,1.87,1.9,1.73,2.0,1.4,1.25,1.55,2.18,1.33,1.41,1.27,2.68,1.9,6.5,2.1,1.26,3.4,1.46,2.48,1.74,1.96,2.17,1.58,2.75,1.38
England EFL League Two,2024-12-29,12:00:00,23,Colchester United,Doncaster Rovers,3.6,2.05,3.2,2.9,3.3,2.45,1.44,2.63,1.06,8.5,1.38,3.0,2.05,1.75,1.83,1.83,1.57,1.25,1.4,1.42,1.5,1.65,1.33,2.98,2.08,6.5,1.9,1.28,3.3,1.48,2.43,1.77,1.93,2.18,1.58,2.8,1.38
