League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Serbia SuperLiga,2024-12-20,13:00:00,20,Mladost Lučani,Novi Pazar,0.0,0.0,0.0,2.0,3.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,1.44,0.89,1.01,1.26,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia Prva HNL,2024-12-20,14:00:00,18,Osijek,Istra 1961,2.2,2.25,6.0,1.53,3.9,5.5,1.35,3.06,1.02,10.0,1.22,3.8,1.95,1.85,2.0,1.73,1.15,1.24,2.2,1.63,1.0,1.57,1.04,2.61,1.34,6.8,4.3,1.32,3.0,1.6,2.15,2.05,1.65,2.85,1.36,4.0,1.2
Romania Liga I,2024-12-20,14:00:00,21,Sepsi,Universitatea Cluj,3.3,1.92,3.65,2.4,2.9,2.88,1.54,2.35,1.06,6.2,1.45,2.6,2.35,1.51,2.02,1.74,1.36,1.34,1.43,1.7,1.6,1.45,1.28,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2024-12-20,14:00:00,17,Eyüpspor,Fenerbahçe,5.0,2.3,2.05,5.16,4.48,1.55,1.3,3.2,1.03,17.0,1.19,4.5,1.61,2.26,1.65,2.1,2.3,1.18,1.15,2.29,2.13,1.41,1.52,2.93,2.8,6.5,1.52,1.41,2.65,1.68,2.04,2.08,1.65,2.65,1.4,3.55,1.24
Germany 2. Bundesliga,2024-12-20,14:30:00,17,Fortuna Düsseldorf,Magdeburg,2.5,2.25,3.75,1.91,3.6,3.75,1.33,3.05,1.04,10.0,1.22,4.0,1.66,2.05,1.62,2.2,1.28,1.22,1.83,1.13,2.38,1.6,1.23,2.83,1.61,6.75,2.55,1.36,2.8,1.61,2.15,1.98,1.72,2.55,1.44,3.3,1.27
Germany 2. Bundesliga,2024-12-20,14:30:00,17,Elversberg,Schalke 04,2.7,2.2,3.4,2.15,3.6,3.1,1.3,3.25,1.04,10.0,1.2,4.5,1.58,2.2,1.45,2.5,1.38,1.22,1.65,2.0,1.13,1.51,1.35,2.86,1.78,6.5,2.23,1.32,3.0,1.56,2.23,1.9,1.78,2.4,1.49,3.15,1.3
Portugal LigaPro,2024-12-20,15:00:00,15,Leixões,CD Mafra,2.47,1.97,5.2,1.75,3.3,4.5,1.52,2.43,1.05,6.65,1.42,2.5,2.3,1.53,2.14,1.63,1.18,1.3,1.92,2.0,1.0,1.3,1.08,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-12-20,16:00:00,20,Dordrecht,Eindhoven,2.25,2.5,4.33,1.71,4.34,4.08,1.25,3.75,1.01,13.0,1.16,5.0,1.5,2.5,1.53,2.38,1.22,1.18,2.1,2.11,1.6,1.91,1.18,3.09,1.56,6.75,2.65,1.29,3.15,1.5,2.38,1.82,1.86,2.28,1.54,2.9,1.34
Netherlands Eerste Divisie,2024-12-20,16:00:00,20,Emmen,Den Bosch,2.3,2.38,4.5,1.7,3.97,4.56,1.33,3.25,1.02,15.0,1.2,4.33,1.65,2.2,1.67,2.1,1.22,1.2,2.05,1.3,1.56,1.66,1.23,2.89,1.6,6.75,2.55,1.35,2.88,1.6,2.17,1.98,1.73,2.55,1.45,3.3,1.27
Netherlands Eerste Divisie,2024-12-20,16:00:00,20,Cambuur,AZ II,1.91,2.75,5.5,1.4,5.15,6.57,1.2,4.33,0.0,0.0,1.1,6.5,1.36,3.1,1.53,2.38,1.11,1.12,2.85,1.11,1.11,1.8,1.33,3.13,1.38,7.0,3.4,1.26,3.4,1.47,2.48,1.75,1.95,2.18,1.58,2.8,1.38
