League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
SOUTH KOREA 1,2025-05-02,07:30:00,11,Pohang Steelers,Sangju Sangmu,3.4,2.2,3.0,2.43,3.55,2.65,1.36,3.0,2.75,1.4,7.0,1.1,1.05,9.5,1.28,3.6,1.77,1.98,1.67,2.1,1.53,1.3,1.42,2.0,1.4,1.65,1.49,3.14,2.1,7.5,1.95,1.61,2.23,1.95,1.77,2.58,1.44,3.48,1.24,4.8,1.13
SOUTH KOREA 1,2025-05-02,07:30:00,11,Ulsan,Gwangju,2.63,2.1,4.5,1.91,3.34,4.0,1.44,2.63,3.25,1.33,9.0,1.07,1.07,8.0,1.38,3.0,2.05,1.61,1.91,1.8,1.27,1.3,1.77,1.17,1.2,2.07,1.12,3.19,1.59,8.0,2.9,1.51,2.39,1.85,1.85,2.4,1.53,3.2,1.3,4.25,1.16
CHINA 1,2025-05-02,08:00:00,10,Qingdao Youth Island,Meizhou Hakka,2.5,2.4,3.75,1.64,4.1,4.1,1.29,3.5,2.25,1.57,5.5,1.14,1.04,9.5,1.2,4.33,1.57,2.15,1.53,2.38,1.28,1.22,1.8,1.6,0.75,1.12,1.26,2.38,1.95,8.1,2.11,1.2,3.9,1.39,2.78,1.64,2.17,2.05,1.7,2.52,1.46
CHINA 1,2025-05-02,08:35:00,10,Chengdu Better City FC,Shanghai Shenhua,2.88,2.3,3.5,2.16,3.58,2.79,1.33,3.25,2.5,1.5,6.5,1.11,1.04,9.0,1.22,3.85,1.7,2.0,1.62,2.2,1.36,1.25,1.65,1.75,2.33,2.28,1.71,3.99,1.75,8.2,2.39,1.2,3.9,1.39,2.78,1.64,2.17,2.0,1.73,2.52,1.46
BULGARIA 1,2025-05-02,09:00:00,2,Botev Vratsa,Septemvri Sofia,2.8,2.05,3.65,2.18,3.3,3.26,1.4,2.75,2.9,1.38,7.0,1.08,1.03,9.5,1.29,3.3,1.95,1.8,1.75,1.95,1.28,1.3,1.65,0.77,1.16,1.21,1.15,2.36,1.71,8.4,2.23,1.27,3.25,1.45,2.55,2.08,1.88,2.32,1.56,3.02,1.33
EGYPT 1,2025-05-02,11:00:00,4,Smouha SC,Ismaily SC,3.0,1.77,4.5,2.19,2.75,3.8,1.65,2.15,4.4,1.2,15.0,1.03,1.13,4.75,1.65,2.04,3.3,1.28,2.5,1.5,1.44,1.39,1.65,1.05,0.8,1.33,0.97,2.3,1.59,8.0,2.91,1.46,2.59,1.78,1.97,2.26,1.6,2.9,1.36,3.92,1.19
ROMANIA 1,2025-05-02,11:30:00,7,CSM Iaşi,Sepsi,3.25,2.1,2.95,2.82,3.08,2.56,1.37,2.85,2.65,1.42,6.75,1.09,1.05,8.5,1.3,3.35,1.8,1.83,1.7,2.0,1.53,1.31,1.41,1.59,1.0,1.44,1.46,2.9,1.98,6.4,1.98,1.29,3.15,1.5,2.35,1.82,1.85,2.25,1.53,2.9,1.34
BULGARIA 1,2025-05-02,11:30:00,2,Slavia Sofia,CSKA 1948 Sofia,2.9,2.05,3.6,2.2,3.0,2.8,1.38,2.8,2.88,1.4,7.2,1.08,1.01,8.0,1.33,3.2,1.94,1.75,1.75,1.93,1.28,1.3,1.57,1.45,1.1,1.4,1.72,3.12,1.96,7.4,2.12,1.37,2.85,1.64,2.19,2.03,1.73,2.6,1.41,3.4,1.22
FINLAND 1,2025-05-02,12:00:00,5,VPS,Ilves,3.6,2.38,2.5,3.3,3.94,1.95,1.25,3.6,2.2,1.6,4.75,1.15,1.03,10.0,1.15,4.75,1.5,2.4,1.48,2.45,1.25,1.24,1.35,1.5,1.5,1.89,2.6,4.49,2.3,8.2,1.87,1.18,3.6,1.38,2.71,1.69,2.0,2.12,1.61,2.68,1.41
FINLAND 1,2025-05-02,12:00:00,5,Haka,Jaro,2.56,2.1,3.5,2.08,3.3,3.0,1.4,3.0,2.6,1.42,5.8,1.09,1.02,10.9,1.23,3.7,1.85,1.95,1.6,2.2,1.27,1.27,1.72,2.0,1.0,1.83,1.02,2.85,1.85,8.0,2.25,1.19,3.76,1.45,2.64,1.73,2.0,2.1,1.59,2.75,1.33
