League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Uruguay Primera División,2024-11-26,09:45:00,0,River Plate,Cerro,3.1,2.05,3.75,2.17,3.0,2.9,1.5,2.5,1.05,8.0,1.35,2.85,2.05,1.61,1.83,1.83,1.3,1.33,1.6,1.22,0.89,1.42,0.96,2.38,1.95,7.5,2.1,1.37,2.83,1.65,2.1,2.08,1.67,2.73,1.4,3.7,1.23
Austria 2. Liga,2024-11-26,14:30:00,14,Austria Lustenau,SV Stripfing Weiden,2.25,2.2,5.0,1.67,3.7,5.0,1.36,3.0,1.04,9.0,1.25,3.6,1.95,1.85,1.91,1.8,1.15,1.2,2.1,0.86,0.57,1.3,1.07,2.37,1.36,9.5,3.78,1.18,3.74,1.38,2.62,2.2,2.03,2.1,1.59,2.73,1.33
Netherlands Eerste Divisie,2024-11-26,16:00:00,15,Utrecht II,Excelsior,5.0,2.5,2.1,4.5,4.0,1.55,1.25,3.75,1.01,15.0,1.16,5.0,1.5,2.5,1.57,2.25,2.35,1.17,1.18,0.57,1.57,1.46,1.84,3.3,5.0,9.0,1.22,1.22,3.7,1.43,2.6,1.78,1.92,2.32,1.52,3.15,1.3
Netherlands Eerste Divisie,2024-11-26,16:00:00,15,Roda JC,Vitesse,2.2,2.5,4.75,1.63,4.2,4.8,1.29,3.5,1.01,15.0,1.16,5.0,1.57,2.35,1.57,2.25,1.17,1.18,2.35,2.17,1.14,1.83,1.46,3.29,1.41,6.8,3.7,0.0,0.0,1.28,3.3,1.52,2.3,1.92,1.75,2.52,1.45
Netherlands Eerste Divisie,2024-11-26,16:00:00,15,Cambuur,Den Bosch,2.25,2.5,4.5,1.7,4.13,4.38,1.29,3.5,1.01,15.0,1.16,5.0,1.53,2.4,1.53,2.38,1.2,1.18,2.2,1.0,1.43,1.85,1.25,3.1,1.21,9.5,5.05,1.15,4.5,1.24,3.55,1.48,2.45,1.82,1.85,2.38,1.5
Uruguay Primera División,2024-11-26,16:30:00,14,Rampla Juniors,Liverpool FC Montevideo,3.6,2.1,3.1,3.1,3.2,2.15,1.44,2.63,1.05,8.0,1.3,3.1,1.95,1.73,1.8,1.91,1.57,1.3,1.36,1.38,0.82,1.16,1.34,2.5,2.05,7.5,2.05,1.37,2.83,1.65,2.1,2.08,1.67,2.73,1.4,3.7,1.23
Spain Segunda División,2024-11-26,16:30:00,13,Almería,Córdoba,2.25,2.25,4.5,1.65,3.8,4.4,1.32,3.15,1.04,10.0,1.2,4.2,1.63,2.1,1.66,2.15,1.16,1.2,2.1,1.83,0.14,1.76,1.3,3.06,1.69,8.0,2.62,1.34,2.98,1.6,2.19,2.0,1.72,2.6,1.44,3.5,1.26
England EFL League One,2024-11-26,16:45:00,11,Wigan Athletic,Northampton Town,2.4,2.1,5.5,1.7,3.4,5.25,1.44,2.63,1.06,8.5,1.36,3.1,2.3,1.55,2.0,1.75,1.15,1.22,2.15,1.38,0.78,1.1,1.06,2.16,1.41,8.5,3.5,1.33,3.0,1.57,2.25,1.95,1.77,2.47,1.48,3.3,1.29
England EFL League Two,2024-11-26,16:45:00,5,Tranmere Rovers,AFC Wimbledon,3.75,2.0,3.1,3.25,3.25,2.15,1.5,2.5,1.07,8.0,1.4,2.9,2.1,1.63,1.91,1.8,1.55,1.28,1.36,1.13,1.25,1.32,1.22,2.54,2.1,8.0,1.91,1.17,3.82,1.36,2.88,1.62,2.16,1.95,1.77,2.55,1.45
England EFL League Two,2024-11-26,16:45:00,11,Walsall,Bromley,2.2,2.3,5.0,1.65,4.0,4.75,1.33,3.25,1.04,10.0,1.22,4.2,1.66,2.05,1.73,2.0,1.14,1.18,2.38,2.29,1.29,1.48,1.33,2.81,1.37,9.5,3.69,1.17,4.4,1.33,3.0,1.56,2.26,1.95,1.77,2.4,1.51
England EFL League One,2024-11-26,16:45:00,5,Exeter City,Birmingham City,5.5,2.2,2.3,4.8,3.75,1.66,1.4,2.75,1.05,9.0,1.3,3.4,1.88,1.8,1.95,1.8,2.15,1.22,1.17,1.63,2.0,1.36,1.23,2.59,2.66,8.5,1.64,1.17,4.35,1.31,3.15,1.53,2.33,1.8,1.91,2.36,1.52
England EFL League One,2024-11-26,16:45:00,0,Wycombe Wanderers,Mansfield Town,2.25,2.3,4.75,1.68,3.9,4.4,1.33,3.25,1.04,10.0,1.22,4.2,1.68,2.0,1.7,2.05,1.17,1.2,2.15,2.57,1.71,1.45,1.17,2.62,1.64,8.5,2.66,1.25,3.58,1.45,2.55,1.7,2.05,2.21,1.59,2.9,1.36
England EFL League One,2024-11-26,16:45:00,11,Bristol Rovers,Blackpool,3.75,2.25,2.63,3.1,3.5,2.15,1.33,3.25,1.05,9.5,1.22,4.0,1.78,1.9,1.62,2.2,1.77,1.25,1.28,1.75,0.88,1.16,1.3,2.46,2.42,8.0,1.75,1.21,3.7,1.39,2.75,1.7,2.05,2.08,1.67,2.68,1.41
