League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
South Korea K League 1,2024-11-23,02:00:00,38,Sangju Sangmu,FC Seoul,2.63,2.1,4.33,2.6,3.34,2.69,1.44,2.63,1.06,8.5,1.33,3.1,2.05,1.77,1.83,1.83,1.25,1.25,1.8,1.95,1.4,1.62,1.35,2.97,1.64,8.0,2.77,1.48,2.48,1.82,1.98,2.35,1.53,3.15,1.31,4.4,1.12
South Korea K League 1,2024-11-23,02:00:00,38,Gangwon,Pohang Steelers,2.38,2.2,5.0,2.2,3.44,3.24,1.4,2.75,1.05,9.0,1.3,3.3,1.98,1.82,1.83,1.83,1.15,1.22,2.0,2.16,1.33,1.64,1.29,2.93,1.51,8.0,3.17,1.5,2.4,1.95,1.85,2.43,1.49,3.3,1.29,4.75,1.1
Bulgaria First League,2024-11-23,07:30:00,16,Arda,Lokomotiv Plovdiv,2.6,1.91,6.0,1.83,3.1,5.25,1.53,2.38,1.04,6.35,1.43,2.7,2.7,1.44,2.38,1.53,1.17,1.28,1.72,2.75,1.0,1.42,1.28,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2024-11-23,07:30:00,13,Eyüpspor,Rizespor,2.63,2.2,4.0,1.91,3.4,3.4,1.4,2.75,1.03,10.65,1.27,3.61,1.75,1.91,1.73,2.0,1.33,1.33,1.83,2.17,1.5,1.36,1.07,2.43,1.74,6.25,2.18,1.38,2.7,1.66,2.07,2.07,1.66,2.65,1.41,3.55,1.24
Portugal LigaPro,2024-11-23,08:00:00,0,Portimonense,Benfica II,2.99,2.12,3.34,2.3,3.3,2.6,1.39,2.86,1.0,8.3,1.24,3.22,1.85,1.75,1.7,2.03,1.42,1.28,1.52,0.8,2.0,1.34,1.33,2.67,2.02,5.95,2.15,1.14,4.15,1.38,2.82,1.65,2.19,1.98,1.82,2.62,1.43
Germany 2. Bundesliga,2024-11-23,09:00:00,13,Fortuna Düsseldorf,Elversberg,2.6,2.3,4.0,1.91,3.5,3.25,1.33,3.25,1.05,9.5,1.22,4.0,1.61,2.1,1.62,2.2,1.3,1.22,1.78,0.86,1.29,1.54,1.4,2.94,1.75,8.5,2.43,1.17,4.65,1.32,3.2,1.55,2.36,1.95,1.85,2.39,1.54
Germany 2. Bundesliga,2024-11-23,09:00:00,13,Hannover 96,Darmstadt 98,2.5,2.3,4.0,1.85,3.5,3.4,1.33,3.25,1.04,10.0,1.2,4.2,1.61,2.1,1.57,2.25,1.22,1.22,1.85,2.57,1.67,1.64,1.75,3.39,1.59,8.5,2.78,1.18,4.45,1.34,3.1,1.58,2.29,2.0,1.8,2.47,1.5
Germany 2. Bundesliga,2024-11-23,09:00:00,13,Greuther Fürth,Karlsruher SC,3.1,2.38,3.0,2.75,3.4,2.15,1.29,3.5,1.04,10.0,1.18,4.75,1.55,2.2,1.44,2.63,1.5,1.22,1.47,0.83,1.5,1.44,1.25,2.69,1.95,8.0,2.1,1.2,4.2,1.37,2.93,1.63,2.19,2.02,1.74,2.6,1.46
Germany 2. Bundesliga,2024-11-23,09:00:00,13,Hertha BSC,Ulm,2.25,2.3,5.0,1.67,3.7,4.2,1.33,3.25,1.04,10.0,1.22,4.0,1.73,1.95,1.73,2.0,1.14,1.2,2.15,1.0,1.0,1.37,0.95,2.32,1.51,9.0,3.06,1.2,4.2,1.37,2.93,1.63,2.19,2.02,1.74,2.6,1.46
England Premier League,2024-11-23,09:30:00,12,Leicester City,Chelsea,5.5,2.6,2.0,2.14,4.87,2.29,1.25,3.75,1.02,22.0,1.14,5.9,1.5,2.55,1.57,2.25,2.59,1.19,1.14,1.0,2.0,1.12,1.34,2.46,3.05,7.0,1.47,1.24,3.55,1.41,2.63,1.68,2.02,2.07,1.66,2.63,1.41
Czech Republic First League,2024-11-23,09:30:00,0,Jablonec,Baník Ostrava,3.25,2.2,3.2,3.07,2.96,2.26,1.4,2.75,1.0,8.3,1.28,3.5,1.88,1.94,1.7,2.05,1.5,1.25,1.47,1.86,1.33,1.63,1.63,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England EFL League Two,2024-11-23,09:30:00,17,Notts County,Newport County,1.91,2.6,6.0,1.39,4.11,5.5,1.25,3.75,1.03,11.0,1.18,4.75,1.7,2.0,1.67,2.1,1.1,1.15,2.75,1.75,0.78,1.71,0.82,2.53,1.23,9.5,5.18,0.0,0.0,0.0,0.0,1.77,1.95,0.0,0.0,0.0,0.0
England Championship,2024-11-23,09:30:00,16,Bristol City,Burnley,3.6,2.0,3.4,1.95,2.43,5.37,1.5,2.5,1.08,8.5,1.44,2.8,2.1,1.65,1.91,1.8,1.53,1.3,1.44,1.25,1.67,1.3,1.16,2.46,2.18,6.75,1.8,1.2,3.9,1.36,2.8,1.58,2.18,1.95,1.75,2.4,1.49
England EFL League Two,2024-11-23,09:30:00,0,Grimsby Town,Colchester United,3.25,2.1,3.25,2.31,2.94,2.52,1.4,2.75,1.06,8.5,1.3,3.4,1.96,1.8,1.73,2.0,1.42,1.28,1.53,1.13,1.0,1.22,1.08,2.3,1.75,7.5,2.45,1.25,3.58,1.45,2.55,1.75,1.96,2.21,1.59,2.9,1.36
England Championship,2024-11-23,09:30:00,0,Sheffield Wednesday,Cardiff City,2.63,2.2,4.0,3.59,1.95,3.15,1.4,2.75,1.06,10.0,1.33,3.4,1.96,1.88,1.73,2.0,1.3,1.28,1.8,1.33,0.5,1.45,1.08,2.53,1.5,7.0,2.9,1.21,3.7,1.4,2.7,1.65,2.08,2.0,1.71,2.5,1.46
England EFL League One,2024-11-23,09:30:00,0,Bolton Wanderers,Blackpool,2.5,2.3,4.0,1.25,7.85,5.44,1.33,3.25,1.02,15.0,1.2,4.33,1.62,2.15,1.57,2.25,1.28,1.22,1.9,1.75,0.88,1.67,1.3,2.97,1.58,6.75,2.43,1.21,3.8,1.38,2.75,1.64,2.1,2.0,1.71,2.5,1.46
England EFL League One,2024-11-23,09:30:00,17,Shrewsbury Town,Birmingham City,7.5,2.4,1.91,7.2,4.33,1.29,1.33,3.25,1.02,15.0,1.22,4.2,1.75,1.95,2.0,1.75,3.0,1.14,1.07,0.88,1.86,0.99,1.18,2.17,3.4,7.0,1.3,1.21,3.8,1.4,2.7,1.65,2.07,2.0,1.71,2.48,1.47
England EFL League One,2024-11-23,09:30:00,17,Stevenage,Leyton Orient,3.4,1.95,3.75,2.28,2.86,2.82,1.53,2.38,1.09,7.5,1.5,2.4,2.35,1.53,2.0,1.75,1.42,1.3,1.52,1.56,0.88,1.11,0.94,2.05,1.74,6.4,2.18,1.34,2.9,1.58,2.2,1.93,1.76,2.48,1.47,3.2,1.29
England Championship,2024-11-23,09:30:00,16,Coventry City,Sheffield United,3.2,2.1,3.4,1.8,2.63,5.73,1.4,2.75,1.06,11.0,1.33,3.4,2.03,1.85,1.73,2.0,1.45,1.28,1.55,1.29,1.75,1.86,1.37,3.23,1.81,7.0,2.15,1.09,5.8,1.19,4.1,1.32,3.05,1.5,2.35,1.79,1.9
Bulgaria First League,2024-11-23,10:00:00,16,Botev Plovdiv,Botev Vratsa,1.8,2.38,9.5,1.3,4.75,11.0,1.4,2.75,1.02,7.1,1.3,3.3,1.95,1.85,2.5,1.5,1.05,1.12,2.65,2.29,0.5,1.4,0.86,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain La Liga,2024-11-23,10:00:00,14,Valencia CF,Real Betis,3.75,1.95,3.25,3.1,3.0,2.5,1.53,2.38,1.1,7.5,1.48,2.7,2.5,1.53,2.0,1.75,1.55,1.33,1.4,1.33,0.86,1.31,1.29,2.6,1.98,6.4,1.98,1.35,2.9,1.6,2.17,1.96,1.73,2.5,1.46,3.3,1.27
Turkey Süper Lig,2024-11-23,10:00:00,13,Kayserispor,Fenerbahçe,6.0,2.4,2.0,2.86,3.26,2.21,1.3,3.4,1.03,17.0,1.19,4.5,1.65,2.1,1.73,2.0,2.8,1.22,1.15,0.5,2.43,1.64,1.49,3.13,3.3,7.0,1.34,1.3,3.1,1.53,2.3,1.86,1.82,2.33,1.5,3.05,1.3
France Ligue 2,2024-11-23,10:00:00,14,Paris,Annecy,2.2,2.25,5.5,1.53,3.68,5.03,1.36,3.0,1.05,9.5,1.25,3.75,1.84,2.0,1.83,1.83,1.11,1.18,2.3,2.0,1.0,1.79,1.31,3.1,1.41,8.5,3.5,1.32,3.2,1.58,2.28,2.02,1.74,2.7,1.43,3.75,1.24
Spain Segunda División,2024-11-23,10:00:00,16,FC Cartagena,Almería,4.75,2.2,2.4,7.21,1.4,3.87,1.4,2.75,1.05,9.0,1.3,3.3,2.01,1.81,1.83,1.83,2.0,1.22,1.16,0.57,1.38,1.2,1.39,2.59,2.65,6.4,1.52,1.34,2.85,1.6,2.15,1.98,1.82,2.5,1.44,3.3,1.27
Norway First Division,2024-11-23,10:00:00,0,Egersund,Kongsvinger,3.1,2.38,3.0,2.55,3.6,2.5,1.3,3.4,1.02,13.0,1.17,5.0,1.6,2.3,1.5,2.5,1.53,1.28,1.5,1.52,1.56,1.67,1.69,3.36,2.32,6.55,1.96,1.2,3.54,1.48,2.6,1.8,2.0,2.25,1.63,2.88,1.3
