League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
SOUTH KOREA 1,2025-04-23,07:30:00,19,Anyang,Ulsan,4.5,2.1,2.35,4.6,3.55,1.75,1.38,2.8,2.75,1.4,7.9,1.02,1.0,9.3,1.35,3.19,1.95,1.79,1.8,1.85,1.95,1.22,1.2,1.5,1.75,1.54,1.78,3.32,2.55,6.1,1.65,1.56,2.23,1.95,1.75,2.5,1.46,3.3,1.27,4.4,1.16
CROATIA 1,2025-04-23,10:00:00,31,Gorica,Dinamo Zagreb,5.75,2.38,1.95,6.4,4.3,1.38,1.32,3.1,2.6,1.42,5.8,1.1,1.04,10.0,1.25,3.6,1.8,1.95,1.95,1.83,1.22,1.14,1.11,1.73,1.27,1.06,1.83,2.89,4.55,9.6,1.28,1.36,2.79,1.67,2.1,2.45,1.69,2.83,1.33,3.6,1.25
SERBIA 1,2025-04-23,11:00:00,2,Novi Pazar,Vojvodina,3.4,2.2,2.75,3.6,3.6,1.95,1.33,3.25,2.63,1.44,6.0,1.11,1.04,9.0,1.2,4.2,1.7,2.03,1.62,2.2,1.77,1.22,1.28,1.6,1.73,1.75,1.81,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREECE 1,2025-04-23,12:00:00,4,Panserraikos,Panaitolikos,3.0,1.95,4.33,2.0,3.1,3.8,1.57,2.25,3.75,1.25,11.0,1.05,1.09,6.5,1.48,2.55,2.37,1.48,2.05,1.7,1.3,1.3,1.62,1.33,1.21,1.4,0.95,2.35,1.66,7.9,2.74,1.51,2.32,1.98,1.82,2.54,1.43,3.5,1.22,0.0,0.0
SERBIA 1,2025-04-23,12:00:00,2,Mladost Lučani,Bačka Topola,0.0,0.0,0.0,2.95,3.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,1.98,0.0,0.0,0.0,0.0,0.0,1.4,1.27,1.17,1.54,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREECE 1,2025-04-23,12:00:00,4,Lamia,Volos NFC,7.5,1.95,2.3,6.0,3.4,1.59,1.57,2.25,3.75,1.25,13.0,1.04,1.09,6.5,1.48,2.37,2.4,1.46,2.63,1.44,2.25,1.22,1.09,0.64,1.21,1.08,1.04,2.12,3.2,8.4,1.51,1.48,2.4,1.88,1.92,2.45,1.46,3.34,1.24,0.0,0.0
FINLAND 1,2025-04-23,12:00:00,15,KuPS,Mariehamn,1.62,2.31,8.5,1.42,4.5,7.1,1.33,3.0,2.65,1.43,6.55,1.1,1.05,10.0,1.25,3.64,1.85,1.89,2.1,1.65,1.05,1.15,3.2,3.0,3.0,1.66,1.12,2.78,1.27,10.7,4.88,1.17,3.98,1.36,2.79,1.65,2.11,2.05,1.65,2.66,1.37
ESTONIA 1,2025-04-23,12:00:00,9,Vaprus,Trans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.33,1.06,2.12,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROATIA 1,2025-04-23,12:30:00,31,Hajduk Split,Istra 1961,2.15,2.25,6.0,1.46,3.75,6.0,1.4,2.7,2.94,1.35,7.6,1.03,1.06,9.0,1.33,3.0,2.05,1.73,2.05,1.7,1.25,1.2,2.46,2.47,0.93,1.56,1.06,2.62,1.48,8.3,3.3,1.5,2.4,1.84,1.95,2.33,1.56,3.14,1.33,4.0,1.2
SERBIA 1,2025-04-23,13:00:00,2,Partizan,OFK Beograd,1.95,2.38,6.0,1.83,3.59,4.1,1.33,3.25,2.63,1.44,6.0,1.11,1.05,8.5,1.25,3.65,1.77,1.98,1.83,1.83,1.14,1.22,2.1,2.0,1.6,1.78,1.39,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
