League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
JAPAN 2,2025-06-08,02:00:00,17,Kataller Toyama,Mito Hollyhock,4.0,2.1,2.62,3.16,3.15,2.06,1.4,2.7,3.0,1.36,8.5,1.07,1.02,7.9,1.33,2.83,2.08,1.66,1.91,1.85,1.62,1.35,1.33,1.13,1.43,1.23,1.43,2.66,2.79,6.35,1.66,1.28,3.08,1.53,2.21,1.93,1.74,2.49,1.42,3.42,1.23
JAPAN 2,2025-06-08,02:00:00,17,Omiya Ardija,Ehime,2.0,2.4,5.5,1.49,3.97,5.1,1.3,3.3,2.45,1.5,6.0,1.12,1.01,11.0,1.15,4.2,1.65,2.0,1.75,2.0,1.15,1.22,2.4,2.5,1.14,1.8,1.28,3.08,1.44,7.1,3.54,1.18,3.82,1.37,2.66,1.68,2.01,2.1,1.59,2.78,1.34
SOUTH KOREA 2,2025-06-08,07:00:00,15,Incheon United,Bucheon 1995,2.25,2.2,5.5,1.62,3.56,4.6,1.4,2.75,3.0,1.36,8.0,1.08,1.0,9.2,1.26,3.22,1.94,1.76,2.0,1.73,1.18,1.3,2.05,2.75,1.83,1.75,1.64,3.39,1.55,7.8,2.9,1.46,2.38,1.85,1.81,2.42,1.44,3.34,1.24,4.0,1.19
SOUTH KOREA 2,2025-06-08,07:00:00,15,Gimpo Citizen,Cheonan City,2.5,2.2,4.5,1.82,3.31,3.71,1.4,2.75,3.0,1.36,8.0,1.08,1.01,8.5,1.27,3.14,1.95,1.75,1.83,1.83,1.22,1.3,1.85,0.71,0.0,1.56,1.27,2.83,1.65,6.2,2.85,1.44,2.43,1.81,1.85,2.33,1.48,3.2,1.26,4.05,1.18
SPAIN 2,2025-06-08,13:30:00,0,Racing Santander,Mirandés,2.76,2.07,4.28,2.15,3.33,3.29,1.44,2.65,3.08,1.34,7.9,1.03,1.05,8.0,1.33,3.0,1.91,1.83,1.85,1.91,1.32,1.33,1.74,1.66,1.76,1.52,1.39,2.91,1.61,6.75,2.55,1.28,3.2,1.48,2.4,1.77,1.89,2.2,1.56,2.8,1.36
BRAZIL 2,2025-06-08,16:00:00,11,Goiás,Volta Redonda,2.4,1.87,5.25,1.72,3.15,4.5,1.56,2.5,3.4,1.27,8.5,1.02,1.06,6.5,1.43,2.7,2.25,1.53,2.2,1.62,1.05,1.32,1.91,2.6,0.4,1.73,1.45,3.18,1.49,7.2,2.9,1.14,4.45,1.25,3.15,1.43,2.37,1.84,1.9,2.3,1.58
BRAZIL 2,2025-06-08,18:00:00,11,Atlético PR,Atlético GO,2.55,1.98,5.0,1.7,3.25,4.5,1.53,2.35,3.56,1.27,9.0,1.02,1.06,6.5,1.5,2.4,2.05,1.65,2.25,1.62,1.32,1.3,2.0,2.0,0.6,1.63,1.54,3.17,1.54,7.3,2.9,1.2,3.85,1.43,2.75,1.82,2.15,2.04,1.63,2.55,1.45
USA 1,2025-06-08,20:00:00,0,Portland Timbers,St. Louis City,2.25,2.5,4.33,1.7,3.75,3.8,1.25,3.75,2.2,1.62,5.0,1.17,1.04,10.0,1.18,4.75,1.51,2.39,1.53,2.38,1.22,1.24,2.05,1.71,0.63,1.24,1.17,2.41,1.65,6.5,2.48,1.28,3.3,1.48,2.43,1.78,1.91,2.2,1.58,2.8,1.36
BRAZIL 2,2025-06-08,20:30:00,11,Remo,Operário PR,3.2,1.93,3.64,2.17,2.87,3.23,1.57,2.25,3.66,1.25,11.0,1.04,1.13,6.25,1.53,2.25,2.73,1.4,2.23,1.63,1.4,1.37,1.55,2.6,1.2,1.3,1.45,2.75,2.1,7.4,2.05,1.18,4.05,1.31,2.87,1.5,2.23,1.97,1.78,2.45,1.49
USA 1,2025-06-08,22:00:00,0,Los Angeles FC,Sporting KC,1.91,2.75,5.5,1.43,4.3,5.3,1.22,4.0,2.0,1.73,4.33,1.2,1.03,11.0,1.14,5.5,1.57,2.25,1.57,2.25,1.14,1.18,2.55,2.29,0.63,1.77,1.34,3.11,1.41,9.4,3.6,1.22,3.48,1.45,2.48,1.8,1.9,2.28,1.53,3.04,1.29
USA 1,2025-06-08,22:00:00,0,Vancouver Whitecaps,Seattle Sounders,3.75,2.2,2.88,2.82,3.13,2.24,1.36,3.0,2.75,1.4,7.0,1.1,1.06,8.5,1.3,3.45,1.86,1.84,1.7,2.05,1.57,1.3,1.38,2.29,1.0,1.96,1.56,3.52,2.17,6.75,1.82,1.23,3.65,1.41,2.65,1.66,2.06,2.04,1.68,2.55,1.44
