League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Italy Serie A,2024-12-28,11:00:00,18,Empoli,Genoa,3.25,1.91,4.0,2.4,2.9,3.2,1.57,2.25,1.12,7.0,1.5,2.5,2.5,1.53,2.1,1.67,1.36,1.33,1.57,0.78,1.63,0.88,0.97,1.85,1.74,6.4,2.33,1.41,2.63,1.72,1.98,2.17,1.6,2.8,1.37,3.7,1.21
Italy Serie A,2024-12-28,11:00:00,18,Parma,Monza,2.75,2.2,4.0,2.0,3.4,3.5,1.36,3.0,1.05,12.0,1.3,3.6,1.8,1.97,1.7,2.05,1.3,1.26,1.78,1.1,0.78,1.34,0.87,2.21,1.52,6.75,2.8,1.3,3.15,1.53,2.32,1.84,1.84,2.33,1.52,3.0,1.32
Portugal Liga NOS,2024-12-28,12:30:00,16,AVS,Estrela Amadora,3.2,1.91,3.6,2.45,3.0,3.0,1.5,2.4,1.1,6.5,1.45,2.7,2.25,1.63,1.95,1.77,1.38,1.3,1.5,1.11,0.25,1.22,0.97,2.19,1.74,6.5,2.3,1.3,3.1,1.52,2.3,1.85,1.81,2.3,1.52,2.95,1.33
Italy Serie A,2024-12-28,14:00:00,18,Cagliari,Inter Milan,6.0,2.5,2.0,6.0,4.6,1.44,1.29,3.5,1.02,17.0,1.19,4.75,1.6,2.35,1.75,2.0,2.65,1.17,1.12,0.9,2.5,1.46,1.61,3.07,3.15,7.0,1.42,1.25,3.45,1.44,2.55,1.73,1.96,2.15,1.61,2.7,1.38
Portugal Liga NOS,2024-12-28,15:00:00,16,GD Estoril Praia,Moreirense FC,3.85,1.9,3.0,3.25,3.0,2.3,1.53,2.35,1.1,6.5,1.48,2.65,2.4,1.55,1.95,1.75,1.57,1.3,1.33,1.33,0.78,1.09,1.2,2.29,1.82,6.4,2.18,1.38,2.7,1.63,2.08,2.02,1.68,2.6,1.41,3.4,1.25
Italy Serie A,2024-12-28,16:45:00,18,Lazio,Atalanta,3.5,2.2,3.0,2.9,3.3,2.4,1.4,2.75,1.05,12.0,1.3,3.6,1.85,1.96,1.7,2.05,1.63,1.28,1.4,2.22,2.0,1.48,1.71,3.19,2.12,6.4,1.88,1.37,2.8,1.64,2.1,2.02,1.68,2.55,1.43,3.4,1.26
Portugal Liga NOS,2024-12-28,17:30:00,16,Porto,Boavista FC,1.44,2.88,13.0,1.17,7.5,13.0,1.22,3.75,1.01,17.0,1.12,6.0,1.4,2.75,2.4,1.5,1.02,1.06,6.0,3.0,1.0,1.98,0.98,2.96,1.09,11.0,7.5,1.29,3.15,1.49,2.38,1.79,1.87,2.23,1.56,2.8,1.36
