League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Romania Liga I,2024-12-22,07:30:00,21,Petrolul 52,Unirea Slobozia,2.63,1.95,5.5,1.75,3.25,4.5,1.57,2.25,1.04,6.8,1.48,2.5,2.47,1.48,2.25,1.57,1.19,1.28,1.8,1.5,1.3,1.27,1.31,2.58,1.45,8.6,3.34,1.26,3.22,1.5,2.35,1.87,1.83,2.42,1.47,3.2,1.26
Turkey Süper Lig,2024-12-22,07:30:00,17,Gazişehir Gaziantep,Antalyaspor,2.7,2.2,4.0,2.03,3.44,3.58,1.42,3.1,1.03,10.65,1.27,3.61,1.83,1.93,1.7,2.1,1.33,1.33,1.83,2.0,0.71,1.44,1.05,2.49,1.72,6.4,2.38,1.4,2.65,1.67,2.04,2.08,1.65,2.65,1.41,3.55,1.24
Portugal LigaPro,2024-12-22,08:00:00,15,Paços de Ferreira,Alverca,3.0,2.0,3.6,2.2,3.2,2.9,1.45,2.55,1.04,6.8,1.36,3.0,2.03,1.7,1.83,1.9,1.36,1.28,1.57,0.71,1.29,1.63,1.19,2.82,1.82,6.0,2.4,1.14,4.45,1.29,3.25,1.55,2.28,1.92,1.75,2.55,1.44
Netherlands Eredivisie,2024-12-22,08:15:00,17,Sparta Rotterdam,Ajax,4.75,2.38,2.2,4.6,4.0,1.67,1.3,3.4,1.02,17.0,1.19,4.45,1.6,2.25,1.67,2.1,2.25,1.19,1.19,0.5,1.75,1.58,1.34,2.92,2.9,6.75,1.49,1.25,3.4,1.44,2.55,1.74,1.96,2.17,1.6,2.7,1.38
Italy Serie A,2024-12-22,08:30:00,17,Roma,Parma,2.05,2.5,5.5,1.57,4.2,5.5,1.3,3.4,1.02,17.0,1.19,4.75,1.65,2.15,1.7,2.05,1.13,1.17,2.6,1.5,1.0,1.54,1.21,2.75,1.43,7.0,3.15,1.3,3.15,1.52,2.33,1.83,1.85,2.3,1.54,2.95,1.33
Croatia Prva HNL,2024-12-22,09:00:00,18,Dinamo Zagreb,Varaždin,1.91,2.3,7.5,1.36,4.2,8.0,1.35,3.04,1.01,11.0,1.22,3.8,1.85,1.95,2.2,1.62,1.06,1.17,2.95,1.75,1.0,1.93,1.4,3.33,1.2,8.8,6.35,1.36,2.78,1.68,2.06,2.14,1.6,2.83,1.33,4.0,1.2
Serbia SuperLiga,2024-12-22,09:00:00,20,Jedinstvo Ub,Tekstilac Odžaci,3.2,2.1,3.1,2.62,3.1,2.5,1.4,2.75,1.05,8.5,1.28,3.5,1.9,1.9,1.73,2.0,1.45,1.28,1.41,0.44,0.44,1.13,0.95,2.08,2.42,7.5,1.82,1.51,2.45,1.9,1.9,2.42,1.53,3.3,1.3,4.65,1.17
Scotland Premiership,2024-12-22,09:00:00,18,Dundee United,Celtic,8.5,2.75,1.67,11.0,5.5,1.29,1.25,3.75,1.01,19.0,1.14,5.5,1.65,2.15,1.95,1.8,3.75,1.09,1.01,1.75,3.0,1.42,1.95,3.37,5.6,10.0,1.15,1.19,4.1,1.34,2.9,1.55,2.25,1.85,1.83,2.28,1.54
Germany 2. Bundesliga,2024-12-22,09:30:00,17,Jahn Regensburg,Darmstadt 98,4.5,2.3,2.38,4.0,3.75,1.8,1.33,3.25,1.04,10.0,1.22,4.0,1.61,2.05,1.67,2.1,2.05,1.2,1.17,0.88,1.57,1.2,1.79,2.99,2.65,6.5,1.57,1.33,2.95,1.57,2.2,1.94,1.76,2.43,1.48,3.15,1.3
Germany 2. Bundesliga,2024-12-22,09:30:00,17,Kaiserslautern,Köln,4.0,2.4,2.4,3.8,3.75,1.85,1.29,3.5,1.03,11.0,1.18,4.5,1.55,2.2,1.53,2.38,1.95,1.2,1.2,1.71,2.0,1.69,1.63,3.32,2.55,6.75,1.61,1.32,3.05,1.54,2.3,1.89,1.8,2.38,1.5,3.05,1.3
Belgium Pro League,2024-12-22,09:30:00,19,KRC Genk,RSC Anderlecht,2.75,2.3,3.6,2.1,3.6,3.1,1.33,3.25,1.03,15.0,1.21,4.25,1.67,2.2,1.57,2.25,1.36,1.24,1.75,2.78,1.67,1.79,1.42,3.21,1.57,6.75,2.65,1.29,3.2,1.5,2.4,1.82,1.86,2.3,1.54,2.9,1.34
