League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Italy Serie B,2024-12-26,08:30:00,19,Pisa,Sassuolo,3.25,2.1,3.4,4.86,1.85,2.77,1.4,2.75,1.06,8.5,1.33,3.3,2.05,1.67,1.7,2.05,1.44,1.3,1.48,2.33,2.33,1.39,1.42,2.81,2.08,6.25,1.93,1.41,2.65,1.7,2.02,1.98,1.82,2.7,1.4,3.55,1.24
Serbia SuperLiga,2024-12-26,09:00:00,16,IMT Novi Beograd,Bačka Topola,4.0,2.2,2.5,2.22,3.56,2.85,1.36,3.0,1.05,8.5,1.24,3.8,1.7,2.0,1.73,2.0,1.43,1.28,1.43,1.33,1.33,1.42,1.47,2.89,1.85,7.5,2.29,1.51,2.45,1.87,1.87,2.42,1.53,3.3,1.3,4.65,1.17
Belgium Pro League,2024-12-26,09:30:00,20,Royal Antwerp FC,KRC Genk,3.0,2.2,3.0,5.08,4.02,1.51,1.33,3.1,1.04,10.0,1.2,4.33,1.61,2.15,1.48,2.4,1.48,1.25,1.48,1.78,1.44,1.81,1.61,3.42,1.81,6.75,2.18,1.24,3.55,1.43,2.63,1.7,2.02,2.07,1.66,2.63,1.43
England Premier League,2024-12-26,09:30:00,18,Manchester City,Everton,1.73,2.63,8.0,1.43,3.57,7.62,1.29,3.5,1.02,21.0,1.18,5.2,1.55,2.37,1.95,1.8,1.07,1.14,3.25,2.0,0.75,2.11,1.13,3.24,1.09,11.5,7.0,1.17,4.3,1.3,3.05,1.5,2.35,1.78,1.9,2.18,1.58
Scotland Premiership,2024-12-26,09:30:00,19,Hearts,Hibernian,2.75,2.2,4.0,2.04,3.55,3.31,1.4,2.75,1.03,9.0,1.25,3.4,1.75,1.95,1.7,2.05,1.32,1.3,1.74,1.33,0.89,1.67,1.47,3.14,1.59,7.5,2.92,1.18,4.0,1.34,2.9,1.56,2.23,1.95,1.85,2.33,1.52
Wales Welsh Premier League,2024-12-26,09:30:00,20,Barry Town United,Penybont,4.75,2.38,2.1,3.35,2.53,2.41,1.3,3.4,1.01,13.0,1.14,4.4,1.6,2.2,1.67,2.1,2.26,1.18,1.13,1.89,2.22,1.49,1.7,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2024-12-26,09:30:00,20,Cardiff MU,Briton Ferry,2.0,2.38,5.0,1.5,3.12,8.07,1.3,3.4,1.0,9.1,1.18,3.88,1.61,2.15,1.73,2.0,1.1,1.17,2.42,1.78,0.38,1.45,1.3,2.75,1.36,7.3,4.05,1.3,3.32,1.54,2.39,1.92,1.88,2.4,1.53,3.22,1.32
England EFL League One,2024-12-26,10:00:00,22,Leyton Orient,Crawley Town,2.25,2.2,6.0,1.89,2.88,4.3,1.4,2.75,1.05,9.0,1.33,3.3,1.95,1.75,2.0,1.75,1.15,1.2,2.2,1.2,0.8,1.45,1.39,2.84,1.46,7.0,3.05,1.25,3.4,1.44,2.55,1.72,1.97,2.15,1.61,2.7,1.4
Italy Serie B,2024-12-26,11:00:00,19,Brescia,Modena,3.25,1.95,3.75,3.32,3.2,2.02,1.53,2.38,1.1,6.5,1.48,2.62,2.37,1.53,2.0,1.75,1.36,1.35,1.5,1.33,0.89,1.56,1.08,2.64,1.93,6.1,2.1,1.54,2.3,1.92,1.77,2.48,1.47,3.3,1.28,4.4,1.16
Italy Serie B,2024-12-26,11:00:00,19,Cesena,Cremonese,3.25,2.0,3.75,5.38,1.41,4.67,1.5,2.5,1.09,7.0,1.42,2.8,2.2,1.6,1.95,1.8,1.38,1.3,1.5,2.22,1.56,1.56,1.41,2.97,1.86,6.25,2.15,1.45,2.55,1.74,1.96,2.0,1.8,2.8,1.36,3.8,1.22
