League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Germany 2. Bundesliga,2024-12-01,09:30:00,14,Nürnberg,Fortuna Düsseldorf,3.25,2.25,3.0,2.76,3.58,2.4,1.33,3.25,1.01,13.0,1.23,4.17,1.61,2.05,1.57,2.25,1.53,1.25,1.45,1.57,2.29,1.45,1.27,2.72,1.95,6.4,1.93,1.21,3.8,1.38,2.75,1.63,2.12,1.98,1.72,2.48,1.46
Germany 2. Bundesliga,2024-12-01,09:30:00,14,Karlsruher SC,Hamburger SV,3.0,2.4,3.1,2.58,3.56,2.58,1.29,3.5,1.01,16.5,1.17,5.19,1.63,2.55,1.44,2.63,1.45,1.28,1.52,1.57,1.43,1.52,1.45,2.97,1.91,6.4,1.98,1.2,3.95,1.34,2.9,1.55,2.25,1.86,1.82,2.3,1.54
Belgium Pro League,2024-12-01,09:30:00,16,Sint-Truiden,KRC Genk,4.75,2.4,2.2,4.03,4.09,1.73,1.3,3.6,1.01,15.5,1.14,4.2,1.55,2.3,1.6,2.3,2.25,1.2,1.2,1.63,1.63,1.37,1.78,3.15,2.65,6.5,1.49,1.27,3.3,1.47,2.48,1.76,1.95,2.18,1.58,2.8,1.38
Uruguay Primera División,2024-12-01,09:45:00,15,Racing,River Plate,2.88,2.0,4.33,1.93,3.31,4.0,1.5,2.5,1.07,7.5,1.4,2.8,2.15,1.57,1.91,1.8,1.25,1.28,1.55,1.11,0.95,1.35,1.05,2.4,1.47,6.9,3.42,1.21,3.44,1.42,2.42,1.91,1.8,2.05,1.7,2.97,1.28
Denmark Superliga,2024-12-01,10:00:00,17,Viborg,Randers,3.0,2.3,3.2,2.45,3.6,2.63,1.33,3.25,1.04,10.0,1.2,4.33,1.7,2.1,1.57,2.25,1.45,1.25,1.53,1.75,1.78,1.46,1.29,2.75,2.07,6.4,1.81,1.16,4.3,1.3,3.05,1.83,2.33,1.85,1.85,2.23,1.56
Norway First Division,2024-12-01,10:00:00,0,Moss,Kongsvinger,3.1,2.2,3.25,2.45,3.25,2.63,1.36,3.0,1.04,12.0,1.28,3.75,1.8,2.0,1.62,2.2,1.45,1.25,1.55,1.81,1.52,1.64,1.69,3.33,1.75,6.1,2.5,1.18,4.6,1.34,3.1,1.6,2.25,2.0,1.8,2.65,1.44
Spain Segunda División,2024-12-01,10:00:00,17,CD Castellón,Málaga CF,2.75,2.1,4.33,1.93,3.41,3.97,1.44,2.63,1.07,8.0,1.55,2.45,1.93,1.87,1.8,1.91,1.25,1.28,1.75,1.22,0.78,1.63,1.11,2.74,1.66,6.1,2.33,1.34,2.98,1.6,2.19,2.0,1.72,2.6,1.44,3.5,1.26
Turkey Süper Lig,2024-12-01,10:00:00,14,Rizespor,Kayserispor,2.5,2.25,4.33,1.8,3.7,4.1,1.36,3.0,1.05,13.0,1.25,3.82,1.74,2.0,1.67,2.1,1.25,1.3,2.05,1.43,1.29,1.28,1.16,2.44,1.43,6.4,2.95,1.35,2.88,1.61,2.15,1.97,1.73,2.5,1.46,3.3,1.28
Denmark Superliga,2024-12-01,10:00:00,17,Lyngby,SønderjyskE,3.1,2.2,3.4,2.4,3.4,2.8,1.33,3.25,1.04,10.0,1.25,3.95,1.85,1.95,1.7,2.05,1.38,1.22,1.62,0.78,0.78,1.21,1.32,2.53,1.76,6.4,2.15,1.21,3.8,1.38,2.7,1.91,2.1,1.91,1.8,2.5,1.46
Bulgaria First League,2024-12-01,10:00:00,17,Levski Krumovgrad,Arda,4.0,1.83,3.5,3.0,3.0,2.55,1.62,2.2,1.11,5.8,1.53,2.25,2.7,1.44,2.25,1.57,1.4,1.32,1.33,1.22,1.0,1.51,1.24,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain La Liga,2024-12-01,10:00:00,15,Villarreal,Girona FC,2.4,2.3,4.33,1.86,3.81,4.03,1.33,3.25,1.03,15.0,1.22,4.33,1.65,2.1,1.62,2.2,1.26,1.22,1.98,1.71,1.13,1.56,1.05,2.61,1.63,8.6,2.8,1.28,2.94,1.56,2.16,2.0,1.72,2.59,1.39,3.54,1.2
Switzerland Super League,2024-12-01,10:15:00,16,Winterthur,Sion,4.33,2.2,2.5,3.99,3.75,1.81,1.36,3.0,1.05,9.5,1.28,3.65,1.75,1.85,1.73,2.0,1.85,1.22,1.22,1.25,0.88,1.3,1.36,2.66,2.66,8.5,1.64,1.24,3.68,1.39,2.75,1.67,2.08,2.08,1.67,2.68,1.41
England Premier League,2024-12-01,10:30:00,13,Manchester United,Everton,2.05,2.38,6.0,1.51,4.35,5.71,1.33,3.25,1.04,15.0,1.24,4.25,1.65,2.1,1.8,1.95,1.13,1.2,2.62,1.86,0.71,1.43,1.31,2.74,1.36,11.0,3.84,1.05,5.9,1.15,4.0,1.31,2.82,1.57,2.14,1.96,1.75
Netherlands Eredivisie,2024-12-01,10:30:00,14,AZ,Heracles,1.8,2.6,7.5,1.31,5.43,8.19,1.29,3.5,1.02,19.0,1.16,4.87,1.57,2.25,1.95,1.8,1.06,1.12,3.3,1.43,0.57,1.92,0.96,2.88,1.16,9.5,5.6,1.21,3.8,1.36,2.8,1.58,2.17,2.0,1.8,2.4,1.49
