League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
BULGARIA 1,2025-05-20,11:45:00,6,Hebar 1918,Botev Vratsa,7.5,2.1,2.0,6.4,4.2,1.38,1.42,2.55,3.45,1.3,8.75,1.05,1.01,8.5,1.35,2.9,1.83,1.87,2.41,1.5,1.22,1.18,1.06,0.51,0.94,1.15,1.23,2.38,2.5,6.75,1.63,1.36,2.8,1.64,2.19,2.03,1.73,2.57,1.45,3.2,1.25
FINLAND 1,2025-05-20,12:00:00,15,HJK,SJK,2.15,2.44,4.6,1.75,3.66,3.65,1.23,3.4,2.2,1.57,5.0,1.13,1.02,15.0,1.13,4.5,1.55,2.2,1.62,2.16,1.12,1.18,2.3,2.0,1.75,2.31,1.95,4.26,1.53,9.0,3.0,1.14,4.8,1.3,3.5,1.5,2.5,1.77,1.87,2.3,1.52
BULGARIA 1,2025-05-20,14:15:00,6,Septemvri Sofia,Lokomotiv Sofia 1929,3.7,2.22,2.36,3.95,3.16,1.82,1.38,2.8,2.7,1.4,7.0,1.08,1.06,9.0,1.26,3.3,1.89,1.81,1.8,1.93,1.3,1.27,1.22,1.2,1.17,1.19,1.31,2.5,2.2,7.6,1.92,1.28,3.35,1.48,2.47,1.91,1.89,2.38,1.58,2.8,1.38
SLOVAKIA 1,2025-05-20,15:00:00,0,FK Košice,Podbrezová,2.4,2.2,4.0,2.01,3.45,3.01,1.36,3.0,2.63,1.44,6.5,1.1,1.04,9.0,1.25,3.7,1.88,1.82,1.8,1.91,1.3,1.28,1.75,1.38,1.16,1.46,1.56,3.02,1.74,8.6,2.41,1.2,3.9,1.3,2.97,1.56,2.21,1.95,1.76,2.51,1.44
SLOVAKIA 1,2025-05-20,15:00:00,0,DAC,Zemplín Michalovce,2.0,2.4,5.5,1.59,3.82,4.4,1.3,3.4,2.38,1.53,5.5,1.13,1.03,10.0,1.2,4.33,1.6,2.15,1.73,2.0,1.12,1.19,2.65,1.59,1.25,1.62,1.46,3.08,1.35,9.6,3.84,1.26,3.35,1.41,2.52,1.75,1.92,2.25,1.57,2.98,1.32
ENGLAND 1,2025-05-20,16:00:00,37,Crystal Palace,Wolverhampton Wanderers,2.88,2.2,3.75,2.18,3.3,3.35,1.4,2.75,2.75,1.4,8.0,1.08,1.06,8.5,1.33,3.25,1.95,1.8,1.75,2.0,1.35,1.28,1.62,1.22,1.17,1.49,1.3,2.79,1.72,6.4,2.38,1.26,3.4,1.47,2.48,1.76,1.94,2.18,1.58,2.8,1.37
ENGLAND 1,2025-05-20,16:00:00,37,Manchester City,AFC Bournemouth,2.0,2.6,5.5,1.55,4.45,5.3,1.25,3.75,2.2,1.62,5.0,1.17,1.01,13.0,1.15,5.25,1.45,2.63,1.62,2.2,1.15,1.15,2.45,2.17,1.56,1.93,1.67,3.6,1.3,7.5,3.9,1.17,4.35,1.3,3.05,1.5,2.35,1.8,1.89,2.23,1.57
PARAGUAY 1,2025-05-20,16:30:00,20,Sportivo Luqueño,Deportivo Recoleta,2.75,2.1,3.6,2.12,3.23,2.95,1.36,2.8,2.65,1.42,6.55,1.09,1.03,10.0,1.32,3.5,1.89,1.81,1.75,2.0,1.33,1.28,1.62,1.05,1.32,1.39,1.41,2.8,1.97,7.3,2.07,1.41,2.7,1.73,2.08,2.2,1.6,2.88,1.41,3.62,1.22
PARAGUAY 1,2025-05-20,19:00:00,20,Sportivo Trinidense,Nacional Asunción,3.4,2.0,3.5,2.66,3.03,2.42,1.5,2.5,3.2,1.3,8.5,1.06,1.07,7.0,1.42,2.75,2.25,1.5,1.91,1.85,1.36,1.32,1.4,1.32,1.11,1.54,1.65,3.19,1.96,7.1,2.07,1.39,2.75,1.68,2.0,2.1,1.69,2.65,1.42,3.6,1.25
