League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Bulgaria First League,2024-12-03,07:30:00,18,CSKA 1948 Sofia,Septemvri Sofia,2.0,2.2,8.0,1.51,4.1,6.25,1.44,2.63,1.03,9.0,1.3,3.35,2.07,1.73,2.5,1.5,1.11,1.18,2.1,0.63,1.13,1.6,1.19,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria First League,2024-12-03,10:00:00,18,Cherno More,Lokomotiv Sofia 1929,1.95,2.2,9.0,1.27,5.3,11.2,1.36,3.0,1.01,11.0,1.27,3.55,1.87,1.81,2.63,1.44,1.05,1.11,2.75,2.25,0.63,1.7,1.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria First League,2024-12-03,12:30:00,18,CSKA Sofia,Spartak Varna,2.0,2.3,7.0,1.44,3.97,6.59,1.4,2.75,1.02,7.3,1.3,3.35,1.94,1.78,2.1,1.67,1.12,1.19,2.08,1.38,1.75,2.1,1.23,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain La Liga,2024-12-03,15:00:00,19,RCD Mallorca,FC Barcelona,5.0,2.3,2.25,5.25,3.6,1.7,1.36,3.0,1.02,14.5,1.19,3.8,1.8,2.0,1.75,2.0,2.25,1.2,1.18,1.5,2.11,1.29,1.65,2.94,2.9,6.75,1.5,1.3,3.05,1.54,2.3,1.89,1.8,2.35,1.5,3.05,1.32
Czech Republic First League,2024-12-03,15:00:00,8,Sparta Praha,Karviná,1.5,3.1,9.0,1.25,6.5,10.0,1.2,4.0,1.01,31.0,1.1,5.75,1.39,2.86,2.0,1.73,1.05,1.04,4.33,1.57,1.0,1.93,1.54,3.47,1.08,12.5,10.0,0.0,0.0,1.22,3.64,1.42,2.57,1.9,1.9,2.21,1.63
France Ligue 2,2024-12-03,15:30:00,10,Ajaccio,Bastia,3.6,1.91,3.5,3.18,2.89,2.56,1.57,2.25,1.1,7.0,1.62,2.3,2.37,1.48,2.1,1.67,1.47,1.3,1.42,2.17,1.0,1.21,1.37,2.58,1.82,7.5,2.34,1.4,2.8,1.74,2.02,2.28,1.58,3.1,1.33,4.5,1.19
England Premier League,2024-12-03,16:30:00,14,Ipswich Town,Crystal Palace,3.4,2.2,3.2,2.9,3.3,2.47,1.4,2.75,1.01,12.3,1.25,3.28,2.0,1.81,1.7,2.05,1.55,1.31,1.49,0.67,0.5,1.18,1.51,2.69,2.0,6.75,1.95,1.2,3.95,1.35,2.9,1.58,2.2,1.92,1.77,2.4,1.49
England EFL League Two,2024-12-03,16:45:00,18,Walsall,Notts County,2.5,2.15,3.85,1.85,3.58,3.59,1.33,3.0,1.04,10.0,1.22,4.2,1.68,2.1,1.57,2.2,1.28,1.22,1.8,2.13,1.56,1.49,1.21,2.7,1.53,7.1,3.22,1.16,4.5,1.28,2.94,1.54,2.19,1.95,1.77,2.46,1.43
England EFL League Two,2024-12-03,16:45:00,18,Bradford City,Barrow,2.75,2.0,4.0,1.87,3.24,3.93,1.48,2.5,1.07,8.0,1.4,2.9,2.16,1.63,1.85,1.8,1.28,1.28,1.7,2.0,0.88,1.53,1.11,2.64,1.54,6.95,3.2,1.16,4.5,1.3,2.88,1.64,2.24,2.02,1.78,2.52,1.41
England EFL League Two,2024-12-03,16:45:00,18,Cheltenham Town,Port Vale,3.55,2.0,2.95,3.18,3.23,2.13,1.45,2.55,1.07,8.0,1.38,3.0,2.12,1.66,1.83,1.85,1.57,1.28,1.36,1.56,2.11,1.31,1.24,2.55,2.21,6.45,2.01,1.19,3.58,1.4,2.56,1.78,2.01,2.24,1.64,2.88,1.3
