League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Bulgaria First League,2024-11-29,09:30:00,17,Spartak Varna,CSKA 1948 Sofia,3.1,2.05,3.75,2.35,3.25,3.1,1.5,2.5,1.02,7.5,1.39,2.85,2.1,1.7,1.83,1.83,1.33,1.28,1.46,1.89,1.33,1.54,1.53,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-11-29,10:30:00,17,Novi Pazar,Vojvodina,3.85,2.15,2.7,3.1,3.25,2.05,1.38,2.8,1.02,9.5,1.27,3.4,1.67,2.05,1.7,2.07,1.54,1.29,1.26,1.56,1.67,1.76,1.81,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8,0.0,0.0,0.0,0.0
Bulgaria First League,2024-11-29,12:00:00,17,Septemvri Sofia,Cherno More,6.5,2.2,2.1,5.75,4.2,1.53,1.44,2.63,1.01,8.1,1.37,2.95,1.95,1.85,2.1,1.67,1.98,1.2,1.14,0.78,1.78,1.02,1.31,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2024-11-29,12:00:00,18,Botoşani,SSC Farul,3.6,1.97,3.2,2.51,3.1,2.61,1.5,2.4,1.01,7.7,1.4,2.8,1.95,1.75,1.94,1.8,1.43,1.29,1.34,1.33,0.89,1.66,1.27,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-11-29,12:30:00,17,Čukarički,Spartak Subotica,1.77,2.45,7.0,1.56,3.65,4.9,1.33,3.1,1.04,9.0,1.22,3.95,1.8,2.0,1.91,1.73,1.06,1.15,2.47,2.0,0.38,1.56,1.44,3.0,0.0,0.0,0.0,0.0,0.0,1.98,1.82,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia PrvaLiga,2024-11-29,13:30:00,17,Domžale,Bravo,4.5,2.05,2.5,3.7,3.2,1.85,1.44,2.63,1.06,8.0,1.35,3.0,2.0,1.7,2.0,1.73,1.73,1.24,1.19,0.63,1.13,1.21,1.54,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-11-29,14:00:00,15,SV Stripfing Weiden,Rapid Wien II,3.4,2.25,2.75,2.75,3.6,2.18,1.33,3.05,1.01,11.0,1.22,4.0,1.65,2.1,1.62,2.2,1.66,1.22,1.36,0.71,1.14,1.11,1.39,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0
Croatia Prva HNL,2024-11-29,14:00:00,15,Varaždin,Šibenik,2.25,2.1,6.0,1.62,3.75,5.75,1.44,2.69,1.07,7.5,1.38,2.88,2.2,1.65,2.2,1.62,1.16,1.28,2.04,2.0,1.0,1.34,0.95,2.29,1.37,8.0,4.26,1.34,2.98,1.6,2.19,2.0,1.72,2.6,1.44,3.5,1.26
Austria 2. Liga,2024-11-29,14:00:00,15,Voitsberg,Austria Lustenau,3.1,2.05,3.25,2.63,3.4,2.34,1.37,2.85,1.03,9.0,1.28,3.5,1.98,1.9,1.8,1.91,1.5,1.25,1.47,0.43,1.71,1.28,1.2,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2024-11-29,14:00:00,17,Cracovia Kraków,Zagłębie Lubin,2.6,2.25,4.0,1.95,3.6,3.25,1.33,3.05,1.04,10.0,1.22,4.0,1.65,2.1,1.67,2.1,1.2,1.2,1.95,1.38,0.63,1.63,1.45,3.08,1.54,6.5,2.55,1.36,2.75,1.61,2.08,2.2,1.67,2.55,1.41,3.35,1.25
Austria 2. Liga,2024-11-29,14:00:00,15,St. Pölten,Lafnitz,1.91,2.5,5.5,1.45,4.5,5.2,1.24,3.7,1.01,13.0,1.12,4.5,1.53,2.35,1.73,2.0,1.09,1.15,2.6,0.67,0.57,1.34,1.37,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2024-11-29,14:00:00,14,Antalyaspor,Sivasspor,2.55,2.1,4.0,2.01,3.5,3.4,1.4,2.75,1.04,10.06,1.29,3.44,1.97,1.92,1.75,1.95,1.28,1.25,1.77,1.67,1.17,1.31,1.05,2.36,1.52,6.25,2.65,1.38,2.75,1.65,2.08,2.05,1.67,2.63,1.41,3.4,1.25
Austria 2. Liga,2024-11-29,14:00:00,15,Horn,Admira,6.0,2.38,1.95,5.5,4.2,1.46,1.34,3.05,1.01,11.0,1.25,3.75,1.8,2.0,1.83,1.83,2.45,1.17,1.09,0.29,2.5,1.14,1.63,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-11-29,14:30:00,17,Tekstilac Odžaci,OFK Beograd,4.5,2.15,2.44,3.1,3.15,2.09,1.4,2.75,1.06,8.0,1.29,3.4,2.0,1.8,1.8,1.95,1.69,1.26,1.2,1.0,2.13,1.18,1.27,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 2. Bundesliga,2024-11-29,14:30:00,14,Schalke 04,Kaiserslautern,2.6,2.3,3.4,2.13,3.7,3.05,1.3,3.25,1.04,10.0,1.18,4.5,1.6,2.2,1.53,2.45,1.36,1.22,1.7,1.17,1.57,1.48,1.31,2.79,1.75,6.25,2.17,1.34,2.9,1.58,2.18,1.95,1.75,2.43,1.48,3.15,1.29
Germany 2. Bundesliga,2024-11-29,14:30:00,14,Magdeburg,Hertha BSC,3.0,2.35,2.85,2.55,3.8,2.42,1.24,3.7,1.01,17.0,1.15,5.25,1.5,2.4,1.42,2.75,1.55,1.2,1.47,0.83,1.83,1.77,1.62,3.39,1.98,6.25,1.92,1.28,3.2,1.48,2.43,1.79,1.9,2.23,1.56,2.9,1.35
Portugal LigaPro,2024-11-29,15:00:00,12,Academico Viseu,Leixões,3.1,1.9,3.75,2.3,3.0,3.1,1.52,2.39,1.06,7.5,1.44,2.7,2.25,1.57,1.95,1.8,1.35,1.3,1.55,1.4,1.0,1.5,1.34,2.84,1.85,8.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark Superliga,2024-11-29,15:00:00,17,Brøndby,AaB,1.91,2.6,6.0,1.39,5.0,6.6,1.22,3.75,1.01,17.0,1.13,5.75,1.44,2.6,1.7,2.05,1.11,1.12,2.8,1.71,0.75,1.56,1.18,2.74,1.28,7.5,3.65,1.21,3.8,1.38,2.75,2.0,2.12,1.95,1.77,2.48,1.47
Switzerland Challenge League,2024-11-29,15:30:00,16,Stade Lausanne-Ouchy,Neuchâtel Xamax,2.38,2.38,3.75,1.85,3.8,3.4,1.3,3.32,1.01,11.0,1.19,4.4,1.6,2.2,1.53,2.38,1.3,1.24,1.54,1.43,1.29,1.68,1.68,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2024-11-29,15:45:00,18,Rapid Bucureşti,Petrolul 52,2.48,2.04,4.9,1.92,3.2,3.75,1.47,2.5,1.03,6.95,1.38,2.9,2.25,1.57,2.02,1.74,1.18,1.26,1.72,1.63,1.5,1.55,1.37,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-29,16:00:00,17,ADO Den Haag,Emmen,2.55,2.35,3.75,1.81,3.9,3.98,1.29,3.35,1.02,15.0,1.2,4.33,1.6,2.15,1.57,2.3,1.3,1.2,1.87,1.5,2.57,1.64,1.83,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-29,16:00:00,17,Excelsior,Ajax II,1.8,2.95,5.5,1.4,5.39,6.21,1.16,4.65,0.0,0.0,1.08,7.5,1.3,3.4,1.47,2.6,1.1,1.11,3.0,2.57,1.13,1.78,1.43,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eredivisie,2024-11-29,16:00:00,14,Heerenveen,RKC Waalwijk,2.05,2.5,5.5,1.68,3.53,4.52,1.29,3.5,1.03,17.0,1.18,4.65,1.62,2.07,1.67,2.1,1.14,1.18,2.5,2.33,0.17,1.65,0.81,2.46,1.16,9.5,5.4,1.23,3.65,1.41,2.65,1.66,2.06,2.0,1.8,2.55,1.43
Netherlands Eerste Divisie,2024-11-29,16:00:00,17,Eindhoven,PSV II,2.25,2.5,4.33,1.78,4.14,3.89,1.22,3.9,1.01,17.0,1.14,5.5,1.45,2.7,1.47,2.65,1.22,1.18,2.1,0.86,1.5,1.3,1.35,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-29,16:00:00,17,Roda JC,Volendam,2.8,2.45,3.2,2.42,3.72,2.67,1.22,3.9,1.01,17.0,1.12,6.0,1.44,2.8,1.4,2.9,1.45,1.22,1.63,2.29,1.75,1.91,1.64,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-29,16:00:00,17,Telstar,Cambuur,3.1,2.2,3.3,2.53,3.46,2.69,1.31,3.2,1.03,13.0,1.22,4.2,1.67,2.05,1.57,2.35,1.47,1.25,1.53,1.43,2.25,1.74,1.94,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-29,16:00:00,17,Vitesse,Helmond Sport,3.0,2.3,3.25,2.42,3.66,2.71,1.28,3.35,1.02,15.0,1.2,4.33,1.65,2.15,1.55,2.4,1.5,1.22,1.55,0.5,2.29,1.58,1.41,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland Challenge League,2024-11-29,16:15:00,16,Vaduz,FC Schaffhausen,2.6,2.3,3.6,2.01,3.65,3.05,1.28,3.46,1.01,13.0,1.17,4.6,1.55,2.3,1.57,2.25,1.22,1.21,1.74,2.29,1.43,1.84,1.39,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
