League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Romania Liga I,2024-12-13,12:00:00,20,Botoşani,Hermannstadt,3.25,1.95,3.75,2.3,2.87,2.9,1.53,2.38,1.09,6.5,1.42,2.7,2.2,1.55,2.0,1.73,1.31,1.31,1.44,1.2,0.7,1.64,1.35,2.99,1.78,5.8,2.52,1.33,3.0,1.62,2.12,2.12,1.62,2.92,1.34,4.1,1.19
Croatia Prva HNL,2024-12-13,14:00:00,17,Slaven Koprivnica,Gorica,2.38,2.3,4.5,1.75,3.75,4.1,1.4,2.75,1.03,9.0,1.3,3.3,1.73,2.08,1.67,2.1,1.15,1.22,2.05,1.44,0.0,1.53,0.95,2.48,1.5,7.5,3.45,1.4,2.82,1.68,2.12,2.11,1.68,2.75,1.42,3.55,1.24
Turkey Süper Lig,2024-12-13,14:00:00,16,BB Bodrumspor,Sivasspor,2.95,2.05,4.0,2.18,3.26,3.36,1.52,2.7,1.05,8.7,1.38,2.96,2.16,1.66,1.9,1.9,1.35,1.36,1.72,1.25,0.88,1.3,1.1,2.4,1.52,6.75,2.8,1.36,2.8,1.63,2.12,2.02,1.7,2.55,1.44,3.4,1.26
Turkey Süper Lig,2024-12-13,14:00:00,16,Kasımpaşa,Eyüpspor,2.63,2.2,3.6,2.13,3.59,3.17,1.32,3.28,1.05,13.0,1.22,4.12,1.72,2.07,1.57,2.38,1.36,1.32,1.75,0.75,1.11,1.4,1.07,2.47,1.79,6.4,2.23,1.38,2.75,1.65,2.08,2.02,1.68,2.6,1.43,3.4,1.26
Germany 2. Bundesliga,2024-12-13,14:30:00,16,Hertha BSC,Preußen Münster,2.1,2.4,4.5,1.57,4.0,4.4,1.27,3.45,1.03,11.0,1.17,4.75,1.53,2.25,1.6,2.25,1.15,1.17,2.2,0.88,1.13,1.37,1.28,2.65,1.54,6.75,2.7,1.33,2.95,1.55,2.25,1.9,1.79,2.4,1.5,3.15,1.3
Germany 2. Bundesliga,2024-12-13,14:30:00,16,Karlsruher SC,Jahn Regensburg,1.87,2.55,5.5,1.36,4.5,6.0,1.25,3.6,1.01,13.0,1.17,5.0,1.56,2.34,1.72,2.05,1.06,1.12,2.9,1.75,0.13,1.55,1.13,2.68,1.36,7.0,3.45,1.33,2.95,1.57,2.23,1.92,1.77,2.43,1.48,3.15,1.3
Romania Liga I,2024-12-13,15:00:00,20,Dinamo Bucureşti,CSM Iaşi,2.6,2.05,5.0,1.75,3.2,4.33,1.5,2.5,1.08,7.0,1.4,2.8,2.0,1.67,2.0,1.73,1.16,1.25,1.78,2.1,0.5,1.16,1.41,2.57,1.56,6.4,2.7,1.5,2.35,1.84,1.82,2.35,1.5,3.1,1.3,4.1,1.18
Switzerland Challenge League,2024-12-13,15:30:00,18,FC Schaffhausen,Stade Nyonnais,2.3,2.3,4.0,1.8,3.8,3.9,1.31,3.26,1.01,11.0,1.21,4.1,1.67,2.15,1.62,2.2,1.24,1.23,1.66,0.63,0.89,1.62,1.37,2.99,1.54,8.7,2.83,1.17,3.8,1.35,2.65,2.1,2.03,2.05,1.59,2.69,1.34
Switzerland Challenge League,2024-12-13,15:30:00,18,Stade Lausanne-Ouchy,Thun,3.1,2.25,2.88,2.7,3.5,2.38,1.33,3.12,1.0,8.3,1.22,4.0,1.62,2.25,1.53,2.38,1.52,1.25,1.32,1.22,1.78,1.73,1.83,3.56,2.31,8.1,1.78,1.21,3.44,1.41,2.45,1.77,1.9,2.2,1.51,2.94,1.28
Netherlands Eerste Divisie,2024-12-13,16:00:00,19,Telstar,Helmond Sport,2.3,2.35,4.5,1.75,4.0,4.33,1.3,3.2,1.02,15.0,1.22,4.2,1.7,2.1,1.68,2.15,1.22,1.2,2.1,1.56,1.78,1.69,1.41,3.1,1.32,7.2,4.35,1.22,3.8,1.28,3.3,1.52,2.3,1.92,1.75,2.52,1.45
Netherlands Eerste Divisie,2024-12-13,16:00:00,19,ADO Den Haag,MVV,1.85,2.8,5.5,1.42,5.0,6.5,1.18,4.4,1.01,17.0,1.1,7.0,1.36,3.1,1.52,2.5,1.1,1.12,3.0,1.8,0.7,1.68,1.21,2.89,1.27,7.4,4.8,1.17,4.35,1.37,2.82,1.65,2.05,2.12,1.62,2.92,1.34
Netherlands Eerste Divisie,2024-12-13,16:00:00,19,De Graafschap,Cambuur,2.75,2.4,3.25,2.25,4.0,2.75,1.25,3.75,1.01,15.0,1.14,5.5,1.48,2.6,1.44,2.63,1.44,1.2,1.65,2.2,2.2,1.72,1.86,3.58,1.75,7.1,2.4,1.27,3.3,1.33,2.98,1.6,2.15,2.02,1.68,2.7,1.4
Netherlands Eerste Divisie,2024-12-13,16:00:00,19,Excelsior,Volendam,2.4,2.45,3.4,2.0,3.95,3.2,1.2,4.0,0.0,0.0,1.11,6.25,1.36,3.1,1.33,3.0,1.33,1.2,1.77,2.44,1.6,1.79,1.63,3.42,1.5,6.4,3.25,1.18,4.1,1.32,3.0,1.58,2.2,2.0,1.7,2.7,1.4
Netherlands Eerste Divisie,2024-12-13,16:00:00,19,Oss,Ajax II,3.0,2.38,3.1,2.45,3.9,2.55,1.3,3.4,1.02,17.0,1.2,4.5,1.57,2.35,1.5,2.5,1.5,1.22,1.55,1.7,0.9,1.28,1.37,2.65,1.75,6.1,2.5,1.18,4.1,1.29,3.25,1.55,2.28,1.92,1.75,2.55,1.44
