League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Uruguay Primera División,2024-11-27,09:45:00,14,Fénix,Deportivo Maldonado,2.63,1.91,4.5,1.94,3.3,3.3,1.46,2.68,1.06,7.5,1.36,2.88,2.23,1.62,2.0,1.73,1.23,1.29,1.77,0.95,0.95,1.4,1.29,2.69,1.5,8.5,3.1,1.35,2.97,1.61,2.18,2.05,1.7,2.62,1.43,3.52,1.25
Czech Republic First League,2024-11-27,13:00:00,15,Sigma Olomouc,Slovácko,2.88,2.0,3.6,2.31,3.28,3.02,1.4,2.94,1.03,9.0,1.29,3.3,2.05,1.72,1.73,2.1,1.34,1.3,1.63,1.75,1.0,1.57,1.04,2.61,1.5,9.0,2.8,0.0,0.0,1.2,3.54,1.4,2.56,1.77,1.95,2.12,1.58
Spain Segunda División,2024-11-27,15:00:00,13,Levante UD,Málaga CF,2.3,2.05,5.0,1.79,3.7,4.45,1.42,2.62,1.01,7.7,1.36,3.17,2.0,1.81,1.95,1.73,1.15,1.22,2.1,2.14,0.88,1.58,1.06,2.64,1.41,8.5,3.5,1.31,3.15,1.55,2.29,1.92,1.79,2.47,1.48,3.3,1.29
Spain Segunda División,2024-11-27,15:00:00,13,CD Castellón,Racing Club de Ferrol,2.15,2.25,4.75,1.63,4.15,5.0,1.36,2.9,1.05,9.5,1.28,3.65,1.82,1.99,1.85,1.83,1.15,1.2,2.25,1.0,0.86,1.6,0.86,2.46,1.58,8.35,2.89,1.37,2.83,1.65,2.1,2.08,1.67,2.73,1.4,3.7,1.23
Uruguay Primera División,2024-11-27,16:30:00,14,Boston River,Racing,3.15,1.93,3.75,2.4,3.01,3.14,1.53,2.37,1.08,7.5,1.44,2.65,2.3,1.53,2.01,1.75,1.31,1.31,1.44,1.89,1.68,1.41,1.32,2.73,1.65,7.7,2.75,1.31,3.12,1.55,2.28,1.95,1.77,2.48,1.48,3.32,1.28
England Championship,2024-11-27,16:45:00,17,Leeds United,Luton Town,2.0,2.25,7.0,1.42,4.51,6.98,1.4,2.75,1.05,11.0,1.33,3.4,1.93,1.75,2.1,1.67,1.09,1.19,2.75,2.44,0.5,1.86,1.2,3.06,1.4,7.0,3.3,1.13,4.88,1.31,3.22,1.57,2.37,1.92,1.88,2.42,1.55
England Championship,2024-11-27,16:45:00,17,Cardiff City,Queens Park Rangers,2.6,2.1,4.75,2.04,3.3,3.71,1.44,2.63,1.07,10.0,1.38,3.1,2.05,1.66,1.91,1.8,1.26,1.26,1.87,1.33,1.13,1.58,0.79,2.37,1.49,7.0,2.9,1.18,4.24,1.38,2.88,1.68,2.17,2.08,1.75,2.67,1.45
England Championship,2024-11-27,16:45:00,17,Middlesbrough,Blackburn Rovers,2.1,2.3,6.0,1.52,4.05,6.18,1.36,3.0,1.04,13.0,1.28,3.75,1.98,1.83,1.83,1.83,1.12,1.19,2.6,1.56,1.13,1.65,1.06,2.71,1.2,9.0,4.8,1.13,4.99,1.3,3.28,1.55,2.4,1.9,1.9,2.38,1.56
England Championship,2024-11-27,16:45:00,17,Portsmouth,Millwall,3.6,2.05,3.2,3.02,3.33,2.33,1.5,2.5,1.07,10.0,1.38,3.1,2.1,1.65,1.83,1.83,1.6,1.28,1.4,0.86,1.0,1.32,1.21,2.53,1.7,7.0,2.33,1.07,6.27,1.21,3.96,1.41,2.78,1.71,2.14,2.09,1.74
England Championship,2024-11-27,17:00:00,17,Derby County,Swansea City,3.2,2.0,3.75,2.44,3.15,3.0,1.5,2.5,1.07,9.0,1.42,2.9,2.15,1.61,1.91,1.8,1.42,1.28,1.58,1.75,1.11,1.33,1.04,2.37,1.92,6.75,2.05,1.1,5.45,1.26,3.52,1.5,2.54,1.8,2.0,2.26,1.63
Uruguay Primera División,2024-11-27,18:45:00,14,Cerro Largo,Defensor Sporting,3.75,2.0,3.25,2.78,3.06,2.64,1.53,2.38,1.07,8.0,1.4,2.88,2.34,1.56,1.91,1.8,1.53,1.36,1.33,1.56,1.5,1.54,1.42,2.96,3.0,7.8,1.57,1.33,3.02,1.59,2.22,1.97,1.74,2.55,1.45,3.45,1.27
Brazil Serie A,2024-11-27,21:00:00,35,Cruzeiro,Grêmio,2.75,2.05,4.33,2.05,3.3,3.75,1.5,2.5,1.07,9.0,1.38,3.0,2.2,1.65,1.95,1.8,1.3,1.28,1.72,2.0,0.82,1.57,1.22,2.79,1.55,7.0,2.65,1.27,3.3,1.47,2.48,1.91,1.94,2.18,1.58,2.8,1.37
Uruguay Primera División,2024-11-27,21:15:00,0,Danubio,Nacional,8.0,2.14,1.97,5.81,4.17,1.51,1.46,2.55,1.06,8.5,1.38,2.9,1.95,1.73,2.55,1.48,2.35,1.15,1.08,1.59,2.18,1.17,1.56,2.73,4.35,6.9,1.33,1.25,3.45,1.5,2.35,1.9,1.78,2.52,1.45,3.65,1.23
