League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
EGYPT 1,2025-04-28,11:00:00,3,El Gounah,Smouha SC,3.5,1.65,4.1,2.89,2.43,3.05,1.76,2.0,3.9,1.22,13.0,1.01,1.13,5.0,1.6,2.2,3.05,1.34,2.19,1.64,1.41,0.0,1.4,1.21,1.05,1.17,1.35,2.52,2.18,7.7,1.89,1.33,2.83,1.61,2.1,2.1,1.67,2.62,1.42,3.82,1.19
SERBIA 1,2025-04-28,11:30:00,3,Napredak,Jedinstvo Ub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.25,1.37,1.19,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA 1,2025-04-28,11:30:00,0,Septemvri Sofia,Lokomotiv Plovdiv,4.2,2.0,2.7,3.6,3.1,2.01,1.48,2.45,3.2,1.35,9.5,1.06,1.07,7.0,1.38,2.8,2.25,1.58,1.95,1.8,1.28,0.0,1.25,1.1,0.93,1.12,1.37,2.49,2.44,6.5,1.86,1.27,3.14,1.57,2.3,1.9,1.8,2.48,1.45,3.4,1.24
SERBIA 1,2025-04-28,12:00:00,3,Čukarički,Spartak Subotica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,1.66,1.35,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREECE 1,2025-04-28,12:00:00,5,Panaitolikos,Kallithea,3.5,1.91,3.6,2.65,2.9,2.65,1.57,2.25,3.75,1.25,11.0,1.05,0.0,0.0,0.0,0.0,2.3,1.5,2.05,1.7,0.0,0.0,0.0,1.33,0.73,1.2,1.02,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREECE 1,2025-04-28,12:00:00,5,Levadiakos,Lamia,2.0,2.2,8.5,1.39,4.0,8.0,1.44,2.63,3.25,1.33,10.0,1.06,0.0,0.0,0.0,0.0,2.05,1.65,2.5,1.5,0.0,0.0,0.0,1.14,0.47,1.28,1.01,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROMANIA 1,2025-04-28,12:00:00,6,Petrolul 52,SSC Farul,3.2,2.05,3.6,2.45,3.0,2.9,1.44,2.63,3.4,1.3,10.0,1.06,0.0,0.0,0.0,0.0,2.1,1.61,1.83,1.83,0.0,0.0,0.0,1.72,0.94,1.39,1.28,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROATIA 1,2025-04-28,12:00:00,32,Istra 1961,Slaven Koprivnica,2.95,1.98,3.6,2.2,3.0,3.0,1.4,2.7,3.05,1.32,6.8,1.07,1.05,8.5,1.32,3.1,2.1,1.65,1.75,1.85,1.33,0.0,1.6,1.6,1.4,1.38,1.41,2.79,1.72,7.9,2.56,1.47,2.5,1.83,1.87,2.3,1.55,3.14,1.27,4.15,1.17
SLOVENIA 1,2025-04-28,12:30:00,32,Bravo,Mura,2.5,2.1,4.33,1.9,3.55,3.83,1.44,2.63,3.0,1.36,7.5,1.07,0.0,0.0,0.0,0.0,1.95,1.73,1.83,1.83,0.0,0.0,0.0,1.8,0.73,1.63,1.28,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINLAND 1,2025-04-28,13:00:00,4,SJK,Haka,2.1,2.4,4.75,1.6,4.24,5.1,1.29,3.4,2.25,1.57,5.0,1.15,1.0,12.0,1.14,4.55,1.52,2.3,1.62,2.17,1.11,0.0,2.3,3.0,0.0,2.08,0.0,2.08,1.48,6.75,3.24,1.12,3.65,1.25,3.4,1.47,2.4,1.82,1.85,2.28,1.58
SERBIA 1,2025-04-28,13:00:00,3,Mladost Lučani,Novi Pazar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.19,1.22,1.28,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALY 1,2025-04-28,13:30:00,34,Udinese,Bologna,5.0,2.05,2.6,4.5,3.41,1.93,1.5,2.5,3.4,1.3,10.0,1.06,0.0,0.0,0.0,0.0,2.3,1.57,2.05,1.7,0.0,0.0,0.0,1.44,1.5,1.29,1.35,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERBIA 1,2025-04-28,13:30:00,3,Železničar Pančevo,Radnički Niš,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,1.53,1.51,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PORTUGAL 2,2025-04-28,14:00:00,31,GD Chaves,Alverca,2.88,2.1,3.75,2.1,3.2,3.3,1.44,2.63,3.25,1.33,9.0,1.07,0.0,0.0,0.0,0.0,1.95,1.7,1.8,1.91,0.0,0.0,0.0,1.67,1.4,1.62,1.3,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWEDEN 2,2025-04-28,14:00:00,5,Utsikten,Västerås SK,3.75,2.25,2.63,3.89,3.79,1.82,1.33,3.25,2.63,1.44,6.5,1.11,0.0,0.0,0.0,0.0,1.65,2.05,1.62,2.2,0.0,0.0,0.0,1.5,1.5,1.52,2.36,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWEDEN 1,2025-04-28,14:00:00,6,Brommapojkarna,Djurgården,3.4,2.25,3.0,2.8,3.6,2.3,1.33,3.25,2.63,1.44,7.0,1.1,0.0,0.0,0.0,0.0,1.98,1.77,1.62,2.2,0.0,0.0,0.0,1.5,1.5,1.8,1.51,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORWAY 2,2025-04-28,14:00:00,4,Raufoss,Egersund,2.95,2.2,3.0,2.45,3.5,2.45,1.28,3.2,2.4,1.55,4.9,1.12,1.01,12.0,1.15,4.33,1.62,2.24,1.53,2.38,1.44,0.0,1.5,3.0,3.0,1.81,1.48,3.29,2.48,6.8,1.8,1.13,3.9,1.23,3.42,1.44,2.51,1.77,1.94,2.21,1.56
PORTUGAL 2,2025-04-28,14:00:00,31,Benfica II,CD Mafra,2.5,2.2,4.5,1.8,3.4,4.0,1.4,2.75,2.75,1.4,8.0,1.08,0.0,0.0,0.0,0.0,1.8,1.85,1.8,1.91,0.0,0.0,0.0,1.8,0.4,1.55,1.26,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLAND 1,2025-04-28,14:00:00,30,Zagłębie Lubin,Stal Mielec,2.3,2.15,4.0,2.09,3.41,3.35,1.32,3.1,2.55,1.46,6.0,1.1,1.03,11.0,1.25,3.52,1.83,1.91,1.7,2.05,1.28,0.0,1.82,1.21,0.36,1.71,1.3,3.01,1.55,6.75,2.61,1.2,3.7,1.28,3.05,1.6,2.37,1.92,1.79,2.45,1.54
