League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Japan J1 League,2024-11-22,07:00:00,28,Urawa Reds,Kawasaki Frontale,2.7,2.38,3.25,2.45,3.5,2.65,1.29,3.3,1.01,11.0,1.18,4.33,1.61,2.23,1.53,2.4,1.42,1.22,1.57,1.59,1.06,1.6,1.59,3.19,1.8,8.0,2.3,1.2,4.4,1.31,3.04,1.7,2.05,1.96,1.79,2.52,1.46
Bulgaria First League,2024-11-22,12:00:00,16,Spartak Varna,Hebar 1918,2.1,2.1,7.5,1.53,3.75,7.0,1.5,2.5,1.05,8.0,1.4,2.8,2.16,1.62,2.38,1.53,1.11,1.21,2.03,1.86,0.29,1.51,0.97,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2024-11-22,12:30:00,17,Sepsi,SCM Gloria Buzău,2.25,2.2,6.0,1.6,3.6,5.25,1.44,2.63,1.04,6.45,1.34,2.69,1.98,1.8,2.0,1.73,1.14,1.27,2.14,1.38,0.63,1.47,1.11,2.58,1.37,9.0,3.78,1.32,2.78,1.62,2.06,2.11,1.65,2.74,1.35,3.75,1.17
Serbia SuperLiga,2024-11-22,13:00:00,16,IMT Novi Beograd,Bačka Topola,4.0,2.2,2.5,4.0,3.2,1.83,1.36,3.0,0.0,0.0,0.0,0.0,1.85,1.95,1.73,2.0,0.0,0.0,0.0,1.14,1.67,1.19,1.48,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia PrvaLiga,2024-11-22,13:30:00,16,Bravo,Radomlje,2.63,2.1,4.0,1.95,3.3,3.5,1.4,2.75,1.03,9.0,1.29,3.3,2.0,1.8,1.83,1.83,1.25,1.27,1.72,2.29,0.86,1.46,1.3,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2024-11-22,14:00:00,16,Zagłębie Lubin,Motor Lublin,2.75,2.2,4.0,2.05,3.55,3.35,1.35,2.95,1.05,9.5,1.22,4.0,1.85,1.9,1.67,2.1,1.3,1.22,1.72,1.86,1.43,1.72,1.37,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Croatia Prva HNL,2024-11-22,14:00:00,14,Istra 1961,Slaven Koprivnica,2.88,2.1,4.0,2.05,3.4,3.3,1.44,2.63,1.05,8.0,1.33,3.1,2.05,1.75,1.83,1.83,1.3,1.25,1.7,1.33,0.5,1.18,1.5,2.68,1.93,6.2,2.4,1.43,2.6,1.75,1.96,2.24,1.57,2.98,1.34,4.35,1.17
Austria 2. Liga,2024-11-22,14:00:00,14,Amstetten,First Vienna,2.75,2.3,3.2,2.4,3.6,2.5,1.3,3.4,0.0,0.0,0.0,0.0,1.6,2.25,1.53,2.38,0.0,0.0,0.0,2.14,2.17,1.76,1.62,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-11-22,14:00:00,14,Lafnitz,Sturm Graz II,3.25,2.5,2.5,3.0,3.8,2.0,1.21,4.15,1.01,17.0,1.06,5.7,1.4,2.73,1.4,2.75,1.72,1.23,1.36,0.67,1.29,1.43,1.65,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-11-22,14:00:00,14,Rapid Wien II,St. Pölten,3.1,2.3,2.88,2.6,3.5,2.3,1.29,3.4,1.01,11.0,1.14,4.2,1.57,2.3,1.53,2.38,1.6,1.26,1.4,2.17,1.71,1.93,1.55,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
