League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Japan J1 League,2024-11-17,02:00:00,29,Kyoto Sanga,Kashima Antlers,3.6,2.15,2.8,3.15,3.35,2.14,1.38,2.8,1.03,9.0,1.29,3.3,1.99,1.87,1.73,2.0,1.62,1.33,1.38,1.0,1.29,1.5,1.39,2.89,1.95,8.5,2.0,1.15,4.4,1.29,3.14,1.6,2.31,1.91,1.8,2.43,1.55
Uruguay Primera División,2024-11-17,09:45:00,13,Miramar Misiones,Liverpool FC Montevideo,3.5,2.0,3.0,2.61,3.25,2.32,1.45,2.55,1.07,7.5,1.33,3.18,2.1,1.67,1.77,1.85,1.53,1.28,1.38,1.13,0.81,1.23,1.38,2.61,2.28,6.3,1.92,1.18,3.72,1.36,2.6,1.7,2.05,2.17,1.67,2.78,1.32
Norway First Division,2024-11-17,10:00:00,0,Lyn,Kongsvinger,2.6,2.3,3.75,2.15,3.7,3.0,1.3,3.4,1.0,12.0,1.17,3.84,1.63,2.2,1.57,2.25,1.33,1.22,1.78,1.53,1.47,1.76,1.69,3.45,1.62,6.4,2.82,1.08,5.15,1.22,3.8,1.4,2.7,1.7,2.0,2.18,1.6
Netherlands Eerste Divisie,2024-11-17,10:30:00,15,Eindhoven,MVV,2.8,2.3,3.5,2.2,3.6,3.1,1.28,3.4,1.02,17.0,1.18,4.75,1.6,2.3,1.52,2.5,1.38,1.22,1.68,0.83,0.43,1.29,1.21,2.5,1.78,6.0,2.52,1.16,4.5,1.35,2.9,1.62,2.12,2.08,1.65,2.78,1.38
Brazil Serie B,2024-11-17,11:00:00,37,Brusque,Guarani,3.1,1.91,4.33,2.25,2.9,3.5,1.65,2.1,1.13,5.75,1.6,2.2,2.65,1.42,2.2,1.62,1.3,1.35,1.57,1.44,0.44,1.27,1.17,2.44,2.07,7.5,2.07,1.2,4.25,1.41,2.68,2.1,2.04,2.12,1.64,2.75,1.39
Spain Segunda División,2024-11-17,12:15:00,15,Cádiz,Córdoba,2.5,2.05,4.33,1.9,3.3,4.07,1.42,2.65,1.07,8.0,1.35,3.1,2.0,1.72,1.83,1.83,1.22,1.25,1.85,0.86,0.17,1.49,1.27,2.76,1.64,8.0,2.77,1.34,2.98,1.6,2.19,2.0,1.72,2.6,1.44,3.5,1.26
Spain Segunda División,2024-11-17,12:15:00,15,Real Oviedo,CD Tenerife,2.4,1.95,6.0,1.68,3.5,5.15,1.57,2.25,1.1,6.5,1.5,2.45,2.47,1.48,2.5,1.5,1.17,1.25,2.0,2.5,0.33,1.68,1.06,2.74,1.38,6.75,3.15,1.3,3.05,1.53,2.28,1.98,1.82,2.32,1.52,3.0,1.32
Spain Segunda División,2024-11-17,14:30:00,15,Almería,Deportivo La Coruña,2.75,2.25,3.75,1.97,3.4,3.66,1.36,3.0,1.05,9.5,1.25,3.8,1.63,2.14,1.62,2.2,1.3,1.25,1.7,1.6,1.14,1.75,1.46,3.21,1.68,6.25,2.3,1.37,2.75,1.64,2.08,2.04,1.66,2.63,1.41,3.4,1.25
Spain Segunda División,2024-11-17,14:30:00,15,FC Cartagena,SD Huesca,3.75,1.83,3.6,2.96,2.9,2.55,1.62,2.2,1.12,5.75,1.57,2.25,2.85,1.37,2.2,1.62,1.44,1.36,1.4,0.17,1.17,1.21,1.04,2.25,1.95,7.5,2.1,1.5,2.4,1.87,1.83,2.43,1.49,3.3,1.29,4.3,1.16
Brazil Serie B,2024-11-17,16:00:00,37,Santos,CRB,2.1,2.2,7.0,1.5,3.95,6.44,1.4,2.7,1.06,8.5,1.35,3.1,1.98,1.74,2.1,1.67,1.12,1.2,2.38,2.22,0.61,1.79,1.12,2.91,1.32,8.8,4.57,0.0,0.0,1.28,2.97,2.2,2.24,1.92,1.79,2.41,1.45
