League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
AUSTRIA 2,2025-04-21,05:30:00,25,Schwarz-Weiß Bregenz,Floridsdorfer AC,3.32,2.13,2.68,2.7,3.47,2.43,1.33,3.23,2.55,1.47,6.0,1.12,1.05,11.0,1.25,3.7,1.83,1.91,1.67,2.1,1.24,1.25,1.29,2.0,0.75,1.71,1.18,2.89,2.14,6.35,2.02,1.23,3.42,1.5,2.49,2.08,1.9,2.32,1.57,3.05,1.34
POLAND 1,2025-04-21,07:15:00,29,Puszcza Niepołomice,Radomiak Radom,3.3,2.17,3.0,2.71,3.29,2.52,1.4,2.85,2.8,1.38,6.75,1.06,1.02,9.0,1.33,3.25,1.95,1.79,1.81,1.91,1.33,1.28,1.44,1.31,1.07,1.41,1.38,2.79,1.91,8.0,2.1,1.2,3.9,1.33,2.83,1.61,2.12,2.04,1.69,2.64,1.4
ITALY 1,2025-04-21,07:30:00,33,Torino,Udinese,3.2,1.95,4.0,2.45,2.97,3.45,1.53,2.38,3.75,1.25,11.0,1.05,1.11,6.25,1.48,2.6,2.37,1.53,2.0,1.75,1.3,1.35,1.55,1.4,1.06,1.16,1.34,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALY 2,2025-04-21,07:30:00,34,Südtirol,Bari 1908,3.25,2.0,3.6,2.57,3.02,3.18,1.5,2.5,3.5,1.29,10.0,1.06,1.1,6.5,1.44,2.75,2.15,1.57,1.91,1.91,1.38,1.33,1.48,1.13,1.06,1.42,1.36,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWEDEN 2,2025-04-21,08:00:00,4,Varberg,Umeå,2.3,2.3,5.0,1.57,4.3,5.0,1.36,3.0,2.63,1.44,7.0,1.1,1.01,11.0,1.19,3.75,1.73,1.91,1.8,1.95,1.17,1.2,2.05,3.0,0.0,1.92,1.33,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGLAND 4,2025-04-21,08:30:00,44,Newport County,Walsall,5.0,2.3,2.25,5.3,3.62,1.65,1.36,3.0,2.63,1.44,7.0,1.1,1.04,10.0,1.25,3.8,1.79,1.95,1.73,2.0,2.4,1.18,1.13,1.62,1.48,1.24,1.41,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENMARK 1,2025-04-21,09:00:00,5,Vejle,Silkeborg,3.28,2.16,2.48,2.83,3.66,2.25,1.35,3.08,2.58,1.5,5.45,1.12,1.0,10.5,1.22,4.41,1.65,2.0,1.55,2.25,1.22,1.22,1.27,0.69,1.5,1.33,1.44,2.77,2.76,9.0,1.7,1.18,3.84,1.47,2.66,1.68,2.01,2.0,1.62,2.79,1.36
DENMARK 1,2025-04-21,09:00:00,5,Viborg,Lyngby,2.36,2.24,3.95,1.73,4.1,4.0,1.32,3.1,2.43,1.47,5.5,1.11,1.01,13.0,1.18,4.2,1.55,2.2,1.62,2.1,1.18,1.2,2.16,1.46,0.73,1.45,1.21,2.66,1.61,6.75,2.3,1.18,4.05,1.37,2.97,1.76,2.23,1.97,1.78,2.45,1.49
SWEDEN 1,2025-04-21,09:00:00,4,Djurgården,GAIS,2.4,2.2,5.0,1.77,3.57,4.5,1.4,2.75,3.0,1.36,8.0,1.08,1.06,9.0,1.33,3.3,1.98,1.77,1.91,1.91,1.22,1.25,1.83,0.0,1.0,1.7,1.15,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORWAY 1,2025-04-21,09:30:00,3,Vålerenga,Rosenborg,3.4,2.3,2.88,3.07,3.47,2.19,1.33,3.25,2.5,1.5,6.5,1.11,1.01,13.0,1.17,4.15,1.6,2.1,1.57,2.25,1.62,1.22,1.4,3.0,3.0,1.7,1.76,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA 2,2025-04-21,09:30:00,25,Liefering,St. Pölten,3.62,2.19,2.51,2.82,3.68,2.25,1.33,2.9,2.45,1.47,5.6,1.12,1.04,8.5,1.22,3.9,1.7,1.95,1.65,2.2,1.18,1.22,1.17,1.5,1.67,1.59,1.54,3.13,2.2,7.0,1.98,1.2,3.82,1.31,2.75,1.85,2.16,1.98,1.74,2.54,1.43
AUSTRIA 2,2025-04-21,09:30:00,25,Rapid Wien II,Kapfenberger SV,2.83,2.21,3.2,2.13,3.66,3.05,1.32,3.1,2.35,1.52,5.2,1.13,1.04,8.5,1.2,4.2,1.57,2.15,1.54,2.44,1.22,1.22,1.45,1.83,1.42,1.71,1.14,2.85,1.64,7.1,2.78,1.21,3.75,1.36,2.79,1.88,2.13,2.08,1.7,2.6,1.44
POLAND 1,2025-04-21,09:45:00,29,Jagiellonia Białystok,Zagłębie Lubin,2.33,2.33,4.4,1.78,3.8,4.1,1.32,3.1,2.5,1.49,6.0,1.11,1.04,12.0,1.23,3.9,1.67,2.0,1.7,2.17,1.29,1.22,2.0,2.21,0.86,1.73,1.45,3.18,1.65,6.75,2.55,1.18,3.4,1.31,2.92,1.77,2.19,1.96,1.75,2.54,1.43
ITALY 2,2025-04-21,10:00:00,34,Juve Stabia,Sampdoria,3.1,1.95,4.0,2.39,3.12,3.37,1.53,2.38,3.5,1.29,11.0,1.05,1.1,6.5,1.45,2.7,2.1,1.6,2.0,1.75,1.3,1.33,1.57,1.88,0.88,1.28,1.29,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALY 2,2025-04-21,10:00:00,34,Cittadella,Salernitana,3.6,2.0,3.25,3.02,3.04,2.67,1.5,2.5,3.4,1.3,10.0,1.06,1.09,7.0,1.42,2.8,2.2,1.55,1.91,1.91,1.48,1.33,1.38,0.81,0.5,1.37,1.21,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALY 2,2025-04-21,10:00:00,34,Sassuolo,Frosinone,2.25,2.3,5.0,1.64,4.0,5.6,1.33,3.25,2.63,1.44,6.5,1.11,1.05,9.5,1.25,3.8,1.84,1.97,1.7,2.05,1.17,1.22,2.1,2.56,1.13,1.65,1.29,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALY 2,2025-04-21,10:00:00,34,Palermo,Carrarese,2.3,2.25,5.0,1.74,4.0,4.75,1.36,3.0,2.63,1.44,7.0,1.1,1.05,9.5,1.25,3.7,1.85,1.75,1.75,2.0,1.18,1.22,2.1,1.56,0.56,1.79,1.17,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA 2,2025-04-21,10:00:00,25,Ried,Austria Lustenau,2.04,2.4,5.2,1.47,4.5,5.9,1.32,3.1,2.6,1.42,5.2,1.12,1.01,10.5,1.25,3.74,1.75,1.91,1.85,1.85,1.22,1.17,2.6,2.09,1.42,1.46,1.27,2.73,1.38,7.3,4.2,1.34,2.8,1.64,2.18,2.41,1.71,2.79,1.36,3.48,1.18
ITALY 2,2025-04-21,10:00:00,34,Mantova,Catanzaro,3.0,2.1,3.5,2.54,3.36,2.91,1.4,2.75,3.0,1.36,8.0,1.08,1.06,8.5,1.33,3.25,1.94,1.87,1.7,2.05,1.4,1.28,1.53,1.5,1.19,1.41,1.21,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALY 1,2025-04-21,10:00:00,33,Cagliari,Fiorentina,3.6,2.05,3.2,3.34,3.21,2.36,1.5,2.5,3.4,1.3,10.0,1.06,1.08,7.5,1.4,2.9,2.1,1.67,1.91,1.91,1.53,1.3,1.38,1.19,1.27,1.43,1.23,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLOVENIA 1,2025-04-21,10:00:00,31,Radomlje,Celje,5.5,2.38,1.95,5.6,4.4,1.5,1.33,3.25,2.5,1.5,5.5,1.13,1.03,10.0,1.18,4.5,1.61,2.05,1.83,1.83,2.5,1.17,1.1,1.4,1.46,1.36,1.7,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALY 2,2025-04-21,10:00:00,34,Spezia,Cosenza,1.91,2.38,7.5,1.4,5.0,8.3,1.36,3.0,2.63,1.44,7.0,1.1,1.04,10.0,1.25,3.9,1.82,2.0,2.05,1.7,1.08,1.14,2.9,2.13,0.75,1.9,1.36,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRELAND 1,2025-04-21,10:00:00,11,Shamrock Rovers,Bohemians,2.26,2.04,4.9,1.6,3.53,5.0,1.4,2.75,3.1,1.32,6.8,1.0,1.03,8.5,1.36,3.1,2.25,1.67,2.0,1.75,1.25,1.22,2.15,2.5,0.6,1.89,1.3,3.19,1.46,8.3,2.8,1.21,3.58,1.43,2.54,1.98,2.04,2.22,1.56,2.92,1.4
ITALY 2,2025-04-21,10:00:00,34,Brescia,Reggiana,3.1,1.95,4.0,2.38,3.17,3.35,1.53,2.38,3.5,1.29,11.0,1.05,1.1,6.5,1.45,2.7,2.1,1.6,2.0,1.75,1.33,1.3,1.57,1.06,0.88,1.69,1.31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA 1,2025-04-21,10:30:00,30,Septemvri Sofia,Levski Sofia,8.2,2.4,1.72,7.5,5.0,1.29,1.33,3.2,2.65,1.47,5.0,1.12,1.03,13.3,1.22,4.0,1.7,2.05,1.93,1.72,1.18,1.12,1.06,1.0,1.93,1.1,1.72,2.82,6.54,11.5,1.18,1.22,3.62,1.43,2.62,1.71,2.06,2.13,1.67,2.67,1.41
ENGLAND 4,2025-04-21,11:00:00,44,Accrington Stanley,Carlisle United,3.1,2.1,3.5,2.38,3.26,2.91,1.4,2.75,3.0,1.36,8.0,1.08,1.06,8.5,1.35,3.1,1.92,1.82,1.73,2.0,1.36,1.28,1.57,1.19,0.86,1.22,1.18,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGLAND 4,2025-04-21,11:00:00,44,Barrow,Tranmere Rovers,3.1,2.0,3.75,2.25,3.3,3.1,1.5,2.5,3.4,1.3,10.0,1.06,1.08,7.5,1.42,2.8,2.25,1.6,1.91,1.8,1.33,1.28,1.62,1.67,0.67,1.43,1.25,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
