League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
England Championship,2024-12-10,16:45:00,20,Burnley,Derby County,2.3,2.1,5.5,1.7,3.4,5.0,1.44,2.63,1.07,9.0,1.4,2.95,2.25,1.57,2.1,1.67,1.16,1.24,2.25,2.0,0.64,1.4,0.95,2.35,1.41,9.0,3.36,1.18,4.5,1.34,3.1,1.58,2.29,1.93,1.82,2.44,1.52
England Championship,2024-12-10,16:45:00,20,Luton Town,Stoke City,2.88,2.1,3.75,2.05,3.3,3.4,1.4,2.75,1.05,11.0,1.3,3.6,1.8,1.91,1.73,2.0,1.3,1.28,1.78,1.64,0.8,1.35,1.1,2.45,1.51,9.0,3.06,1.15,4.95,1.29,3.38,1.51,2.46,1.82,1.93,2.27,1.59
England Championship,2024-12-10,16:45:00,0,Plymouth Argyle,Swansea City,4.0,2.1,2.88,3.75,3.6,1.85,1.44,2.63,1.05,9.5,1.28,3.55,1.73,2.0,1.83,1.83,1.85,1.22,1.25,1.67,1.27,1.48,1.11,2.59,2.77,9.0,1.59,1.14,5.25,1.26,3.6,1.46,2.58,1.74,2.02,2.16,1.65
England Championship,2024-12-10,16:45:00,20,Portsmouth,Norwich City,3.75,2.38,2.6,2.9,3.3,2.3,1.3,3.4,1.05,9.5,1.22,4.2,1.73,2.0,1.5,2.5,1.62,1.25,1.36,1.11,0.91,1.37,1.0,2.37,2.1,8.5,1.91,1.17,4.7,1.31,3.25,1.54,2.38,1.87,1.87,2.35,1.55
England Championship,2024-12-10,16:45:00,20,Sheffield Wednesday,Blackburn Rovers,3.0,2.1,3.75,2.2,3.3,3.1,1.44,2.63,1.05,9.0,1.3,3.35,1.95,1.75,1.8,1.91,1.35,1.25,1.65,1.18,1.5,1.42,0.98,2.4,1.41,9.0,3.36,1.17,4.7,1.31,3.25,1.54,2.38,1.87,1.87,2.35,1.55
England Championship,2024-12-10,16:45:00,20,Sunderland,Bristol City,2.5,2.1,5.0,1.91,3.4,3.8,1.44,2.63,1.07,9.0,1.4,3.0,2.1,1.67,2.0,1.73,1.22,1.28,1.92,2.2,1.18,1.51,1.31,2.82,1.64,8.5,2.66,1.2,4.2,1.38,2.88,1.63,2.18,2.02,1.74,2.57,1.47
Wales Welsh Premier League,2024-12-10,16:45:00,18,Barry Town United,Cardiff MU,3.0,2.3,3.0,2.4,3.3,2.63,1.3,3.4,0.0,0.0,0.0,0.0,1.65,2.1,1.53,2.38,0.0,0.0,0.0,1.89,1.5,1.55,1.33,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England Championship,2024-12-10,17:00:00,20,Leeds United,Middlesbrough,2.4,2.3,4.33,1.85,3.6,3.8,1.33,3.25,1.04,13.0,1.26,4.0,1.75,1.95,1.67,2.1,1.22,1.22,2.05,2.55,1.4,1.9,1.61,3.51,1.55,8.5,2.91,1.2,4.2,1.38,2.88,1.63,2.18,2.02,1.74,2.57,1.47
