League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
EGYPT 1,2025-05-08,14:00:00,5,Al Ahly,Al Masry,2.03,2.2,6.0,1.45,3.71,6.2,1.4,2.8,3.09,1.36,8.0,1.08,1.04,8.5,1.32,2.97,1.92,1.78,2.15,1.67,1.11,1.23,2.45,2.3,1.75,1.78,1.24,3.02,1.37,8.0,4.26,1.33,3.05,1.59,2.27,2.25,1.79,2.46,1.48,3.25,1.28
ENGLAND 2,2025-05-08,16:00:00,0,Bristol City,Sheffield United,3.6,1.91,3.6,2.59,3.19,2.69,1.57,2.25,3.75,1.25,13.0,1.04,1.1,6.5,1.5,2.4,2.3,1.55,2.2,1.62,1.43,1.37,1.44,1.48,1.98,1.46,1.45,2.91,1.7,6.5,2.55,1.25,3.5,1.46,2.4,1.82,1.82,2.4,1.47,3.3,1.27
BRAZIL 2,2025-05-08,21:35:00,7,Atlético PR,Chapecoense,2.1,2.0,6.0,1.42,3.85,6.3,1.45,2.45,3.2,1.3,8.0,1.06,1.07,6.8,1.37,2.8,1.95,1.7,2.2,1.55,1.25,1.24,2.1,2.0,1.0,1.4,1.83,3.23,1.28,11.0,5.04,1.24,3.55,1.32,2.88,1.58,2.17,1.99,1.73,2.54,1.43
