League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Turkey Süper Lig,2024-12-15,07:30:00,16,Hatayspor,Göztepe,3.6,2.15,3.0,3.01,3.45,2.34,1.44,3.0,1.04,10.06,1.29,3.44,1.95,1.88,1.75,2.05,1.63,1.33,1.44,0.88,0.75,1.1,1.32,2.42,2.12,6.25,1.9,1.46,2.5,1.76,1.94,2.23,1.57,2.9,1.34,3.9,1.2
Portugal LigaPro,2024-12-15,08:00:00,14,Felgueiras 1932,FC Vizela,2.84,2.08,3.68,2.25,3.25,3.0,1.43,2.7,1.03,6.85,1.3,2.88,1.99,1.73,1.79,1.92,1.36,1.31,1.59,0.88,1.13,1.69,1.35,3.04,1.59,8.5,2.78,1.15,4.25,1.32,2.88,1.6,2.14,2.02,1.71,2.6,1.41
Netherlands Eredivisie,2024-12-15,08:15:00,16,Utrecht,Go Ahead Eagles,2.6,2.3,4.0,2.06,3.3,3.2,1.33,3.25,1.04,13.0,1.26,3.67,1.75,1.95,1.62,2.2,1.33,1.24,1.78,2.0,1.0,1.36,1.11,2.47,1.61,6.75,2.55,1.24,3.55,1.44,2.55,1.72,1.98,2.1,1.64,2.65,1.4
Italy Serie A,2024-12-15,08:30:00,16,Lecce,Monza,3.25,1.95,3.75,2.33,3.0,3.0,1.53,2.38,1.1,7.5,1.47,2.75,2.3,1.6,2.0,1.75,1.38,1.32,1.58,1.5,0.88,1.38,0.87,2.25,1.67,6.75,2.48,1.34,2.9,1.58,2.18,1.96,1.73,2.5,1.46,3.3,1.28
Serbia SuperLiga,2024-12-15,09:00:00,19,Napredak,Radnički Niš,3.25,2.1,3.0,2.62,3.35,2.27,1.4,2.75,1.05,8.5,1.28,3.5,1.93,1.89,1.73,2.0,1.46,1.26,1.35,1.3,0.7,1.33,1.39,2.72,2.33,7.5,1.85,1.4,2.82,1.68,2.11,2.11,1.68,2.75,1.42,3.82,1.24
Czech Republic First League,2024-12-15,09:00:00,19,Sparta Praha,Jablonec,1.95,2.45,5.5,1.47,4.5,6.0,1.29,3.3,1.01,13.0,1.18,4.5,1.62,2.2,1.75,2.0,1.08,1.15,2.6,2.0,1.1,1.98,1.38,3.36,1.55,8.5,2.91,1.17,4.5,1.38,2.88,1.63,2.18,1.95,1.77,2.57,1.47
Germany 2. Bundesliga,2024-12-15,09:30:00,16,Eintracht Braunschweig,Elversberg,3.4,2.25,3.0,2.8,3.2,2.21,1.33,3.25,1.05,9.5,1.22,4.0,1.75,1.95,1.62,2.2,1.6,1.22,1.42,1.38,1.5,1.36,1.4,2.76,2.08,6.75,1.88,1.21,3.8,1.37,2.8,1.63,2.12,1.98,1.72,2.48,1.47
Germany 2. Bundesliga,2024-12-15,09:30:00,16,Greuther Fürth,Hannover 96,3.4,2.3,2.88,2.7,3.4,2.28,1.33,3.25,1.04,10.0,1.2,4.2,1.65,2.1,1.57,2.25,1.57,1.22,1.42,1.22,0.63,1.49,1.22,2.71,2.12,6.75,1.84,1.2,3.9,1.37,2.8,1.61,2.15,1.96,1.74,2.45,1.48
Belgium Pro League,2024-12-15,09:30:00,18,Club Brugge,KRC Genk,2.25,2.4,4.5,1.62,3.7,4.1,1.3,3.4,1.02,19.0,1.18,4.65,1.57,2.25,1.62,2.2,1.19,1.19,2.3,2.22,1.44,2.07,1.72,3.79,1.5,6.75,2.8,1.3,3.05,1.53,2.3,1.88,1.81,2.33,1.5,3.05,1.3
Germany 2. Bundesliga,2024-12-15,09:30:00,16,Köln,Nürnberg,2.2,2.4,4.75,1.57,3.8,4.4,1.29,3.5,1.04,10.0,1.17,4.75,1.55,2.3,1.62,2.2,1.15,1.17,2.2,1.56,0.89,1.88,1.45,3.33,1.49,7.0,2.9,1.19,4.1,1.33,2.95,1.53,2.3,1.84,1.84,2.25,1.55
Serbia SuperLiga,2024-12-15,10:00:00,19,Čukarički,OFK Beograd,2.5,2.1,4.0,1.78,3.45,3.75,1.4,2.75,1.05,8.5,1.28,3.5,1.94,1.88,1.73,2.0,1.23,1.24,1.67,1.6,2.0,1.6,1.32,2.92,1.64,8.0,2.77,1.4,2.82,1.68,2.11,2.11,1.68,2.75,1.42,3.82,1.24
Spain La Liga,2024-12-15,10:00:00,17,Atlético Madrid,Getafe CF,2.0,2.1,9.5,1.41,4.35,9.97,1.5,2.5,1.08,8.5,1.45,2.8,2.3,1.62,2.75,1.4,1.04,1.19,2.95,2.56,0.25,1.68,1.04,2.72,1.33,7.0,3.65,1.44,2.55,1.75,1.95,2.2,1.58,2.8,1.36,3.8,1.21
Turkey Süper Lig,2024-12-15,10:00:00,16,Antalyaspor,Kayserispor,2.75,2.2,3.75,2.07,3.44,3.44,1.42,3.1,1.03,10.65,1.25,3.82,1.79,1.98,1.68,2.15,1.35,1.33,1.8,2.0,1.13,1.4,1.11,2.51,1.64,6.75,2.5,1.35,2.9,1.58,2.2,1.95,1.75,2.48,1.47,3.2,1.28
