League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Brazil Serie A,2024-11-20,11:00:00,34,Corinthians,Cruzeiro,1.91,2.25,8.5,1.52,3.7,8.0,1.5,2.5,1.07,8.5,1.42,2.85,2.35,1.52,2.38,1.53,1.06,1.17,2.95,1.81,0.81,1.71,1.25,2.96,1.35,7.0,3.55,1.15,4.6,1.28,3.3,2.1,2.45,1.75,1.95,2.15,1.61
Spain Segunda División,2024-11-20,16:00:00,13,CD Eldense,SD Huesca,2.95,1.85,4.33,2.1,2.95,3.5,1.6,2.22,1.11,6.5,1.57,2.2,2.5,1.49,2.2,1.62,1.25,1.3,1.66,1.43,1.0,1.47,1.13,2.6,1.53,8.45,3.04,1.4,2.73,1.69,2.04,2.15,1.62,2.83,1.37,3.88,1.21
Brazil Serie A,2024-11-20,16:30:00,34,Bragantino,São Paulo,3.6,1.95,3.4,2.65,3.25,2.7,1.53,2.38,1.09,7.5,1.45,2.7,2.35,1.52,2.0,1.75,1.5,1.33,1.44,1.63,1.19,1.44,1.26,2.7,1.98,6.75,1.98,1.24,3.55,1.44,2.55,2.0,1.98,2.14,1.62,2.7,1.4
Brazil Serie A,2024-11-20,16:30:00,34,Atlético PR,Atlético GO,2.3,2.2,5.5,1.6,3.7,6.25,1.4,2.75,1.05,11.0,1.3,3.4,2.15,1.62,1.95,1.8,1.12,1.2,2.4,1.31,0.56,1.87,1.42,3.29,1.41,7.0,3.3,1.24,3.55,1.44,2.55,1.83,1.98,2.12,1.63,2.65,1.4
Brazil Serie A,2024-11-20,16:30:00,34,Criciúma,Vitória,2.88,2.05,4.33,2.2,3.3,3.3,1.44,2.63,1.07,9.0,1.38,3.0,2.1,1.65,1.95,1.8,1.3,1.28,1.72,1.44,0.94,1.54,1.19,2.73,1.84,6.4,2.15,1.2,3.9,1.37,2.8,1.91,2.15,1.97,1.73,2.48,1.47
Wales Welsh Premier League,2024-11-20,16:45:00,11,Briton Ferry,The New Saints,11.0,3.1,1.44,12.0,9.0,1.13,1.2,4.33,1.01,19.0,1.06,5.9,1.3,3.4,2.1,1.67,6.3,1.02,1.01,0.63,2.57,1.34,2.2,3.54,15.5,18.0,1.02,1.2,4.0,1.33,3.0,1.52,2.18,1.91,1.8,2.42,1.42
Argentina Primera División,2024-11-20,17:00:00,23,Newell's Old Boys,Central Córdoba SdE,3.1,1.83,4.5,2.25,3.1,3.6,1.57,2.25,1.04,6.5,1.5,2.48,2.7,1.44,2.25,1.57,1.28,1.33,1.7,0.95,1.14,1.37,1.25,2.62,1.73,5.8,2.23,1.52,2.33,1.9,1.79,2.43,1.47,3.2,1.29,4.35,1.17
Brazil Serie A,2024-11-20,18:00:00,34,Bahia,Palmeiras,3.75,2.1,3.0,3.1,3.25,2.35,1.44,2.63,1.06,10.0,1.36,3.1,2.2,1.58,1.8,1.95,1.66,1.25,1.36,2.0,1.63,1.55,1.57,3.12,2.23,6.75,1.77,1.55,2.25,1.92,1.77,2.1,1.46,3.3,1.27,4.4,1.16
Brazil Serie A,2024-11-20,19:00:00,34,Cuiabá,Flamengo,4.75,1.91,2.88,3.3,3.4,2.15,1.53,2.38,1.08,8.0,1.5,2.4,2.25,1.57,2.2,1.62,1.87,1.25,1.22,0.88,1.56,1.28,1.45,2.73,2.4,6.5,1.7,1.26,3.4,1.46,2.48,2.1,1.92,2.2,1.57,2.8,1.36
Brazil Serie A,2024-11-20,19:00:00,34,Grêmio,Juventude,2.25,2.25,5.0,1.61,3.8,5.75,1.36,3.0,1.03,13.0,1.25,3.75,1.93,1.75,1.8,1.95,1.15,1.2,2.35,1.56,0.5,1.41,1.15,2.56,1.43,7.0,3.15,1.27,3.3,1.46,2.48,2.1,1.93,2.18,1.58,2.8,1.36
