League,Home,Away,Date,Time,ID_Evento,IDMercado_Match_Odds,IDMercado_Correct_Score,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score?,IDMercado_Double_Chance,IDMercado_Half_Time,IDMercado_Half_Time_Score,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Asian_Handicap,IDMercado_Goal_Lines
Argentinian Primera B Metropolitana,Excursionistas,CS Dock Sud,2025-04-12,17:00:00,34203393,1.242132474,1.242132483,1.242132478,1.242132522,1.242132519,1.242132523,1.242132520,1.242132482,1.242132480,1.242132473,1.242132471,1.242132558,1.242132475,1.242132481,1.242132518,1.242132477,1.242132479,1.242132472,1.242132524,1.242132484
Argentinian Women's Matches,San Luis FC Women,Racing (W),2025-04-12,17:00:00,34212291,1.242248514,1.242248523,1.242248518,1.242248562,1.242248559,1.242248563,1.242248560,1.242248522,1.242248520,1.242248513,1.242248511,1.242248598,1.242248515,1.242248521,1.242248558,1.242248517,1.242248519,1.242248512,1.242248564,1.242248524
Brazilian Campeonato Women,Fluminense RJ (W),SC Internacional (W),2025-04-12,17:00:00,34196002,1.241993232,1.241993241,1.241993236,1.241993280,1.241993277,1.241993281,1.241993278,1.241993240,1.241993238,1.241993231,1.241993229,1.241993316,1.241993233,1.241993239,1.241993276,1.241993235,1.241993237,1.241993230,1.241993282,1.241993242
Argentinian Primera B Nacional,CA Colegiales,Ferro Carril Oeste,2025-04-12,17:10:00,34200323,1.242084466,1.242084475,1.242084470,1.242084514,1.242084511,1.242084515,1.242084512,1.242084474,1.242084472,1.242084465,1.242084463,1.242084550,1.242084467,1.242084473,1.242084510,1.242084469,1.242084471,1.242084464,1.242084516,1.242084476
Peruvian Primera Division,Juan Pablo II College,Alianza Atletico,2025-04-12,17:30:00,34196518,1.241998810,1.241998819,1.241998814,1.241998858,1.241998855,1.241998859,1.241998856,1.241998818,1.241998816,1.241998809,1.241998807,1.241998894,1.241998811,1.241998817,1.241998854,1.241998813,1.241998815,1.241998808,1.241998860,1.241998820
US MLS,Orlando City,New York Red Bulls,2025-04-12,17:30:00,34173545,1.241635929,1.241635939,1.241635933,1.241635945,1.241635940,1.241635883,1.241635941,1.241635938,1.241635935,1.241635924,1.241635925,1.241635928,1.241635918,1.241635937,1.241635942,1.241635932,1.241635934,1.241635926,1.241635884,1.241635848
Argentinian Primera Division,Barracas Central,Tigre,2025-04-12,18:00:00,34178281,1.241716596,1.241716605,1.241716600,1.241716610,1.241716606,1.241716552,1.241716607,1.241716604,1.241716602,1.241716592,1.241716593,1.241716595,1.241716587,1.241716603,1.241716608,1.241716599,1.241716601,1.241716594,1.241716553,1.241716518
Brazilian Serie B,Vila Nova,Paysandu,2025-04-12,18:00:00,34194075,1.241957323,1.241957333,1.241957327,1.241957339,1.241957334,1.241957279,1.241957335,1.241957332,1.241957329,1.241957319,1.241957320,1.241957322,1.241957314,1.241957330,1.241957336,1.241957326,1.241957328,1.241957321,1.241957280,1.241957245
Canadian Premier League,Pacific,Forge,2025-04-12,18:00:00,34198735,1.242047493,1.242047502,1.242047497,1.242047542,1.242047538,1.242047543,1.242047540,1.242047501,1.242047499,1.242047492,1.242047490,1.242047578,1.242047494,1.242047500,1.242047537,1.242047496,1.242047498,1.242047491,1.242047544,1.242047503
Colombian Primera B,Quindio,Real Soacha Cundinamarca FC,2025-04-12,18:00:00,34200717,1.242082032,1.242082041,1.242082036,1.242082080,1.242082077,1.242082081,1.242082078,1.242082040,1.242082038,1.242082031,1.242082029,1.242082116,1.242082033,1.242082039,1.242082076,1.242082035,1.242082037,1.242082030,1.242082082,1.242082042
