League,Home,Away,Date,Time,ID_Evento,IDMercado_Match_Odds,IDMercado_Correct_Score,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score?,IDMercado_Double_Chance,IDMercado_Half_Time,IDMercado_Half_Time_Score,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Asian_Handicap,IDMercado_Goal_Lines
Brazilian Campeonato Women,CR Flamengo (W),Palmeiras (W),2025-04-15,18:30:00,34218004,1.242347415,1.242347424,1.242347419,1.242347463,1.242347460,1.242347464,1.242347461,1.242347423,1.242347421,1.242347414,1.242347412,1.242347499,1.242347416,1.242347422,1.242347459,1.242347418,1.242347420,1.242347413,1.242347465,1.242347425
Brazilian Serie B,Cuiaba,Athletico-PR,2025-04-15,19:00:00,34216699,1.242318362,1.242318371,1.242318366,1.242318410,1.242318407,1.242318411,1.242318408,1.242318370,1.242318368,1.242318361,1.242318359,1.242318446,1.242318363,1.242318369,1.242318406,1.242318365,1.242318367,1.242318360,1.242318412,1.242318372
Argentinian Primera Division,CA Platense,Rosario Central,2025-04-15,20:00:00,34178404,1.241715840,1.241715849,1.241715844,1.241715854,1.241715850,1.241715796,1.241715851,1.241715848,1.241715846,1.241715836,1.241715837,1.241715839,1.241715831,1.241715847,1.241715852,1.241715843,1.241715845,1.241715838,1.241715797,1.241715762
Colombian Primera A,Deportivo Pereira,Deportivo Cali,2025-04-15,20:15:00,34215569,1.242315152,1.242315161,1.242315156,1.242315200,1.242315197,1.242315201,1.242315198,1.242315160,1.242315158,1.242315151,1.242315149,1.242315236,1.242315153,1.242315159,1.242315196,1.242315155,1.242315157,1.242315150,1.242315202,1.242315162
Paraguayan Primera Division,Nacional (Par),Cerro Porteno,2025-04-15,20:15:00,34213081,,1.242259047,1.242259042,1.242259086,1.242259083,1.242259087,1.242259084,1.242259046,1.242259044,1.242259037,1.242259035,1.242259122,1.242259039,1.242259045,1.242259082,1.242259041,1.242259043,1.242259036,1.242259088,1.242259048
Ecuadorian Serie A,Aucas,Univ Catolica (Ecu),2025-04-15,21:00:00,34198577,1.242044443,1.242044452,1.242044447,1.242044491,1.242044488,1.242044492,1.242044489,1.242044451,1.242044449,1.242044442,1.242044440,1.242044527,1.242044444,1.242044450,1.242044487,1.242044446,1.242044448,1.242044441,1.242044493,1.242044453
Brazilian Serie A,Ceara SC Fortaleza,Vasco Da Gama,2025-04-15,21:30:00,34197497,1.242014696,1.242014705,1.242014701,1.242014683,1.242014680,1.242014744,1.242014681,1.242014704,1.242014703,,,1.242014695,,1.242014677,1.242014676,,,,1.242014745,1.242014707
Mexican Liga MX,Pachuca,Tigres,2025-04-15,22:00:00,34195692,1.241986884,,,,1.241986929,,,,,,,,,,,,,,,
Mexican Liga MX,Guadalajara,Puebla,2025-04-15,22:05:00,34195688,1.241986974,,,,1.241987019,,,,,,,,,,,,,,,
Colombian Primera A,Tolima,Junior FC Barranquilla,2025-04-15,22:30:00,34215786,1.242314972,,,,1.242315017,,,,,,,,,,,,,,,
Costa Rican Primera Division,Puntarenas F.C.,Deportivo Saprissa,2025-04-15,23:00:00,34215994,1.242314522,,,,1.242314567,,,,,,,,,,,,,,,
Costa Rican Primera Division,Cs Herediano,Santos De Guapiles,2025-04-15,23:00:00,34215907,1.242314702,,,,1.242314747,,,,,,,,,,,,,,,
