League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
UEFA Europa Conference League,2024-12-19,17:00:00,Jagiellonia Bialystock,Olimpija,2.22,2.28,3.65,3.8,3.5,3.55,1.97,1.99,2.02,2.04,1.76,1.85,2.18,2.32,14.0,14.5,13.0,14.0,24.0,27.0,46.0,75.0,9.4,10.0,7.2,7.6,13.5,15.0,38.0,44.0,12.5,14.0,10.0,11.0,16.5,17.5,44.0,55.0,25.0,28.0,21.0,24.0,34.0,38.0,28.0,240.0,16.0,18.0,38.0,44.0,100.0,1000.0,33869949,7391394.0,489147.0,58805.0,1.237233976,1.237233986,1.237233975,1.237233985,3.15,3.35,1.43,1.46,13.5,15.5,1.07,1.08,3.95,4.2,1.32,1.34,1.35,1.38,1.78,1.82,1.39,1.4,1.237233967,1.237233979,1.237233980,1.237233990
UEFA Europa Conference League,2024-12-19,17:00:00,NK Celje,The New Saints,1.39,1.4,8.4,8.8,5.9,6.2,3.15,3.3,1.44,1.46,1.72,1.79,2.26,2.4,30.0,34.0,34.0,42.0,14.5,85.0,60.0,250.0,13.0,14.0,13.0,14.5,29.0,32.0,40.0,100.0,10.0,11.0,9.8,10.5,22.0,25.0,50.0,80.0,11.5,13.0,12.5,13.0,22.0,26.0,55.0,90.0,3.9,4.2,60.0,80.0,130.0,1000.0,33870043,3188553.0,3667304.0,58805.0,1.237236208,1.237236218,1.237236207,1.237236217,4.7,4.9,1.25,1.27,29.0,36.0,1.03,1.04,7.4,8.2,1.14,1.16,1.12,1.14,3.5,3.6,1.19,1.21,1.237236199,1.237236211,1.237236212,1.237236222
UEFA Europa Conference League,2024-12-19,17:00:00,Guimaraes,Fiorentina,3.7,3.75,2.28,2.32,3.35,3.4,2.04,2.08,1.92,1.95,1.71,1.77,2.28,2.42,12.5,14.0,10.0,11.0,13.5,15.0,26.0,29.0,13.5,15.5,7.0,7.8,10.0,11.0,21.0,24.0,23.0,27.0,13.5,15.0,14.0,16.5,32.0,38.0,55.0,65.0,36.0,42.0,42.0,50.0,75.0,90.0,32.0,36.0,15.0,17.0,290.0,980.0,33870047,50085.0,676467.0,58805.0,1.237235776,1.237235786,1.237235775,1.237235785,3.15,3.35,1.43,1.47,12.5,14.5,1.07,1.09,4.1,4.3,1.31,1.32,1.74,1.79,1.36,1.38,1.41,1.43,1.237235767,1.237235779,1.237235780,1.237235790
UEFA Europa Conference League,2024-12-19,17:00:00,Cercle Brugge,Basaksehir,2.46,2.48,3.05,3.1,3.7,3.75,2.22,2.28,1.78,1.8,1.65,1.69,2.46,2.54,16.0,18.5,13.5,15.0,20.0,23.0,42.0,55.0,11.5,13.0,7.6,8.4,12.5,13.5,29.0,32.0,15.5,17.0,10.5,11.5,14.5,15.5,32.0,40.0,30.0,34.0,21.0,25.0,28.0,32.0,65.0,75.0,14.5,16.5,22.0,25.0,110.0,850.0,33870042,259394.0,10071088.0,58805.0,1.237236316,1.237236326,1.237236315,1.237236325,3.5,3.7,1.37,1.4,16.0,18.0,1.06,1.07,4.6,5.0,1.26,1.28,1.47,1.49,1.67,1.69,1.36,1.38,1.237236307,1.237236319,1.237236320,1.237236330
UEFA Europa Conference League,2024-12-19,17:00:00,Hearts,CS Petrocub,1.38,1.4,11.0,12.0,5.1,5.3,2.08,2.1,1.9,1.93,2.4,2.46,1.69,1.72,15.0,16.0,27.0,32.0,40.0,100.0,60.0,500.0,6.8,7.6,10.5,11.5,34.0,42.0,19.0,240.0,6.6,7.4,9.8,10.5,29.0,34.0,19.0,190.0,9.8,10.5,14.5,16.0,27.0,55.0,120.0,220.0,6.0,6.6,19.5,350.0,130.0,1000.0,33870034,47993.0,10305682.0,58805.0,1.237236564,1.237236575,1.237236563,1.237236574,3.45,3.65,1.38,1.41,14.5,15.5,1.07,1.08,4.1,4.4,1.3,1.32,1.09,1.1,3.5,3.65,1.23,1.24,1.237236553,1.237236567,1.237236568,1.237236580
UEFA Europa Conference League,2024-12-19,17:00:00,Djurgardens,Legia Warsaw,2.16,2.18,3.65,3.7,3.75,3.8,2.28,2.32,1.76,1.78,1.66,1.72,2.38,2.52,16.0,17.5,14.5,17.0,23.0,27.0,50.0,65.0,11.0,12.5,8.0,8.8,14.0,15.0,32.0,38.0,13.5,15.0,10.5,11.0,15.0,16.5,36.0,44.0,24.0,28.0,18.0,22.0,27.0,30.0,60.0,75.0,11.5,13.0,25.0,29.0,210.0,850.0,33870046,232104.0,241091.0,58805.0,1.237235884,1.237235894,1.237235883,1.237235893,3.6,3.75,1.37,1.39,15.0,19.5,1.06,1.07,4.8,5.0,1.25,1.26,1.37,1.38,1.85,1.87,1.35,1.37,1.237235875,1.237235887,1.237235888,1.237235898
UEFA Europa Conference League,2024-12-19,17:00:00,Lugano,Paphos FC,2.28,2.32,3.45,3.55,3.55,3.6,2.06,2.12,1.9,1.93,1.7,1.79,2.26,2.42,15.5,16.5,13.0,14.5,21.0,25.0,55.0,65.0,10.0,11.5,7.4,7.8,13.0,15.0,32.0,38.0,13.5,14.5,10.0,11.0,16.0,16.5,40.0,48.0,26.0,29.0,21.0,23.0,30.0,36.0,44.0,85.0,14.5,16.5,30.0,34.0,100.0,1000.0,33870039,65780.0,13824022.0,58805.0,1.237236438,1.237236449,1.237236437,1.237236448,3.3,3.45,1.41,1.42,15.0,18.0,1.06,1.08,4.2,4.5,1.28,1.31,1.39,1.41,1.75,1.79,1.38,1.4,1.237236427,1.237236441,1.237236442,1.237236454
UEFA Europa Conference League,2024-12-19,17:00:00,Rapid Vienna,FC Copenhagen,2.84,2.9,2.7,2.76,3.5,3.55,2.04,2.08,1.92,1.95,1.71,1.77,2.3,2.4,13.5,14.5,11.0,12.0,16.0,18.0,34.0,40.0,11.5,13.0,7.2,7.8,11.0,12.0,24.0,29.0,18.0,20.0,12.0,12.5,16.0,17.0,34.0,40.0,38.0,46.0,27.0,32.0,34.0,42.0,40.0,85.0,22.0,25.0,19.5,23.0,100.0,1000.0,33866638,65350.0,52533356.0,58805.0,1.237184804,1.237184814,1.237184803,1.237184813,3.2,3.4,1.42,1.45,13.5,15.5,1.07,1.08,4.1,4.3,1.3,1.32,1.56,1.59,1.53,1.55,1.39,1.4,1.237184795,1.237184807,1.237184808,1.237184818
UEFA Europa Conference League,2024-12-19,17:00:00,Borac Banja Luka,Omonia,3.75,3.85,3.05,3.1,2.42,2.44,1.47,1.5,3.0,3.15,2.16,2.32,1.76,1.85,5.8,6.6,6.8,23.0,14.0,1000.0,30.0,1000.0,9.6,34.0,5.3,6.0,13.0,14.0,30.0,44.0,19.5,24.0,7.0,1000.0,6.4,26.0,40.0,1000.0,40.0,70.0,46.0,60.0,8.8,95.0,140.0,270.0,48.0,80.0,10.0,55.0,330.0,1000.0,33870057,4837337.0,1209587.0,58805.0,1.237235344,1.237235354,1.237235343,1.237235353,2.24,2.32,1.76,1.8,6.0,6.4,1.18,1.2,2.52,2.6,1.62,1.66,1.47,1.49,1.35,1.36,1.69,1.71,1.237235335,1.237235347,1.237235348,1.237235358
UEFA Europa Conference League,2024-12-19,17:00:00,Larne,Gent,21.0,24.0,1.2,1.21,8.0,8.4,2.5,2.58,1.64,1.66,2.66,2.8,1.56,1.61,21.0,26.0,7.6,8.6,6.0,7.4,7.2,8.6,9.2,65.0,17.0,20.0,11.0,13.0,12.5,15.5,10.0,280.0,9.4,95.0,9.4,75.0,9.2,65.0,10.5,1000.0,10.5,1000.0,10.0,460.0,11.5,520.0,15.0,1000.0,3.7,4.1,11.0,1000.0,33870029,539984.0,350594.0,58805.0,1.237236696,1.237236706,1.237236695,1.237236705,4.0,4.2,1.31,1.33,21.0,26.0,1.04,1.05,5.5,5.8,1.2,1.23,5.8,6.0,1.04,1.05,1.13,1.15,1.237236687,1.237236699,1.237236700,1.237236710
UEFA Europa Conference League,2024-12-19,17:00:00,Betis,HJK Helsinki,1.19,1.2,20.0,21.0,8.4,9.0,2.94,3.1,1.48,1.51,2.2,2.32,1.75,1.83,29.0,34.0,40.0,70.0,14.0,230.0,13.5,1000.0,10.0,12.0,17.0,19.5,40.0,70.0,50.0,360.0,7.2,8.6,11.0,12.5,25.0,50.0,14.0,220.0,8.0,8.8,12.5,14.0,11.0,46.0,28.0,220.0,3.0,3.4,15.0,410.0,15.0,1000.0,33870028,44507.0,6390.0,58805.0,1.237236804,1.237236814,1.237236803,1.237236813,4.6,4.9,1.25,1.28,28.0,36.0,1.03,1.04,6.8,7.4,1.15,1.17,1.05,1.06,5.9,6.4,1.12,1.14,1.237236795,1.237236807,1.237236808,1.237236818
UEFA Europa Conference League,2024-12-19,17:00:00,Chelsea,Shamrock Rovers,1.1,1.11,32.0,42.0,14.5,16.0,4.6,4.9,1.26,1.28,2.22,2.32,1.76,1.81,50.0,90.0,19.5,150.0,140.0,1000.0,420.0,1000.0,15.5,18.0,18.5,38.0,16.5,140.0,160.0,1000.0,9.6,10.5,13.0,16.0,14.5,75.0,150.0,380.0,8.4,9.0,12.5,14.0,25.0,50.0,120.0,230.0,2.14,2.26,220.0,1000.0,530.0,1000.0,33869996,55190.0,184325.0,58805.0,1.237237020,1.237237030,1.237237019,1.237237029,6.6,6.8,1.17,1.18,50.0,85.0,1.01,1.02,11.5,12.5,1.09,1.1,1.02,1.03,10.0,11.5,1.06,1.08,1.237237011,1.237237023,1.237237024,1.237237034
UEFA Europa Conference League,2024-12-19,17:00:00,FK Backa Topola,FC Noah,2.34,2.38,3.1,3.2,3.9,3.95,2.56,2.62,1.62,1.64,1.58,1.59,2.68,2.72,21.0,24.0,16.0,18.0,22.0,25.0,46.0,55.0,13.5,15.0,8.8,9.8,13.0,13.5,26.0,30.0,16.0,18.0,10.0,11.5,14.0,15.0,28.0,34.0,28.0,32.0,19.5,22.0,24.0,28.0,50.0,60.0,11.0,12.5,17.5,20.0,160.0,850.0,33870049,14609047.0,25068897.0,58805.0,1.237235560,1.237235570,1.237235559,1.237235569,3.95,4.2,1.31,1.34,20.0,25.0,1.04,1.06,5.6,6.0,1.21,1.22,1.46,1.48,1.72,1.75,1.33,1.35,1.237235551,1.237235563,1.237235564,1.237235574
UEFA Europa Conference League,2024-12-19,17:00:00,Panathinaikos,Dinamo Minsk,1.28,1.29,14.0,16.0,6.4,6.8,2.24,2.3,1.77,1.81,2.42,2.6,1.63,1.71,18.5,22.0,36.0,44.0,19.0,150.0,16.5,820.0,7.4,8.0,12.5,15.0,46.0,55.0,15.5,310.0,6.4,7.0,10.0,11.5,36.0,46.0,15.5,290.0,8.0,8.8,13.5,16.0,42.0,55.0,17.0,290.0,4.7,5.0,15.0,460.0,18.0,1000.0,33870048,50334.0,198689.0,58805.0,1.237235668,1.237235678,1.237235667,1.237235677,3.75,4.0,1.33,1.36,18.0,21.0,1.05,1.06,4.7,5.0,1.26,1.27,1.06,1.08,4.4,4.8,1.17,1.19,1.237235659,1.237235671,1.237235672,1.237235682
UEFA Europa Conference League,2024-12-19,17:00:00,APOEL,FC Astana,1.46,1.47,8.4,9.0,4.9,5.2,2.22,2.26,1.79,1.81,2.06,2.12,1.9,1.95,17.5,21.0,25.0,30.0,32.0,75.0,13.5,290.0,8.2,9.0,10.0,11.0,27.0,32.0,14.5,130.0,7.8,8.6,9.2,10.5,22.0,26.0,70.0,110.0,11.0,12.5,13.5,15.5,32.0,38.0,65.0,140.0,6.2,6.8,12.5,150.0,200.0,1000.0,33870053,1209582.0,7391219.0,58805.0,1.237235452,1.237235462,1.237235451,1.237235461,3.6,3.8,1.35,1.39,17.5,21.0,1.05,1.06,4.6,4.9,1.26,1.27,1.12,1.14,3.1,3.25,1.24,1.26,1.237235443,1.237235455,1.237235456,1.237235466
UEFA Europa Conference League,2024-12-19,17:00:00,FC Heidenheim,St Gallen,1.68,1.7,5.2,5.4,4.5,4.7,3.05,3.15,1.47,1.49,1.55,1.59,2.68,2.8,27.0,30.0,28.0,32.0,42.0,50.0,90.0,120.0,13.5,15.5,10.5,11.5,18.5,21.0,44.0,50.0,13.0,14.0,9.8,10.5,13.5,16.0,38.0,46.0,16.5,18.5,13.5,15.0,20.0,23.0,40.0,60.0,5.4,5.7,30.0,34.0,22.0,600.0,33870027,3237590.0,6392.0,58805.0,1.237236912,1.237236922,1.237236911,1.237236921,4.6,4.7,1.27,1.28,26.0,34.0,1.03,1.04,7.2,7.8,1.15,1.16,1.22,1.24,2.42,2.48,1.27,1.29,1.237236903,1.237236915,1.237236916,1.237236926
Spanish Segunda Division,2024-12-19,17:15:00,Huesca,Tenerife,2.02,2.06,5.1,5.3,3.15,3.2,1.46,1.48,3.05,3.15,2.52,2.64,1.62,1.65,6.6,7.2,10.5,12.0,34.0,40.0,22.0,160.0,5.4,5.8,7.0,7.6,20.0,23.0,65.0,120.0,9.2,9.8,11.0,12.0,30.0,34.0,22.0,150.0,21.0,24.0,29.0,32.0,70.0,85.0,29.0,330.0,25.0,30.0,21.0,230.0,23.0,1000.0,33870863,2250353.0,44509.0,58805.0,1.237251822,1.237251832,1.237251821,1.237251831,2.32,2.42,1.7,1.75,6.8,7.4,1.15,1.17,2.44,2.48,1.68,1.69,1.23,1.25,1.95,1.99,1.45,1.47,1.237251813,1.237251825,1.237251826,1.237251836
Spanish Segunda Division,2024-12-19,17:15:00,Deportivo,CD Castellon,2.06,2.12,3.8,3.95,3.8,3.9,2.32,2.36,1.73,1.75,1.64,1.67,2.48,2.58,17.5,18.5,16.0,18.0,26.0,30.0,55.0,75.0,11.0,12.0,8.0,8.8,14.5,15.5,34.0,44.0,13.0,14.5,9.8,10.5,14.0,16.0,38.0,44.0,22.0,25.0,17.5,19.5,26.0,29.0,55.0,70.0,10.5,11.5,12.0,34.0,18.5,850.0,33870862,51266.0,8916596.0,58805.0,1.237251931,1.237251941,1.237251930,1.237251940,3.6,3.75,1.36,1.39,17.5,19.0,1.05,1.06,5.0,5.3,1.23,1.25,1.36,1.38,1.88,1.9,1.35,1.36,1.237251922,1.237251934,1.237251935,1.237251945
Honduras Liga Nacional,2024-12-19,22:00:00,CD Motagua,CD Olimpia,2.46,3.05,2.98,3.5,3.0,3.55,1.99,2.2,1.83,2.02,1.6,1.81,2.22,2.64,2.82,980.0,3.8,980.0,3.45,25.0,3.45,1000.0,3.7,980.0,6.0,9.4,3.7,980.0,4.3,40.0,2.94,20.0,3.55,980.0,3.8,980.0,4.4,55.0,2.86,1000.0,4.2,32.0,2.7,46.0,3.35,100.0,3.0,25.0,3.15,36.0,2.86,1000.0,33877556,2888928.0,1395933.0,58805.0,1.237381195,1.237381198,1.237381242,1.237381243,1.2,3.75,1.36,20.0,3.95,1000.0,1.01,1.34,3.95,5.0,1.26,1.34,1.4,1.51,1.53,1.7,1.4,1.5,1.237381244,1.237381205,1.237381196,1.237381197
