League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Spanish Segunda Division,2024-12-18,15:00:00,Racing de Ferrol,Almeria,4.5,4.8,1.92,1.95,3.75,3.8,1.9,1.93,2.06,2.12,1.93,2.0,2.0,2.08,12.0,13.5,7.8,8.6,10.0,11.0,19.5,22.0,15.0,16.0,7.6,8.0,9.6,10.0,18.5,21.0,30.0,34.0,16.5,18.0,18.5,21.0,34.0,38.0,70.0,110.0,50.0,65.0,36.0,90.0,28.0,120.0,60.0,70.0,13.0,14.5,21.0,1000.0,33870068,10478536.0,248020.0,58805.0,1.237237488,1.237237498,1.237237487,1.237237497,3.0,3.15,1.47,1.5,12.0,13.5,1.08,1.09,3.7,3.85,1.35,1.37,2.04,2.1,1.27,1.29,1.35,1.37,1.237237479,1.237237491,1.237237492,1.237237502
Spanish Segunda RFEF - Group 1,2024-12-18,16:00:00,Bergantinos CF,Deportivo La Coruna II,2.26,2.6,3.25,4.0,3.0,3.55,1.67,1.78,2.28,2.5,1.89,2.1,1.9,2.12,3.3,980.0,3.45,980.0,3.9,29.0,4.3,80.0,3.2,980.0,6.2,8.8,3.65,980.0,4.2,60.0,3.65,18.0,3.45,980.0,3.8,980.0,4.3,80.0,4.1,42.0,4.0,38.0,4.2,60.0,4.4,1000.0,4.0,34.0,4.2,65.0,4.5,1000.0,33874506,6884141.0,9301052.0,58805.0,1.23732158,1.237321625,1.237321664,1.237321589,2.84,3.05,1.49,1.54,1.27,1000.0,1.09,1.13,2.98,3.45,1.41,1.49,1.34,1.45,1.62,1.8,1.4,1.5,1.237321581,1.237321583,1.237321584,1.237321628
Bolivian Liga de Futbol Profesional,2024-12-18,16:00:00,Club Real Santa Cruz,Real Tomayapo,3.15,3.35,2.32,2.4,3.6,3.85,2.2,2.34,1.75,1.84,1.64,1.73,2.36,2.56,15.5,17.5,11.5,13.0,14.0,16.5,22.0,32.0,14.0,17.0,8.0,9.2,10.0,11.0,20.0,23.0,21.0,25.0,12.5,14.5,13.0,15.5,27.0,32.0,38.0,80.0,28.0,34.0,34.0,42.0,32.0,75.0,21.0,240.0,13.0,15.0,14.5,850.0,33874367,25226893.0,25238903.0,58805.0,1.237320821,1.237320866,1.237320905,1.23732083,3.7,3.95,1.34,1.37,13.5,21.0,1.05,1.07,4.4,5.2,1.25,1.28,1.72,1.76,1.43,1.46,1.35,1.39,1.237320822,1.237320824,1.237320825,1.237320869
English U21 Pro Development League,2024-12-18,16:00:00,Brentford U21,Bournemouth U21,1.7,1.89,3.6,4.3,4.8,6.0,3.75,4.7,1.27,1.36,1.41,1.49,3.05,3.4,4.7,980.0,4.4,980.0,4.5,130.0,4.7,900.0,4.2,980.0,3.9,980.0,4.1,980.0,4.5,220.0,4.1,75.0,3.65,980.0,12.5,980.0,4.4,120.0,4.2,180.0,4.0,70.0,4.1,75.0,4.5,580.0,4.4,5.7,4.0,240.0,4.8,600.0,33874253,6628855.0,48724444.0,58805.0,1.237313011,1.237313056,1.237313095,1.23731302,5.3,7.0,1.19,1.23,10.0,110.0,1.01,1.03,3.75,110.0,1.08,1.12,1.31,1.39,2.12,2.46,1.2,1.27,1.237313012,1.237313014,1.237313015,1.237313059
Italian Serie C,2024-12-18,16:30:00,Union Clodiense Chioggia,Padova,8.2,10.0,1.5,1.54,4.3,4.6,1.73,1.83,2.2,2.38,2.3,2.54,1.64,1.76,10.0,12.0,5.8,6.6,6.6,8.4,11.5,14.5,20.0,25.0,8.6,10.0,9.6,25.0,16.5,19.5,30.0,80.0,27.0,40.0,27.0,36.0,25.0,60.0,10.0,450.0,9.8,210.0,9.4,320.0,10.5,580.0,6.4,430.0,9.4,11.5,10.0,1000.0,33874307,38339238.0,522042.0,58805.0,1.237323022,1.237323067,1.237323106,1.237323031,2.88,3.05,1.48,1.53,3.25,1000.0,1.09,1.12,3.25,3.5,1.4,1.45,2.86,3.15,1.1,1.14,1.27,1.31,1.237323023,1.237323025,1.237323026,1.23732307
French Ligue 1,2024-12-18,17:00:00,Monaco,Paris St-G,4.3,4.4,1.87,1.88,4.1,4.2,2.76,2.78,1.56,1.57,1.57,1.59,2.7,2.76,25.0,29.0,13.5,14.0,13.5,14.0,21.0,22.0,22.0,24.0,9.4,9.6,9.6,9.8,16.0,16.5,34.0,36.0,16.0,16.5,14.0,15.0,23.0,24.0,75.0,85.0,38.0,42.0,34.0,40.0,46.0,55.0,27.0,32.0,7.6,8.0,170.0,310.0,33854672,361706.0,489720.0,58805.0,1.237013994,1.237013978,1.237013993,1.237014003,4.2,4.5,1.29,1.32,25.0,27.0,1.04,1.05,6.2,6.6,1.18,1.19,2.12,2.14,1.29,1.3,1.31,1.32,1.237013996,1.237013998,1.237013999,1.237013981
Spanish Segunda Division,2024-12-18,17:15:00,Mirandes,Sporting Gijon,2.7,2.74,3.45,3.55,2.9,2.94,1.45,1.46,3.15,3.2,2.28,2.44,1.7,1.78,6.4,7.0,8.2,8.8,20.0,21.0,46.0,75.0,6.8,7.4,6.4,6.6,15.0,16.0,50.0,65.0,13.5,15.0,12.5,13.5,26.0,29.0,65.0,110.0,38.0,46.0,38.0,44.0,20.0,85.0,20.0,260.0,48.0,60.0,80.0,130.0,24.0,1000.0,33870066,565024.0,68246.0,58805.0,1.237237596,1.237237606,1.237237595,1.237237605,2.3,2.4,1.71,1.76,6.4,7.0,1.17,1.18,2.42,2.5,1.67,1.7,1.39,1.41,1.57,1.59,1.51,1.53,1.237237587,1.237237599,1.2372376,1.23723761
Spanish Segunda Division,2024-12-18,17:15:00,Malaga,Eldense,2.5,2.52,3.7,3.75,3.0,3.05,1.51,1.52,2.92,2.98,2.2,2.34,1.75,1.82,7.0,7.6,8.8,9.4,21.0,23.0,70.0,85.0,7.0,7.4,6.4,6.8,15.0,16.5,55.0,170.0,12.5,14.0,11.5,12.0,24.0,28.0,20.0,320.0,32.0,38.0,34.0,40.0,38.0,75.0,28.0,240.0,36.0,44.0,55.0,95.0,21.0,1000.0,33870363,13360.0,2250350.0,58805.0,1.237244616,1.237244626,1.237244615,1.237244625,2.4,2.5,1.67,1.71,7.0,7.6,1.15,1.17,2.58,2.64,1.61,1.63,1.36,1.38,1.64,1.67,1.48,1.5,1.237244607,1.237244619,1.23724462,1.23724463
Spanish La Liga,2024-12-18,17:30:00,Villarreal,Rayo Vallecano,1.96,1.97,4.3,4.4,3.75,3.8,2.08,2.12,1.9,1.92,1.77,1.79,2.26,2.3,14.5,15.5,15.5,16.5,30.0,34.0,85.0,100.0,9.4,9.6,7.8,8.2,16.0,16.5,46.0,55.0,11.5,12.0,9.4,9.6,16.0,17.5,50.0,60.0,21.0,22.0,18.5,19.5,30.0,34.0,80.0,90.0,12.5,13.0,46.0,55.0,280.0,1000.0,33854677,28191.0,10779.0,58805.0,1.237013538,1.237013522,1.237013537,1.237013547,3.35,3.55,1.4,1.42,15.0,16.0,1.06,1.07,4.2,4.4,1.3,1.31,1.29,1.3,2.02,2.04,1.35,1.37,1.23701354,1.237013542,1.237013543,1.237013525
Spanish La Liga,2024-12-18,17:30:00,Espanyol,Valencia,2.74,2.76,3.2,3.3,3.05,3.1,1.54,1.55,2.82,2.86,2.18,2.26,1.8,1.84,7.8,8.2,8.6,9.0,18.0,19.0,55.0,60.0,7.6,7.8,6.6,6.8,14.5,15.0,46.0,50.0,14.0,15.0,12.5,13.0,23.0,24.0,70.0,80.0,38.0,42.0,34.0,40.0,60.0,70.0,100.0,190.0,40.0,44.0,55.0,60.0,1000.0,1000.0,33854676,59044.0,66183.0,58805.0,1.237013658,1.237013642,1.237013657,1.237013667,2.5,2.52,1.65,1.66,7.6,8.2,1.14,1.15,2.68,2.72,1.58,1.6,1.44,1.46,1.56,1.58,1.47,1.49,1.23701366,1.237013662,1.237013663,1.237013645
